,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,user.profile_banner_url,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
4,Fri Jan 24 14:00:10 +0000 2020,1220707870200623104,1220707870200623104,CORE’s @lwj_63 and @AstonUniversity @j_wolffsohn lead a workshop today at 10 am PDT: “A Clear Vision on Dropouts” which focuses on three aspects behind the dropout phenomenon to stabilize and increase the wearer base. #contactlenses  #GSLS2020,False,"[0, 243]","<a href=""http://www.socialbakers.com/"" rel=""nofollow"">Socialbakers</a>",,,,,,,,,,False,0,3,False,False,en,"[{'text': 'contactlenses', 'indices': [218, 232]}, {'text': 'GSLS2020', 'indices': [234, 243]}]",[],"[{'screen_name': 'lwj_63', 'name': 'Lyndon Jones', 'id': 268876570, 'id_str': '268876570', 'indices': [7, 14]}, {'screen_name': 'AstonUniversity', 'name': 'Aston University', 'id': 14224706, 'id_str': '14224706', 'indices': [19, 35]}, {'screen_name': 'j_wolffsohn', 'name': 'James Wolffsohn', 'id': 952307676830150657, 'id_str': '952307676830150657', 'indices': [36, 48]}]",[],en,recent,967122852339007488,967122852339007488,Centre for Ocular Research & Education (CORE),COREeyenews,"Waterloo, Ontario","Improving global eye health & vision through advanced bioscience, clinical research & education. News channel for academic, industry & ECP peers. Formerly CCLR.",https://t.co/BNdyAkeX69,[],False,519,703,6,Fri Feb 23 19:43:51 +0000 2018,533,,,True,False,556,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/968513244062076934/AWgINV1N_normal.jpg,https://pbs.twimg.com/profile_images/968513244062076934/AWgINV1N_normal.jpg,0098A5,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/BNdyAkeX69', 'expanded_url': 'http://CORE.uwaterloo.ca', 'display_url': 'CORE.uwaterloo.ca', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fri Jan 24 09:20:00 +0000 2020,1220637363182952448,1220637363182952448,"Assembly to 1000 pupils @bluecoatswalsall was an inspirational experience, thank you for your hospitality @WMLieutenancy @AstonUniversity",False,"[0, 137]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,5,False,False,en,[],[],"[{'screen_name': 'WMLieutenancy', 'name': 'WMLieutenancy', 'id': 1120722733069930497, 'id_str': '1120722733069930497', 'indices': [106, 120]}, {'screen_name': 'AstonUniversity', 'name': 'Aston University', 'id': 14224706, 'id_str': '14224706', 'indices': [121, 137]}]",[],en,recent,255082253,255082253,Helen Higson,higsonhe,"Aston Uni, Birmingham, UK","Provost and Deputy Vice Chancellor, Professor of Higher Education Learning and Management, Aston University",,[],False,1102,819,20,Sun Feb 20 16:52:39 +0000 2011,122,,,True,False,2263,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1559465287/HEH_normal.JPG,https://pbs.twimg.com/profile_images/1559465287/HEH_normal.JPG,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Thu Jan 23 22:06:10 +0000 2020,1220467790030811141,1220467790030811141,@Economist_Aston @paulkrugman @GretaThunberg @AstonUniversity Thank you,False,"[62, 71]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204675976715305e+18,1220467597671530496,65407437.0,65407437,Economist_Aston,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Economist_Aston', 'name': 'ProfChrisJones', 'id': 65407437, 'id_str': '65407437', 'indices': [0, 16]}, {'screen_name': 'paulkrugman', 'name': 'Paul Krugman', 'id': 17006157, 'id_str': '17006157', 'indices': [17, 29]}, {'screen_name': 'GretaThunberg', 'name': 'Greta Thunberg', 'id': 1006419421244678144, 'id_str': '1006419421244678144', 'indices': [30, 44]}, {'screen_name': 'AstonUniversity', 'name': 'Aston University', 'id': 14224706, 'id_str': '14224706', 'indices': [45, 61]}]",[],en,recent,1132820513343135750,1132820513343135750,John Conner,JohnCon44639700,"32.4799°N, 86.3619°W",22 year old future engineering technology student and sarcastic individual. Part of Bernie 2020,,[],False,58,44,0,Mon May 27 01:27:11 +0000 2019,3544,,,False,False,2275,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1191224287115526144/JQr9i8va_normal.jpg,https://pbs.twimg.com/profile_images/1191224287115526144/JQr9i8va_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/1132820513343135750/1558929460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Thu Jan 23 22:05:25 +0000 2020,1220467597671530496,1220467597671530496,@JohnCon44639700 @paulkrugman @GretaThunberg @AstonUniversity I don't know to be honest. I guess it would depend on how quickly you can do it and whether there would be significant costs during the transition.,False,"[62, 209]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220464460885889e+18,1220464460885889024,1.1328205133431357e+18,1132820513343135750,JohnCon44639700,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JohnCon44639700', 'name': 'John Conner', 'id': 1132820513343135750, 'id_str': '1132820513343135750', 'indices': [0, 16]}, {'screen_name': 'paulkrugman', 'name': 'Paul Krugman', 'id': 17006157, 'id_str': '17006157', 'indices': [17, 29]}, {'screen_name': 'GretaThunberg', 'name': 'Greta Thunberg', 'id': 1006419421244678144, 'id_str': '1006419421244678144', 'indices': [30, 44]}, {'screen_name': 'AstonUniversity', 'name': 'Aston University', 'id': 14224706, 'id_str': '14224706', 'indices': [45, 61]}]",[],en,recent,65407437,65407437,ProfChrisJones,Economist_Aston,Birmingham,"Head of Economics, Finance & Entrepreneurship @AstonUniversity Researcher on Tax Havens @BWC_NHS Public Governor @WBAFCAssembly member.",https://t.co/qmGtmfoP0y,[],False,767,1223,20,Thu Aug 13 16:51:26 +0000 2009,709,,,True,False,1634,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1438437179/Chris_Jones_normal.jpg,https://pbs.twimg.com/profile_images/1438437179/Chris_Jones_normal.jpg,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/qmGtmfoP0y', 'expanded_url': 'http://www2.aston.ac.uk/aston-business-school/research/departments/efeg/staff/Prof-chris-jones/index', 'display_url': 'www2.aston.ac.uk/aston-business…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/65407437/1370640885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53b67b1d1cc81a51,https://api.twitter.com/1.1/geo/id/53b67b1d1cc81a51.json,city,Birmingham,"Birmingham, England",GB,United Kingdom,[],Polygon,"[[[-2.033651, 52.381063], [-1.74763, 52.381063], [-1.74763, 52.60687], [-2.033651, 52.60687]]]",,,,,,,,,,
11,Thu Jan 23 21:52:57 +0000 2020,1220464460885889024,1220464460885889024,"@Economist_Aston @paulkrugman @GretaThunberg @AstonUniversity Out of curiosity, if economies went to sustainable energy and green manufacturing, what would the economic impact be?",False,"[62, 179]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2203757045478728e+18,1220375704547872768,65407437.0,65407437,Economist_Aston,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Economist_Aston', 'name': 'ProfChrisJones', 'id': 65407437, 'id_str': '65407437', 'indices': [0, 16]}, {'screen_name': 'paulkrugman', 'name': 'Paul Krugman', 'id': 17006157, 'id_str': '17006157', 'indices': [17, 29]}, {'screen_name': 'GretaThunberg', 'name': 'Greta Thunberg', 'id': 1006419421244678144, 'id_str': '1006419421244678144', 'indices': [30, 44]}, {'screen_name': 'AstonUniversity', 'name': 'Aston University', 'id': 14224706, 'id_str': '14224706', 'indices': [45, 61]}]",[],en,recent,1132820513343135750,1132820513343135750,John Conner,JohnCon44639700,"32.4799°N, 86.3619°W",22 year old future engineering technology student and sarcastic individual. Part of Bernie 2020,,[],False,58,44,0,Mon May 27 01:27:11 +0000 2019,3544,,,False,False,2275,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1191224287115526144/JQr9i8va_normal.jpg,https://pbs.twimg.com/profile_images/1191224287115526144/JQr9i8va_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/1132820513343135750/1558929460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Thu Jan 23 16:00:16 +0000 2020,1220375704547872768,1220375704547872768,@paulkrugman @GretaThunberg feel free to come and study Economics @AstonUniversity in Birmingham UK. We have a module on environmental economics which will help solidify your arguments against this nonsense!,False,"[13, 207]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2203270474463683e+18,1220327047446368256,17006157.0,17006157,paulkrugman,,,,,False,3,24,False,False,en,[],[],"[{'screen_name': 'paulkrugman', 'name': 'Paul Krugman', 'id': 17006157, 'id_str': '17006157', 'indices': [0, 12]}, {'screen_name': 'GretaThunberg', 'name': 'Greta Thunberg', 'id': 1006419421244678144, 'id_str': '1006419421244678144', 'indices': [13, 27]}, {'screen_name': 'AstonUniversity', 'name': 'Aston University', 'id': 14224706, 'id_str': '14224706', 'indices': [66, 82]}]",[],en,recent,65407437,65407437,ProfChrisJones,Economist_Aston,Birmingham,"Head of Economics, Finance & Entrepreneurship @AstonUniversity Researcher on Tax Havens @BWC_NHS Public Governor @WBAFCAssembly member.",https://t.co/qmGtmfoP0y,[],False,767,1223,20,Thu Aug 13 16:51:26 +0000 2009,709,,,True,False,1634,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1438437179/Chris_Jones_normal.jpg,https://pbs.twimg.com/profile_images/1438437179/Chris_Jones_normal.jpg,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/qmGtmfoP0y', 'expanded_url': 'http://www2.aston.ac.uk/aston-business-school/research/departments/efeg/staff/Prof-chris-jones/index', 'display_url': 'www2.aston.ac.uk/aston-business…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/65407437/1370640885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53b67b1d1cc81a51,https://api.twitter.com/1.1/geo/id/53b67b1d1cc81a51.json,city,Birmingham,"Birmingham, England",GB,United Kingdom,[],Polygon,"[[[-2.033651, 52.381063], [-1.74763, 52.381063], [-1.74763, 52.60687], [-2.033651, 52.60687]]]",,,,,,,,,,
21,Tue Jan 21 14:06:47 +0000 2020,1219622372392742913,1219622372392742913,@Lizzyswoodfield @AstonUniversity Thanks Lizzie for a very useful talk 😁,False,"[34, 72]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2196138123215954e+18,1219613812321595397,89040600.0,89040600,Lizzyswoodfield,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Lizzyswoodfield', 'name': 'Lizzy Woodfield', 'id': 89040600, 'id_str': '89040600', 'indices': [0, 16]}, {'screen_name': 'AstonUniversity', 'name': 'Aston University', 'id': 14224706, 'id_str': '14224706', 'indices': [17, 33]}]",[],en,recent,773972821903048704,773972821903048704,Prof. Jackie Blissett,profblissett,"Birmingham, England",Professor of Childhood Eating Behaviour. Aston University. Also a mum and dedicated tea drinker. Views are my own.,,[],False,1152,1285,8,Thu Sep 08 19:54:35 +0000 2016,4347,,,True,False,1293,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1210168459511894016/IHgWJ9_h_normal.jpg,https://pbs.twimg.com/profile_images/1210168459511894016/IHgWJ9_h_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/773972821903048704/1473412484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Tue Jan 21 13:52:21 +0000 2020,1219618738569347073,1219618738569347073,RT @Lizzyswoodfield: Nice to spend lunchtime talking to @AstonUniversity Early Career Researchers about my tips for engaging with policy ma…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'Lizzyswoodfield', 'name': 'Lizzy Woodfield', 'id': 89040600, 'id_str': '89040600', 'indices': [3, 19]}, {'screen_name': 'AstonUniversity', 'name': 'Aston University', 'id': 14224706, 'id_str': '14224706', 'indices': [56, 72]}]",[],en,recent,60848294,60848294,Mark Smith,lemarksmith,Birmingham & Redruth,"Passionate about Business & Personal development. Work for Aston University, but tweet here in a personal capacity. Member of the team behind Agile on the Beach",https://t.co/U23BNvIg5P,[],False,3325,2810,224,Tue Jul 28 08:13:21 +0000 2009,15785,,,True,False,28055,,False,False,False,326C80,http://abs.twimg.com/images/themes/theme19/bg.gif,https://abs.twimg.com/images/themes/theme19/bg.gif,False,http://pbs.twimg.com/profile_images/970659867466887168/XFFriICB_normal.jpg,https://pbs.twimg.com/profile_images/970659867466887168/XFFriICB_normal.jpg,0099CC,FFFFFF,F6FFD1,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/U23BNvIg5P', 'expanded_url': 'http://uk.linkedin.com/in/themarksmith', 'display_url': 'uk.linkedin.com/in/themarksmith', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/60848294/1567067912,Tue Jan 21 13:32:46 +0000 2020,1.2196138123215954e+18,1219613812321595397,"Nice to spend lunchtime talking to @AstonUniversity Early Career Researchers about my tips for engaging with policy makers, and why it’s important to do so! And not just because they bought me chocolates to say thank you 🤓",False,"[0, 222]",[],[],"[{'screen_name': 'AstonUniversity', 'name': 'Aston University', 'id': 14224706, 'id_str': '14224706', 'indices': [35, 51]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,89040600.0,89040600,Lizzy Woodfield,Lizzyswoodfield,"Stafford, England","Tweeting about politics, higher education & women's health. Lizzy with a y.",,,[],False,772.0,2053.0,29.0,Tue Nov 10 22:32:48 +0000 2009,2741.0,,,False,False,8862.0,,False,False,False,C6E2EE,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/803704516101242880/K65zLXrv_normal.jpg,https://pbs.twimg.com/profile_images/803704516101242880/K65zLXrv_normal.jpg,https://pbs.twimg.com/profile_banners/89040600/1568400323,1F98C7,C6E2EE,DAECF4,663B12,True,False,False,False,False,False,False,none,,,,,False,1.0,12.0,False,False,en,,,,,,,,,,,,,,,,,,,,
28,Mon Jan 20 16:26:47 +0000 2020,1219295215330168832,1219295215330168832,"We're now back at @AstonUniversity energised and ready to start our four new projects: MEDIPOL (Paul Topham), DORNA (Wen Cao), STEPforGGR (Wei Li) &amp; Ipn-BIO (Lin Zhang)
@REA_research @EU_Commission @MSCActions #ResearchAtAston 💡",False,"[0, 232]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2192952136398725e+18,1219295213639872514,568197168.0,568197168,AstonUniRKE,,,,,False,0,0,False,False,en,"[{'text': 'ResearchAtAston', 'indices': [214, 230]}]",[],"[{'screen_name': 'AstonUniversity', 'name': 'Aston University', 'id': 14224706, 'id_str': '14224706', 'indices': [18, 34]}, {'screen_name': 'REA_research', 'name': 'Research Executive Agency', 'id': 1181196628667109377, 'id_str': '1181196628667109377', 'indices': [173, 186]}, {'screen_name': 'EU_Commission', 'name': 'European Commission 🇪🇺', 'id': 157981564, 'id_str': '157981564', 'indices': [187, 201]}, {'screen_name': 'MSCActions', 'name': 'MarieSkłodowskaCurie', 'id': 278506592, 'id_str': '278506592', 'indices': [202, 213]}]",[],en,recent,568197168,568197168,Aston Uni RKE,AstonUniRKE,"Birmingham, UK","Aston's Research and Knowledge Exchange provides a link for @AstonUniversity expertise to develop your business. Industrial Research, Commercial Projects, KTP.",http://t.co/L4rVGpZqcP,[],False,1607,1161,54,Tue May 01 11:24:23 +0000 2012,1973,,,True,False,3559,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/892760412206354432/juAXfz34_normal.jpg,https://pbs.twimg.com/profile_images/892760412206354432/juAXfz34_normal.jpg,FF691F,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,"[{'url': 'http://t.co/L4rVGpZqcP', 'expanded_url': 'http://www1.aston.ac.uk/business/', 'display_url': 'www1.aston.ac.uk/business/', 'indices': [0, 22]}]",https://pbs.twimg.com/profile_banners/568197168/1495097828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Mon Jan 20 13:23:47 +0000 2020,1219249163717824512,1219249163717824512,RT @CDTLifETIME: @AstonUniversity &amp; Prof Lee Jeys project: Developing novel bioactive materials for bone cancer applications with Dr Richar…,False,"[0, 144]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'CDTLifETIME', 'name': 'LifETIME-CDT', 'id': 1093452682197692417, 'id_str': '1093452682197692417', 'indices': [3, 15]}, {'screen_name': 'AstonUniversity', 'name': 'Aston University', 'id': 14224706, 'id_str': '14224706', 'indices': [17, 33]}]",[],en,recent,1009407585949245440,1009407585949245440,Dr Eirini Theodosiou,DrEiriniTheo,"Birmingham, England","Chemical Engineer who loves Biology and dogs. Proud European.
Educator @AstonUniversity",,[],False,138,146,0,Wed Jun 20 12:08:17 +0000 2018,1126,,,False,False,446,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1009412022621147137/IbMLLOAb_normal.jpg,https://pbs.twimg.com/profile_images/1009412022621147137/IbMLLOAb_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/1009407585949245440/1533644449,Mon Jan 20 09:30:00 +0000 2020,1.2191903282985738e+18,1219190328298573824,@AstonUniversity &amp; Prof Lee Jeys project: Developing novel bioactive materials for bone cancer applications with Dr Richard Martin will look at in-vitro studies to characterise materials with the aim of developing/optimising materials for clinical applications. Deadline 31 Jan.,False,"[0, 282]",[],[],"[{'screen_name': 'AstonUniversity', 'name': 'Aston University', 'id': 14224706, 'id_str': '14224706', 'indices': [0, 16]}]",[],en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,14224706.0,14224706,AstonUniversity,1.0934526821976924e+18,1093452682197692417,LifETIME-CDT,CDTLifETIME,,"EPSRC-SFI Centre for Doctoral Training in Engineered Tissues for Discovery, Industry and Medicine",https://t.co/2EK7SFrXLd,"[{'url': 'https://t.co/2EK7SFrXLd', 'expanded_url': 'https://lifetime-cdt.org/', 'display_url': 'lifetime-cdt.org', 'indices': [0, 23]}]",[],False,323.0,376.0,2.0,Thu Feb 07 10:13:29 +0000 2019,191.0,,,False,False,172.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1093453693587021825/T6xTJo82_normal.jpg,https://pbs.twimg.com/profile_images/1093453693587021825/T6xTJo82_normal.jpg,https://pbs.twimg.com/profile_banners/1093452682197692417/1549536117,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,1.0,0.0,False,False,en,,,,,,,,,,,,,,,,,,,,
