,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,possibly_sensitive,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
18,Fri Jan 24 20:01:09 +0000 2020,1220798714522034176,1220798714522034176,"@HelenBarefoot @UHDoctoral @UniofHerts @uniofhertslms @CRIPACC1 @UHertsResearch Thank you Helen, we most certainly are! Congrats to you too for your new interim role 😃",False,"[80, 167]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2207665766784492e+18,1220766576678449163,34669770.0,34669770,HelenBarefoot,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'HelenBarefoot', 'name': 'Helen Barefoot', 'id': 34669770, 'id_str': '34669770', 'indices': [0, 14]}, {'screen_name': 'UHDoctoral', 'name': 'UH Doctoral College', 'id': 2764681629, 'id_str': '2764681629', 'indices': [15, 26]}, {'screen_name': 'UniofHerts', 'name': 'University of Hertfordshire', 'id': 78887411, 'id_str': '78887411', 'indices': [27, 38]}, {'screen_name': 'uniofhertslms', 'name': 'Uni of Herts LMS', 'id': 905819103595823105, 'id_str': '905819103595823105', 'indices': [39, 53]}, {'screen_name': 'CRIPACC1', 'name': 'CRIPACC UH', 'id': 1560037494, 'id_str': '1560037494', 'indices': [54, 63]}, {'screen_name': 'UHertsResearch', 'name': 'UH Research Office', 'id': 834405799598366721, 'id_str': '834405799598366721', 'indices': [64, 79]}]",[],en,recent,421012051,421012051,Danny Buckley,dannybuckers,,Lecturer at @uniofherts - Ph.D. Researcher in Dementia Therapy,,[],False,792,333,8,Fri Nov 25 11:33:17 +0000 2011,4370,,,True,False,6900,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1100404991418761216/qm-rpSlt_normal.png,https://pbs.twimg.com/profile_images/1100404991418761216/qm-rpSlt_normal.png,https://pbs.twimg.com/profile_banners/421012051/1508494679,0084B4,A8C7F7,C0DFEC,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Fri Jan 24 19:46:38 +0000 2020,1220795061602017284,1220795061602017284,@dannybuckers @UHDoctoral @UniofHerts @uniofhertslms @CRIPACC1 @UHertsResearch Congratulations! I never doubted you could do it! I was disappinted to have missed the event today but i am so pleased to see you took home the title! Enjoy celebrating 🍾🎉,False,"[79, 250]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2207438045983334e+18,1220743804598333440,421012051.0,421012051,dannybuckers,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'dannybuckers', 'name': 'Danny Buckley', 'id': 421012051, 'id_str': '421012051', 'indices': [0, 13]}, {'screen_name': 'UHDoctoral', 'name': 'UH Doctoral College', 'id': 2764681629, 'id_str': '2764681629', 'indices': [14, 25]}, {'screen_name': 'UniofHerts', 'name': 'University of Hertfordshire', 'id': 78887411, 'id_str': '78887411', 'indices': [26, 37]}, {'screen_name': 'uniofhertslms', 'name': 'Uni of Herts LMS', 'id': 905819103595823105, 'id_str': '905819103595823105', 'indices': [38, 52]}, {'screen_name': 'CRIPACC1', 'name': 'CRIPACC UH', 'id': 1560037494, 'id_str': '1560037494', 'indices': [53, 62]}, {'screen_name': 'UHertsResearch', 'name': 'UH Research Office', 'id': 834405799598366721, 'id_str': '834405799598366721', 'indices': [63, 78]}]",[],en,recent,555279745,555279745,Kayleigh Chester,Kay_Louise1,Hertfordshire,"Research assistant in child & adolescent health at @CRIPACC1 @UniofHerts, working on @HBSCEngland study. PhD student exploring relational bullying.",https://t.co/eWMSQ6pxA5,[],False,281,516,10,Mon Apr 16 17:17:49 +0000 2012,452,,,True,False,1203,,False,False,False,ACDED6,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,False,http://pbs.twimg.com/profile_images/1171527825335021570/CJ995Ed5_normal.jpg,https://pbs.twimg.com/profile_images/1171527825335021570/CJ995Ed5_normal.jpg,https://pbs.twimg.com/profile_banners/555279745/1398960498,048EB8,EEEEEE,F6F6F6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/eWMSQ6pxA5', 'expanded_url': 'http://bit.ly/2dlyAUj', 'display_url': 'bit.ly/2dlyAUj', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fri Jan 24 18:59:03 +0000 2020,1220783086889308160,1220783086889308160,@dannybuckers @UHDoctoral @UniofHerts @uniofhertslms @CRIPACC1 @UHertsResearch Wow well done! Always knew you’d take it home! Sorry I missed it. Had a seminar in London to attend.,False,"[79, 179]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207438045983334e+18,1220743804598333440,421012051.0,421012051,dannybuckers,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'dannybuckers', 'name': 'Danny Buckley', 'id': 421012051, 'id_str': '421012051', 'indices': [0, 13]}, {'screen_name': 'UHDoctoral', 'name': 'UH Doctoral College', 'id': 2764681629, 'id_str': '2764681629', 'indices': [14, 25]}, {'screen_name': 'UniofHerts', 'name': 'University of Hertfordshire', 'id': 78887411, 'id_str': '78887411', 'indices': [26, 37]}, {'screen_name': 'uniofhertslms', 'name': 'Uni of Herts LMS', 'id': 905819103595823105, 'id_str': '905819103595823105', 'indices': [38, 52]}, {'screen_name': 'CRIPACC1', 'name': 'CRIPACC UH', 'id': 1560037494, 'id_str': '1560037494', 'indices': [53, 62]}, {'screen_name': 'UHertsResearch', 'name': 'UH Research Office', 'id': 834405799598366721, 'id_str': '834405799598366721', 'indices': [63, 78]}]",[],en,recent,927533606289006592,927533606289006592,Sandra-Eve Bamigbade,S_Bamigbade,United Kingdom,"PhD Candidate | Food & Public Health 💡Social Capital of Mealtimes | Food, Identity & Embodiment | Neurodiversity | 𝗔𝗹𝗹 𝘃𝗶𝗲𝘄𝘀 𝗮𝗿𝗲 𝗺𝘆 𝗼𝘄𝗻",,[],False,170,345,1,Mon Nov 06 13:50:19 +0000 2017,940,,,False,False,414,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1203053103752331265/oGF7XeG__normal.jpg,https://pbs.twimg.com/profile_images/1203053103752331265/oGF7XeG__normal.jpg,https://pbs.twimg.com/profile_banners/927533606289006592/1575664990,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Fri Jan 24 17:53:27 +0000 2020,1220766576678449163,1220766576678449163,@dannybuckers @UHDoctoral @UniofHerts @uniofhertslms @CRIPACC1 @UHertsResearch Huge congratulations Danny - I hope you are celebrating.,False,"[79, 135]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207438045983334e+18,1220743804598333440,421012051.0,421012051,dannybuckers,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'dannybuckers', 'name': 'Danny Buckley', 'id': 421012051, 'id_str': '421012051', 'indices': [0, 13]}, {'screen_name': 'UHDoctoral', 'name': 'UH Doctoral College', 'id': 2764681629, 'id_str': '2764681629', 'indices': [14, 25]}, {'screen_name': 'UniofHerts', 'name': 'University of Hertfordshire', 'id': 78887411, 'id_str': '78887411', 'indices': [26, 37]}, {'screen_name': 'uniofhertslms', 'name': 'Uni of Herts LMS', 'id': 905819103595823105, 'id_str': '905819103595823105', 'indices': [38, 52]}, {'screen_name': 'CRIPACC1', 'name': 'CRIPACC UH', 'id': 1560037494, 'id_str': '1560037494', 'indices': [53, 62]}, {'screen_name': 'UHertsResearch', 'name': 'UH Research Office', 'id': 834405799598366721, 'id_str': '834405799598366721', 'indices': [63, 78]}]",[],en,recent,34669770,34669770,Helen Barefoot,HelenBarefoot,"Hitchin, Hertfordshire",Loving life in beautiful Hitchin. Deputy Director of L&T Innovation Centre at UniofHerts. All views my own. She/Her,,[],False,1484,1957,39,Thu Apr 23 17:21:30 +0000 2009,7141,,,True,False,6083,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1136834987343327232/1E118hn9_normal.jpg,https://pbs.twimg.com/profile_images/1136834987343327232/1E118hn9_normal.jpg,https://pbs.twimg.com/profile_banners/34669770/1457561542,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Fri Jan 24 17:45:03 +0000 2020,1220764462896107523,1220764462896107523,@coffeehistoryJM @UHHeritageHub @SpursFoundation @sportinghistory @UniofHerts @SarahLloydHerts @UHDoctoral @Saskia_Kersten Lovely to meet you Jonathan!,False,"[123, 151]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2206227471240765e+18,1220622747124076544,8.097657160481546e+17,809765716048154624,coffeehistoryJM,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'coffeehistoryJM', 'name': 'Jonathan Morris', 'id': 809765716048154624, 'id_str': '809765716048154624', 'indices': [0, 16]}, {'screen_name': 'UHHeritageHub', 'name': 'UH Heritage Hub', 'id': 1092887347, 'id_str': '1092887347', 'indices': [17, 31]}, {'screen_name': 'SpursFoundation', 'name': 'Spurs Foundation', 'id': 2188721898, 'id_str': '2188721898', 'indices': [32, 48]}, {'screen_name': 'sportinghistory', 'name': 'Sporting Heritage', 'id': 631064532, 'id_str': '631064532', 'indices': [49, 65]}, {'screen_name': 'UniofHerts', 'name': 'University of Hertfordshire', 'id': 78887411, 'id_str': '78887411', 'indices': [66, 77]}, {'screen_name': 'SarahLloydHerts', 'name': 'Sarah Lloyd', 'id': 2599971086, 'id_str': '2599971086', 'indices': [78, 94]}, {'screen_name': 'UHDoctoral', 'name': 'UH Doctoral College', 'id': 2764681629, 'id_str': '2764681629', 'indices': [95, 106]}, {'screen_name': 'Saskia_Kersten', 'name': 'Dr Saskia Kersten', 'id': 312887559, 'id_str': '312887559', 'indices': [107, 122]}]",[],en,recent,2915375181,2915375181,CDP Connect,CDPConnect,United Kingdom,"Collaborative Doctoral Partnerships scheme funded by AHRC @ahrcpress. Studentships supervised by HEI & one of 25 museums, libraries, archives or heritage orgs",https://t.co/n2BwfJyOaD,[],False,1075,890,13,Thu Dec 11 12:37:19 +0000 2014,1594,,,True,False,1860,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/857885111630655488/5w8Sakzi_normal.jpg,https://pbs.twimg.com/profile_images/857885111630655488/5w8Sakzi_normal.jpg,https://pbs.twimg.com/profile_banners/2915375181/1530132311,3B94D9,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/n2BwfJyOaD', 'expanded_url': 'https://www.ahrc-cdp.org/', 'display_url': 'ahrc-cdp.org', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Fri Jan 24 17:15:16 +0000 2020,1220756966626201601,1220756966626201601,@uhchaplain @UHWellbeing @WellbeingSvcs @hertssu @eevawhybrow @JustinWelby @UniofHerts Excellent. Quite right.,False,"[87, 110]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2206370341313946e+18,1220637034131394560,9.336638414136279e+17,933663841413627904,uhchaplain,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'uhchaplain', 'name': 'Fiona Souter', 'id': 933663841413627904, 'id_str': '933663841413627904', 'indices': [0, 11]}, {'screen_name': 'UHWellbeing', 'name': 'UH Wellbeing', 'id': 843812532, 'id_str': '843812532', 'indices': [12, 24]}, {'screen_name': 'WellbeingSvcs', 'name': 'UH Student Wellbeing', 'id': 2202367181, 'id_str': '2202367181', 'indices': [25, 39]}, {'screen_name': 'hertssu', 'name': 'Hertfordshire SU', 'id': 47328760, 'id_str': '47328760', 'indices': [40, 48]}, {'screen_name': 'eevawhybrow', 'name': 'Eeva Whybrow', 'id': 835138434461233153, 'id_str': '835138434461233153', 'indices': [49, 61]}, {'screen_name': 'JustinWelby', 'name': 'Archbishop of Canterbury', 'id': 403488296, 'id_str': '403488296', 'indices': [62, 74]}, {'screen_name': 'UniofHerts', 'name': 'University of Hertfordshire', 'id': 78887411, 'id_str': '78887411', 'indices': [75, 86]}]",[],en,recent,1069874540120018944,1069874540120018944,UH Legal Team,UHLegalTeam,Hatfield,The Legal & Compliance Services team at the University of Hertfordshire. Comments on UH activities and HE legal developments.,https://t.co/TsMiyIT6ux,[],False,94,285,0,Tue Dec 04 08:42:22 +0000 2018,244,,,False,False,390,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1069984067570024449/818_4FnQ_normal.jpg,https://pbs.twimg.com/profile_images/1069984067570024449/818_4FnQ_normal.jpg,https://pbs.twimg.com/profile_banners/1069874540120018944/1551978693,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/TsMiyIT6ux', 'expanded_url': 'http://www.herts.ac.uk', 'display_url': 'herts.ac.uk', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Fri Jan 24 16:40:37 +0000 2020,1220748246810796032,1220748246810796032,@dannybuckers @UHDoctoral @UniofHerts @uniofhertslms @CRIPACC1 @UHertsResearch Well done!,False,"[79, 89]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207438045983334e+18,1220743804598333440,421012051.0,421012051,dannybuckers,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'dannybuckers', 'name': 'Danny Buckley', 'id': 421012051, 'id_str': '421012051', 'indices': [0, 13]}, {'screen_name': 'UHDoctoral', 'name': 'UH Doctoral College', 'id': 2764681629, 'id_str': '2764681629', 'indices': [14, 25]}, {'screen_name': 'UniofHerts', 'name': 'University of Hertfordshire', 'id': 78887411, 'id_str': '78887411', 'indices': [26, 37]}, {'screen_name': 'uniofhertslms', 'name': 'Uni of Herts LMS', 'id': 905819103595823105, 'id_str': '905819103595823105', 'indices': [38, 52]}, {'screen_name': 'CRIPACC1', 'name': 'CRIPACC UH', 'id': 1560037494, 'id_str': '1560037494', 'indices': [53, 62]}, {'screen_name': 'UHertsResearch', 'name': 'UH Research Office', 'id': 834405799598366721, 'id_str': '834405799598366721', 'indices': [63, 78]}]",[],en,recent,49339897,49339897,Dr Andrew Laughland,andrewlaughland,UK,"Cognitive Psychology Researcher @UniofHerts, IT consultant. Memory and mental health apps. WordPress maker. Did I mention I #loveparkrun? Excellent views (mine)",,[],False,822,3630,44,Sun Jun 21 15:25:35 +0000 2009,6994,,,False,False,6140,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1177240873073090560/0Rqjm700_normal.jpg,https://pbs.twimg.com/profile_images/1177240873073090560/0Rqjm700_normal.jpg,https://pbs.twimg.com/profile_banners/49339897/1569511075,4A913C,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Fri Jan 24 14:41:55 +0000 2020,1220718374868717571,1220718374868717571,@ajtlegal @UniofHerts @PennyJCarey Met them last week at a well-being session at induction - such an enthusiastic and lovely bunch of students,False,"[35, 142]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2206111330878505e+18,1220611133087850496,408379437.0,408379437,ajtlegal,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ajtlegal', 'name': 'Amanda Thurston', 'id': 408379437, 'id_str': '408379437', 'indices': [0, 9]}, {'screen_name': 'UniofHerts', 'name': 'University of Hertfordshire', 'id': 78887411, 'id_str': '78887411', 'indices': [10, 21]}, {'screen_name': 'PennyJCarey', 'name': 'Penny Carey', 'id': 79170324, 'id_str': '79170324', 'indices': [22, 34]}]",[],en,recent,563532497,563532497,Claudia Carr Rose,ClaudiaCarr2,,"Senior Lecturer in Medical Law and Ethics, PhD student but most importantly Mum of two fabulous women. All views my own. RT not necesarily endorsement.",,[],False,434,962,5,Thu Apr 26 07:49:42 +0000 2012,1831,,,True,False,2472,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/501817661974523904/2uClg9EX_normal.jpeg,https://pbs.twimg.com/profile_images/501817661974523904/2uClg9EX_normal.jpeg,https://pbs.twimg.com/profile_banners/563532497/1440706802,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Fri Jan 24 14:21:47 +0000 2020,1220713309411979264,1220713309411979264,#HertsPGR2020  Many congratulations! @dannybuckers #PhD #dementia @CRIPACC1 @UniofHerts #3minutethesis,False,"[0, 102]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,False,1,2,False,False,en,"[{'text': 'HertsPGR2020', 'indices': [0, 13]}, {'text': 'PhD', 'indices': [51, 55]}, {'text': 'dementia', 'indices': [56, 65]}, {'text': '3minutethesis', 'indices': [88, 102]}]",[],"[{'screen_name': 'dannybuckers', 'name': 'Danny Buckley', 'id': 421012051, 'id_str': '421012051', 'indices': [37, 50]}, {'screen_name': 'CRIPACC1', 'name': 'CRIPACC UH', 'id': 1560037494, 'id_str': '1560037494', 'indices': [66, 75]}, {'screen_name': 'UniofHerts', 'name': 'University of Hertfordshire', 'id': 78887411, 'id_str': '78887411', 'indices': [76, 87]}]",[],en,recent,2421027113,2421027113,Elspeth Mathie,elspeth_mathie,University of Hertfordshire,"Research Fellow, University of Hertfordshire, CLAHRC East of England, Patient and Public Involvement. Care home research, dementia and end of life care.",,[],False,766,728,22,Tue Mar 18 21:22:50 +0000 2014,5134,,,True,False,3387,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/534697758108561408/5ycYiPyv_normal.jpeg,https://pbs.twimg.com/profile_images/534697758108561408/5ycYiPyv_normal.jpeg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Fri Jan 24 13:23:40 +0000 2020,1220698686461792256,1220698686461792256,RT @LeanneKenyon_UH: Great debate from staff today about how @UniofHerts can do more for the #environment and #sustainability at our Strate…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,1,0,False,False,en,"[{'text': 'environment', 'indices': [93, 105]}, {'text': 'sustainability', 'indices': [110, 125]}]",[],"[{'screen_name': 'LeanneKenyon_UH', 'name': 'Leanne Kenyon', 'id': 1555437620, 'id_str': '1555437620', 'indices': [3, 19]}, {'screen_name': 'UniofHerts', 'name': 'University of Hertfordshire', 'id': 78887411, 'id_str': '78887411', 'indices': [61, 72]}]",[],en,recent,828175631645077504,828175631645077504,Ilana Spilka,izspilka,"London, England",Travel Obsessed. Geek of the Arts. Spoonie. Enterprise & Business Development @UniofHerts,https://t.co/MDiLffRPsq,[],False,38,139,0,Sun Feb 05 09:37:12 +0000 2017,92,,,True,False,287,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/952292317620293632/E_ak9yZy_normal.jpg,https://pbs.twimg.com/profile_images/952292317620293632/E_ak9yZy_normal.jpg,https://pbs.twimg.com/profile_banners/828175631645077504/1515879679,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/MDiLffRPsq', 'expanded_url': 'http://ilanaspilka.wordpress.com', 'display_url': 'ilanaspilka.wordpress.com', 'indices': [0, 23]}]",Thu Jan 23 15:32:08 +0000 2020,1.2203686243361096e+18,1220368624336109568,"Great debate from staff today about how @UniofHerts can do more for the #environment and #sustainability at our Strategic Plan Launch. It isn’t in our strategy, but I love how passionate our staff are for truly changing the world.",False,"[0, 230]","[{'text': 'environment', 'indices': [72, 84]}, {'text': 'sustainability', 'indices': [89, 104]}]",[],"[{'screen_name': 'UniofHerts', 'name': 'University of Hertfordshire', 'id': 78887411, 'id_str': '78887411', 'indices': [40, 51]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1555437620.0,1555437620,Leanne Kenyon,LeanneKenyon_UH,Hatfield,Business Development Sales Manager (Innovation) & MSc Occupational Psychology Graduate  @uniofherts. Helping businesses be their best selves! #goherts,https://t.co/0rDq9gFGOS,"[{'url': 'https://t.co/0rDq9gFGOS', 'expanded_url': 'http://bit.ly/1pG49HR', 'display_url': 'bit.ly/1pG49HR', 'indices': [0, 23]}]",[],False,768.0,682.0,51.0,Sat Jun 29 11:12:36 +0000 2013,1196.0,,,False,False,3616.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/378800000062847449/ca609d5602cb78d14b27de6f0b29f759_normal.jpeg,https://pbs.twimg.com/profile_images/378800000062847449/ca609d5602cb78d14b27de6f0b29f759_normal.jpeg,https://pbs.twimg.com/profile_banners/1555437620/1560531669,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,1.0,2.0,False,False,en,,,,,,,,,,,
