,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,user.entities.url.urls,user.profile_banner_url
1,Sat Jan 25 18:50:32 +0000 2020,1221143332321210369,1221143332321210369,"Very happy and proud to become a ""Joint Excellence in Science and Humanities"" fellow of the Austrian Academy of Sciences @oeaw , related to my reasearch in Astrobiology in collaboration with colleagues of the University of Graz @UniGraz
Thank you for this honour @oeaw !",False,"[0, 270]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,7,False,False,en,[],[],"[{'screen_name': 'oeaw', 'name': 'Austrian Academy of Sciences', 'id': 20133643, 'id_str': '20133643', 'indices': [121, 126]}, {'screen_name': 'UniGraz', 'name': 'Uni Graz/University of Graz', 'id': 38642556, 'id_str': '38642556', 'indices': [228, 236]}, {'screen_name': 'oeaw', 'name': 'Austrian Academy of Sciences', 'id': 20133643, 'id_str': '20133643', 'indices': [263, 268]}]",[],en,recent,592220950,592220950,Ximena Abrevaya,XimenaAbrevaya,"Buenos Aires, Argentina",#Scientist exploring life in the universe. #Astrobióloga #Astrobiologist CONICET(Senior Research Scientist-CONICET) & Periodista científica/science journalist.,https://t.co/0lI9tHKoHk,[],False,168,508,7,Sun May 27 23:12:05 +0000 2012,461,,,False,False,624,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1065039004729528320/0bTPZZ-Z_normal.jpg,https://pbs.twimg.com/profile_images/1065039004729528320/0bTPZZ-Z_normal.jpg,ABB8C2,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/0lI9tHKoHk', 'expanded_url': 'http://ximenaabrevaya.net', 'display_url': 'ximenaabrevaya.net', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/592220950/1525827403
4,Thu Jan 23 19:46:45 +0000 2020,1220432700940718080,1220432700940718080,@gobysimon @UniGraz @SandraBracun @jordanmcasey It’s Roberts pic 😍,False,"[48, 66]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220422050445189e+18,1220422050445189120,1970191052.0,1970191052,gobysimon,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'gobysimon', 'name': 'Simon Brandl', 'id': 1970191052, 'id_str': '1970191052', 'indices': [0, 10]}, {'screen_name': 'UniGraz', 'name': 'Uni Graz/University of Graz', 'id': 38642556, 'id_str': '38642556', 'indices': [11, 19]}, {'screen_name': 'SandraBracun', 'name': 'Sandra Bračun', 'id': 896295774425886720, 'id_str': '896295774425886720', 'indices': [20, 33]}, {'screen_name': 'jordanmcasey', 'name': 'Jordan Casey', 'id': 2808895640, 'id_str': '2808895640', 'indices': [34, 47]}]",[],en,recent,890886357970817024,890886357970817024,Maximilian Wagner,maximilian_wa,,PhD student • #ÖAWFellow • clingfish evolution and ecology • biogeography •  aquatic conservation • photography • travelling,,[],False,171,400,3,Fri Jul 28 10:47:14 +0000 2017,705,,,False,False,495,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1163318676780703744/ZEPNQjM6_normal.jpg,https://pbs.twimg.com/profile_images/1163318676780703744/ZEPNQjM6_normal.jpg,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/890886357970817024/1564884952
