,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
0,Sun Jan 26 04:30:12 +0000 2020,1221289210864271360,1221289210864271360,@mariamamini @Stanford CAPS has been plagued by these kinds of complaints since I have been here — 20 years.,False,"[23, 108]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.22128883213978e+18,1221288832139780097,428517396.0,428517396,mariamamini,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'mariamamini', 'name': 'Mariam Amini', 'id': 428517396, 'id_str': '428517396', 'indices': [0, 12]}, {'screen_name': 'Stanford', 'name': 'Stanford University', 'id': 18036441, 'id_str': '18036441', 'indices': [13, 22]}]",[],en,recent,141459742,141459742,Michele Dauber,mldauber,"California, USA","Professor @Stanford, Chair of @recallpersky, Chair of @enoughvoter, author of https://t.co/jmeVYR4aqn. Hobbies: backpacking, skiing, and ranting.",https://t.co/SOstueKZcA,"[{'url': 'https://t.co/SOstueKZcA', 'expanded_url': 'http://enoughisenoughvoter.org', 'display_url': 'enoughisenoughvoter.org', 'indices': [0, 23]}]","[{'url': 'https://t.co/jmeVYR4aqn', 'expanded_url': 'http://www.sympatheticstate.com', 'display_url': 'sympatheticstate.com', 'indices': [78, 101]}]",False,7732,782,90,Sat May 08 04:32:42 +0000 2010,4983,,,True,True,9584,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1111366495328624640/1mpM6h85_normal.png,https://pbs.twimg.com/profile_images/1111366495328624640/1mpM6h85_normal.png,https://pbs.twimg.com/profile_banners/141459742/1488467841,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun Jan 26 04:29:09 +0000 2020,1221288943196336128,1221288943196336128,"@mariamamini @Stanford I think that is also super ill advised and puts frosh on the spot, especially lgbtq frosh.",False,"[23, 113]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221287370516988e+18,1221287370516987904,428517396.0,428517396,mariamamini,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'mariamamini', 'name': 'Mariam Amini', 'id': 428517396, 'id_str': '428517396', 'indices': [0, 12]}, {'screen_name': 'Stanford', 'name': 'Stanford University', 'id': 18036441, 'id_str': '18036441', 'indices': [13, 22]}]",[],en,recent,141459742,141459742,Michele Dauber,mldauber,"California, USA","Professor @Stanford, Chair of @recallpersky, Chair of @enoughvoter, author of https://t.co/jmeVYR4aqn. Hobbies: backpacking, skiing, and ranting.",https://t.co/SOstueKZcA,"[{'url': 'https://t.co/SOstueKZcA', 'expanded_url': 'http://enoughisenoughvoter.org', 'display_url': 'enoughisenoughvoter.org', 'indices': [0, 23]}]","[{'url': 'https://t.co/jmeVYR4aqn', 'expanded_url': 'http://www.sympatheticstate.com', 'display_url': 'sympatheticstate.com', 'indices': [78, 101]}]",False,7732,782,90,Sat May 08 04:32:42 +0000 2010,4983,,,True,True,9584,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1111366495328624640/1mpM6h85_normal.png,https://pbs.twimg.com/profile_images/1111366495328624640/1mpM6h85_normal.png,https://pbs.twimg.com/profile_banners/141459742/1488467841,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sun Jan 26 00:37:36 +0000 2020,1221230673329033219,1221230673329033219,"Xinyue Zhang @Stanford @SnyderShot lab 

Viridiplantae as dominant strains 
Found Propinuobacterium as well 

@asmsnews #ASMSSanibel #exposomics",False,"[0, 144]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,en,"[{'text': 'ASMSSanibel', 'indices': [120, 132]}, {'text': 'exposomics', 'indices': [133, 144]}]",[],"[{'screen_name': 'Stanford', 'name': 'Stanford University', 'id': 18036441, 'id_str': '18036441', 'indices': [13, 22]}, {'screen_name': 'SnyderShot', 'name': 'Michael Snyder', 'id': 2276551987, 'id_str': '2276551987', 'indices': [23, 34]}, {'screen_name': 'asmsnews', 'name': 'Am Soc for Mass Spec', 'id': 278767501, 'id_str': '278767501', 'indices': [110, 119]}]",[],en,recent,751885664283602944,751885664283602944,Biswapriya Misra,BiswapriyaMisra,"Winston-Salem, NC","BioOmician, #Metabolomics, Alumnus: @IITKgp @ETH_en @UF @txbiomed Assistant Professor @wakehealth https://t.co/y9eqZ5aLPF",https://t.co/lcICMAwBBk,"[{'url': 'https://t.co/lcICMAwBBk', 'expanded_url': 'https://orcid.org/0000-0003-2589-6539', 'display_url': 'orcid.org/0000-0003-2589…', 'indices': [0, 23]}]","[{'url': 'https://t.co/y9eqZ5aLPF', 'expanded_url': 'https://bit.ly/2lYtmn1', 'display_url': 'bit.ly/2lYtmn1', 'indices': [98, 121]}]",False,2446,1229,330,Sat Jul 09 21:08:06 +0000 2016,107059,,,True,False,44823,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220352679295311874/Sx1-Gw5F_normal.jpg,https://pbs.twimg.com/profile_images/1220352679295311874/Sx1-Gw5F_normal.jpg,https://pbs.twimg.com/profile_banners/751885664283602944/1506573053,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sun Jan 26 00:35:12 +0000 2020,1221230067579269120,1221230067579269120,"RT @BiswapriyaMisra: Next: Xinyue Zhang on Deep  sequencing for microbial exposure in hospital air @Stanford @SnyderShot lab 

Hospital Acq…",False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'BiswapriyaMisra', 'name': 'Biswapriya Misra', 'id': 751885664283602944, 'id_str': '751885664283602944', 'indices': [3, 19]}, {'screen_name': 'Stanford', 'name': 'Stanford University', 'id': 18036441, 'id_str': '18036441', 'indices': [99, 108]}, {'screen_name': 'SnyderShot', 'name': 'Michael Snyder', 'id': 2276551987, 'id_str': '2276551987', 'indices': [109, 120]}]",[],en,recent,751885664283602944,751885664283602944,Biswapriya Misra,BiswapriyaMisra,"Winston-Salem, NC","BioOmician, #Metabolomics, Alumnus: @IITKgp @ETH_en @UF @txbiomed Assistant Professor @wakehealth https://t.co/y9eqZ5aLPF",https://t.co/lcICMAwBBk,"[{'url': 'https://t.co/lcICMAwBBk', 'expanded_url': 'https://orcid.org/0000-0003-2589-6539', 'display_url': 'orcid.org/0000-0003-2589…', 'indices': [0, 23]}]","[{'url': 'https://t.co/y9eqZ5aLPF', 'expanded_url': 'https://bit.ly/2lYtmn1', 'display_url': 'bit.ly/2lYtmn1', 'indices': [98, 121]}]",False,2446,1229,330,Sat Jul 09 21:08:06 +0000 2016,107059,,,True,False,44823,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220352679295311874/Sx1-Gw5F_normal.jpg,https://pbs.twimg.com/profile_images/1220352679295311874/Sx1-Gw5F_normal.jpg,https://pbs.twimg.com/profile_banners/751885664283602944/1506573053,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,Sun Jan 26 00:34:56 +0000 2020,1.2212299999503237e+18,1221229999950323712,"Next: Xinyue Zhang on Deep  sequencing for microbial exposure in hospital air @Stanford @SnyderShot lab 

Hospital Acquired Infections (HAIs) 99,000 die every year. 

2 million people develop HAI/ yr
 
Shotgun rRNA sequencing 

@asmsnews #ASMSSanibel #exposomics",False,"[0, 262]","[{'text': 'ASMSSanibel', 'indices': [238, 250]}, {'text': 'exposomics', 'indices': [251, 262]}]",[],"[{'screen_name': 'Stanford', 'name': 'Stanford University', 'id': 18036441, 'id_str': '18036441', 'indices': [78, 87]}, {'screen_name': 'SnyderShot', 'name': 'Michael Snyder', 'id': 2276551987, 'id_str': '2276551987', 'indices': [88, 99]}, {'screen_name': 'asmsnews', 'name': 'Am Soc for Mass Spec', 'id': 278767501, 'id_str': '278767501', 'indices': [228, 237]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,7.51885664283603e+17,751885664283602944,Biswapriya Misra,BiswapriyaMisra,"Winston-Salem, NC","BioOmician, #Metabolomics, Alumnus: @IITKgp @ETH_en @UF @txbiomed Assistant Professor @wakehealth https://t.co/y9eqZ5aLPF",https://t.co/lcICMAwBBk,"[{'url': 'https://t.co/y9eqZ5aLPF', 'expanded_url': 'https://bit.ly/2lYtmn1', 'display_url': 'bit.ly/2lYtmn1', 'indices': [98, 121]}]",False,2446.0,1229.0,330.0,Sat Jul 09 21:08:06 +0000 2016,107059.0,,,True,False,44823.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220352679295311874/Sx1-Gw5F_normal.jpg,https://pbs.twimg.com/profile_images/1220352679295311874/Sx1-Gw5F_normal.jpg,https://pbs.twimg.com/profile_banners/751885664283602944/1506573053,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,False,1.0,1.0,False,False,en,"[{'url': 'https://t.co/lcICMAwBBk', 'expanded_url': 'https://orcid.org/0000-0003-2589-6539', 'display_url': 'orcid.org/0000-0003-2589…', 'indices': [0, 23]}]",,,,,,,,,,
9,Sun Jan 26 00:34:56 +0000 2020,1221229999950323712,1221229999950323712,"Next: Xinyue Zhang on Deep  sequencing for microbial exposure in hospital air @Stanford @SnyderShot lab 

Hospital Acquired Infections (HAIs) 99,000 die every year. 

2 million people develop HAI/ yr
 
Shotgun rRNA sequencing 

@asmsnews #ASMSSanibel #exposomics",False,"[0, 262]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,1,False,False,en,"[{'text': 'ASMSSanibel', 'indices': [238, 250]}, {'text': 'exposomics', 'indices': [251, 262]}]",[],"[{'screen_name': 'Stanford', 'name': 'Stanford University', 'id': 18036441, 'id_str': '18036441', 'indices': [78, 87]}, {'screen_name': 'SnyderShot', 'name': 'Michael Snyder', 'id': 2276551987, 'id_str': '2276551987', 'indices': [88, 99]}, {'screen_name': 'asmsnews', 'name': 'Am Soc for Mass Spec', 'id': 278767501, 'id_str': '278767501', 'indices': [228, 237]}]",[],en,recent,751885664283602944,751885664283602944,Biswapriya Misra,BiswapriyaMisra,"Winston-Salem, NC","BioOmician, #Metabolomics, Alumnus: @IITKgp @ETH_en @UF @txbiomed Assistant Professor @wakehealth https://t.co/y9eqZ5aLPF",https://t.co/lcICMAwBBk,"[{'url': 'https://t.co/lcICMAwBBk', 'expanded_url': 'https://orcid.org/0000-0003-2589-6539', 'display_url': 'orcid.org/0000-0003-2589…', 'indices': [0, 23]}]","[{'url': 'https://t.co/y9eqZ5aLPF', 'expanded_url': 'https://bit.ly/2lYtmn1', 'display_url': 'bit.ly/2lYtmn1', 'indices': [98, 121]}]",False,2446,1229,330,Sat Jul 09 21:08:06 +0000 2016,107059,,,True,False,44823,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220352679295311874/Sx1-Gw5F_normal.jpg,https://pbs.twimg.com/profile_images/1220352679295311874/Sx1-Gw5F_normal.jpg,https://pbs.twimg.com/profile_banners/751885664283602944/1506573053,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sun Jan 26 00:15:16 +0000 2020,1221225051267063808,1221225051267063808,RT @Ayeshamyar: Next up is the keynote that I am super excited for. Mike Snyder of @Stanford: Big Data and Health #KS1Mgenome,False,"[0, 125]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,0,False,False,en,"[{'text': 'KS1Mgenome', 'indices': [114, 125]}]",[],"[{'screen_name': 'Ayeshamyar', 'name': 'Ayesha Muhammad', 'id': 3381916701, 'id_str': '3381916701', 'indices': [3, 14]}, {'screen_name': 'Stanford', 'name': 'Stanford University', 'id': 18036441, 'id_str': '18036441', 'indices': [83, 92]}]",[],en,recent,30064358,30064358,Keystone Symposia,KeystoneSymp,"Silverthorne, CO",A catalyst for accelerating life science discovery and connecting scientists within and across disciplines at symposia worldwide. RT does not imply endorsement.,http://t.co/u9D3C80DOv,"[{'url': 'http://t.co/u9D3C80DOv', 'expanded_url': 'http://www.keystonesymposia.org', 'display_url': 'keystonesymposia.org', 'indices': [0, 22]}]",[],False,7878,809,148,Thu Apr 09 20:50:44 +0000 2009,1485,,,True,False,5392,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1186375757179678720/FEGwNqub_normal.png,https://pbs.twimg.com/profile_images/1186375757179678720/FEGwNqub_normal.png,https://pbs.twimg.com/profile_banners/30064358/1571183033,4A913C,D3D2CF,E3E2DE,634047,True,False,False,False,False,False,False,none,,,,,,,,,,,Sat Jan 25 01:07:09 +0000 2020,1.2208757237217567e+18,1220875723721756673,Next up is the keynote that I am super excited for. Mike Snyder of @Stanford: Big Data and Health #KS1Mgenome,False,"[0, 109]","[{'text': 'KS1Mgenome', 'indices': [98, 109]}]",[],"[{'screen_name': 'Stanford', 'name': 'Stanford University', 'id': 18036441, 'id_str': '18036441', 'indices': [67, 76]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,3381916701.0,3381916701,Ayesha Muhammad,Ayeshamyar,"Nashville, TN",G2 (year 4) at @vanderbiltmstp | arrhythmia genetics | @yale 2014 | opinions = mine | #doubledocs,,[],False,225.0,400.0,3.0,Sat Jul 18 17:04:27 +0000 2015,262.0,,,False,False,947.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/654361511041724416/LHugAJgN_normal.jpg,https://pbs.twimg.com/profile_images/654361511041724416/LHugAJgN_normal.jpg,,94D487,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,False,1.0,2.0,False,False,en,,,,,,,,,,,
22,Sat Jan 25 20:18:40 +0000 2020,1221165509493825537,1221165509493825537,"@BrookeKanani @TagAGiant @Stanford @OCEARCH Thank you Brooke for channeling your creative talents into all of the important causes that promote a healthy ocean and allow us to contribute to them, as well!",False,"[44, 204]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221164182508331e+18,1221164182508331008,226568162.0,226568162,BrookeKanani,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'BrookeKanani', 'name': 'Brooke Kanani', 'id': 226568162, 'id_str': '226568162', 'indices': [0, 13]}, {'screen_name': 'TagAGiant', 'name': 'Tag-A-Giant', 'id': 334063468, 'id_str': '334063468', 'indices': [14, 24]}, {'screen_name': 'Stanford', 'name': 'Stanford University', 'id': 18036441, 'id_str': '18036441', 'indices': [25, 34]}, {'screen_name': 'OCEARCH', 'name': 'OCEARCH', 'id': 65431632, 'id_str': '65431632', 'indices': [35, 43]}]",[],en,recent,313417816,313417816,Randy Haligman,Randy_Haligman,"Vero Beach,Fl",Student of fixed operations. 30 years experience in dealership operations and partial to St. Bernards and Apex Predators. Proudly support OCEARCH!🦈🦈🦈🦈🦈🦈🦈,,,[],False,267,770,2,Wed Jun 08 16:37:43 +0000 2011,14352,,,False,False,1637,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1157974555010510850/cdk1pREW_normal.jpg,https://pbs.twimg.com/profile_images/1157974555010510850/cdk1pREW_normal.jpg,https://pbs.twimg.com/profile_banners/313417816/1547773288,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sat Jan 25 19:40:26 +0000 2020,1221155886925778947,1221155886925778947,"@BrookeKanani @TagAGiant @Stanford You know I am very fond of your work, especially with @OCEARCH  but when I saw these, I could not resist!!! Another great piece @BrookeKanani , keep up the fantastic work!!!!!",False,"[35, 210]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211090262909133e+18,1221109026290913280,226568162.0,226568162,BrookeKanani,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'BrookeKanani', 'name': 'Brooke Kanani', 'id': 226568162, 'id_str': '226568162', 'indices': [0, 13]}, {'screen_name': 'TagAGiant', 'name': 'Tag-A-Giant', 'id': 334063468, 'id_str': '334063468', 'indices': [14, 24]}, {'screen_name': 'Stanford', 'name': 'Stanford University', 'id': 18036441, 'id_str': '18036441', 'indices': [25, 34]}, {'screen_name': 'OCEARCH', 'name': 'OCEARCH', 'id': 65431632, 'id_str': '65431632', 'indices': [89, 97]}, {'screen_name': 'BrookeKanani', 'name': 'Brooke Kanani', 'id': 226568162, 'id_str': '226568162', 'indices': [163, 176]}]",[],en,recent,313417816,313417816,Randy Haligman,Randy_Haligman,"Vero Beach,Fl",Student of fixed operations. 30 years experience in dealership operations and partial to St. Bernards and Apex Predators. Proudly support OCEARCH!🦈🦈🦈🦈🦈🦈🦈,,,[],False,267,770,2,Wed Jun 08 16:37:43 +0000 2011,14352,,,False,False,1637,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1157974555010510850/cdk1pREW_normal.jpg,https://pbs.twimg.com/profile_images/1157974555010510850/cdk1pREW_normal.jpg,https://pbs.twimg.com/profile_banners/313417816/1547773288,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sat Jan 25 02:44:39 +0000 2020,1220900260479930368,1220900260479930368,RT @Ayeshamyar: @Stanford MS: designed an exposometer. Measures temp and sucks up air to measure particles and the chemicals - hydrophobics…,False,"[0, 140]","<a href=""http://www.socioexposome.com"" rel=""nofollow"">Exposomics</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'Ayeshamyar', 'name': 'Ayesha Muhammad', 'id': 3381916701, 'id_str': '3381916701', 'indices': [3, 14]}, {'screen_name': 'Stanford', 'name': 'Stanford University', 'id': 18036441, 'id_str': '18036441', 'indices': [16, 25]}]",[],en,recent,746080263495630848,746080263495630848,Interexposome,interexposome,"Boston, MA",A resource for diverse EH scholars struck by the dream of the Wild #exposome / #bigdata #omics #socialscience #mixedmethods #eco #community / ed. @bridgethanna,,,[],False,539,243,115,Thu Jun 23 20:39:31 +0000 2016,373,,,True,False,7850,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/757411696805814274/I9GqddTF_normal.jpg,https://pbs.twimg.com/profile_images/757411696805814274/I9GqddTF_normal.jpg,https://pbs.twimg.com/profile_banners/746080263495630848/1469416328,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,Sat Jan 25 01:46:52 +0000 2020,1.2208857158666772e+18,1220885715866677248,"@Stanford MS: designed an exposometer. Measures temp and sucks up air to measure particles and the chemicals - hydrophobics and hydrophilics - Use a different over the weekday, over the weekend. Measure biotics - DNA, RNA - and measure sterily the exposome.",False,"[10, 257]",[],[],"[{'screen_name': 'Stanford', 'name': 'Stanford University', 'id': 18036441, 'id_str': '18036441', 'indices': [0, 9]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2208763528757453e+18,1220876352875745280,3381916701.0,3381916701,Ayeshamyar,3381916701.0,3381916701,Ayesha Muhammad,Ayeshamyar,"Nashville, TN",G2 (year 4) at @vanderbiltmstp | arrhythmia genetics | @yale 2014 | opinions = mine | #doubledocs,,[],False,225.0,400.0,3.0,Sat Jul 18 17:04:27 +0000 2015,262.0,,,False,False,947.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/654361511041724416/LHugAJgN_normal.jpg,https://pbs.twimg.com/profile_images/654361511041724416/LHugAJgN_normal.jpg,,94D487,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,False,1.0,0.0,False,False,en,,,,,,,,,,,
55,Sat Jan 25 02:44:34 +0000 2020,1220900237855940608,1220900237855940608,RT @Ayeshamyar: @Stanford MS: have been wearing the exposometer for 6 years. Learnt that the exposome is vast. &gt;2500 species exposed to mea…,False,"[0, 143]","<a href=""http://www.socioexposome.com"" rel=""nofollow"">Exposomics</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'Ayeshamyar', 'name': 'Ayesha Muhammad', 'id': 3381916701, 'id_str': '3381916701', 'indices': [3, 14]}, {'screen_name': 'Stanford', 'name': 'Stanford University', 'id': 18036441, 'id_str': '18036441', 'indices': [16, 25]}]",[],en,recent,746080263495630848,746080263495630848,Interexposome,interexposome,"Boston, MA",A resource for diverse EH scholars struck by the dream of the Wild #exposome / #bigdata #omics #socialscience #mixedmethods #eco #community / ed. @bridgethanna,,,[],False,539,243,115,Thu Jun 23 20:39:31 +0000 2016,373,,,True,False,7850,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/757411696805814274/I9GqddTF_normal.jpg,https://pbs.twimg.com/profile_images/757411696805814274/I9GqddTF_normal.jpg,https://pbs.twimg.com/profile_banners/746080263495630848/1469416328,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,Sat Jan 25 01:48:22 +0000 2020,1.2208860931820954e+18,1220886093182095360,@Stanford MS: have been wearing the exposometer for 6 years. Learnt that the exposome is vast. &gt;2500 species exposed to measured using scanning EM. exposome is very dynamic.,False,"[10, 176]",[],[],"[{'screen_name': 'Stanford', 'name': 'Stanford University', 'id': 18036441, 'id_str': '18036441', 'indices': [0, 9]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2208763528757453e+18,1220876352875745280,3381916701.0,3381916701,Ayeshamyar,3381916701.0,3381916701,Ayesha Muhammad,Ayeshamyar,"Nashville, TN",G2 (year 4) at @vanderbiltmstp | arrhythmia genetics | @yale 2014 | opinions = mine | #doubledocs,,[],False,225.0,400.0,3.0,Sat Jul 18 17:04:27 +0000 2015,262.0,,,False,False,947.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/654361511041724416/LHugAJgN_normal.jpg,https://pbs.twimg.com/profile_images/654361511041724416/LHugAJgN_normal.jpg,,94D487,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,False,1.0,0.0,False,False,en,,,,,,,,,,,
