,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
0,Thu Jan 23 19:24:14 +0000 2020,1220427037321650183,1220427037321650183,RT @EngineersCanada: It's back! Engineers Canada and @polymtl 's FREE online course has gotten great reviews from participants! We're bring…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,4,0,False,False,en,[],[],"[{'screen_name': 'EngineersCanada', 'name': 'Engineers Canada', 'id': 120106749, 'id_str': '120106749', 'indices': [3, 19]}, {'screen_name': 'polymtl', 'name': 'Polytechnique Mtl', 'id': 23876446, 'id_str': '23876446', 'indices': [53, 61]}]",[],en,recent,242434002,242434002,Engineers & Geoscientists NB,APEGNB,"New Brunswick, Canada",We are the Regulator for professional #engineers & #geoscientists in New Brunswick - pour francais: @AIGNB,https://t.co/O8x1eakRm8,"[{'url': 'https://t.co/O8x1eakRm8', 'expanded_url': 'https://www.apegnb.com', 'display_url': 'apegnb.com', 'indices': [0, 23]}]",[],False,2665,627,346,Mon Jan 24 19:40:49 +0000 2011,3529,,,False,False,17996,,False,False,False,ABB8C2,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1225401636/Gear-Globe_Icon-RGB_low_-_Copy_normal.jpg,https://pbs.twimg.com/profile_images/1225401636/Gear-Globe_Icon-RGB_low_-_Copy_normal.jpg,https://pbs.twimg.com/profile_banners/242434002/1578411350,1B95E0,FFFFFF,C5E7F0,333333,False,True,False,False,False,False,False,none,Wed Jan 22 19:04:05 +0000 2020,1.2200595768103117e+18,1220059576810311681,"It's back! Engineers Canada and @polymtl 's FREE online course has gotten great reviews from participants! We're bringing it back for a fourth offering, starting on March 18. Register today for Sustainability in Practice:",False,"[0, 221]",[],[],"[{'screen_name': 'polymtl', 'name': 'Polytechnique Mtl', 'id': 23876446, 'id_str': '23876446', 'indices': [32, 40]}]",[],en,recent,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,120106749.0,120106749,Engineers Canada,EngineersCanada,"Ottawa, Ontario",The national association of Canada's engineering regulatory bodies. | L'association nationale des organismes de réglementation du génie au Canada.,http://t.co/rh79k5ywnM,"[{'url': 'http://t.co/rh79k5ywnM', 'expanded_url': 'http://www.engineerscanada.ca', 'display_url': 'engineerscanada.ca', 'indices': [0, 22]}]",[],False,12672.0,1834.0,231.0,Fri Mar 05 13:48:30 +0000 2010,1499.0,,,False,False,9283.0,,False,False,False,207C8C,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/458709183693467648/zlV0U4Zs_normal.jpeg,https://pbs.twimg.com/profile_images/458709183693467648/zlV0U4Zs_normal.jpeg,https://pbs.twimg.com/profile_banners/120106749/1522769301,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,False,4.0,6.0,False,False,en
2,Thu Jan 23 00:10:30 +0000 2020,1220136688284000256,1220136688284000256,@academiqueRose @geradinfo @IVADO_Qc @polymtl Agh!  The reverse prank!,False,"[46, 70]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2201348589257277e+18,1220134858925727744,3254843123.0,3254843123,academiqueRose,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'academiqueRose', 'name': 'Rosemarie Santa González', 'id': 3254843123, 'id_str': '3254843123', 'indices': [0, 15]}, {'screen_name': 'geradinfo', 'name': 'GERAD Recherche', 'id': 1375415378, 'id_str': '1375415378', 'indices': [16, 26]}, {'screen_name': 'IVADO_Qc', 'name': 'IVADO', 'id': 3309751660, 'id_str': '3309751660', 'indices': [27, 36]}, {'screen_name': 'polymtl', 'name': 'Polytechnique Mtl', 'id': 23876446, 'id_str': '23876446', 'indices': [37, 45]}]",[],en,recent,34718770,34718770,Sean Grogan,SeanGrogan,Montreal,Doc enroute #orms @PolyMtl @polymtl_magi; building decision making tools; can't decide what's for dinner; emergency mgmt; maps; half 🇺🇲 half 🇨🇭 wannabe 🇨🇦,,,[],False,243,529,1,Thu Apr 23 20:26:22 +0000 2009,2396,,,True,False,257,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1010338464947109888/ve6iH3_D_normal.jpg,https://pbs.twimg.com/profile_images/1010338464947109888/ve6iH3_D_normal.jpg,https://pbs.twimg.com/profile_banners/34718770/1567598326,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mon Jan 20 16:09:00 +0000 2020,1219290739370270721,1219290739370270721,The series of open access talks of my datavis course start tomorrow morning with a talk from @NaelShiab (in French) There might be a few open seats if you want to attend ! (not guaranteed) Where ? At Polytechnique @polymtl in the room M-2201 What time ? 11h30 in the morning.,False,"[0, 275]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,2,3,False,False,en,[],[],"[{'screen_name': 'NaelShiab', 'name': 'Naël Shiab', 'id': 205515351, 'id_str': '205515351', 'indices': [93, 103]}, {'screen_name': 'polymtl', 'name': 'Polytechnique Mtl', 'id': 23876446, 'id_str': '23876446', 'indices': [214, 222]}]",[],en,recent,2591404608,2591404608,Thomas Hurtut,ThomasHurtut,Montreal,"Professor at Polytechnique Montreal @polymtl. Information visualization & image modeling, 頑張る。",https://t.co/Fotj1RNofT,"[{'url': 'https://t.co/Fotj1RNofT', 'expanded_url': 'http://www.professeurs.polymtl.ca/thomas.hurtut/', 'display_url': 'professeurs.polymtl.ca/thomas.hurtut/', 'indices': [0, 23]}]",[],False,112,235,5,Fri Jun 27 14:03:12 +0000 2014,642,,,False,False,260,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/482526417628848129/FjKvmbyD_normal.jpeg,https://pbs.twimg.com/profile_images/482526417628848129/FjKvmbyD_normal.jpeg,https://pbs.twimg.com/profile_banners/2591404608/1541537137,4A9DE6,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
