,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.user.entities.url.urls,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
5,Sun Jan 26 02:16:33 +0000 2020,1221255573691424770,1221255573691424770,@uoftlibraries @UofT @uoftalumni @MediaCommons_TO @UofTStudentLife Perfection!,False,"[67, 78]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212071097291817e+18,1221207109729181697,79529480.0,79529480,uoftlibraries,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'uoftlibraries', 'name': 'U of T Libraries', 'id': 79529480, 'id_str': '79529480', 'indices': [0, 14]}, {'screen_name': 'UofT', 'name': 'University of Toronto', 'id': 821814254, 'id_str': '821814254', 'indices': [15, 20]}, {'screen_name': 'uoftalumni', 'name': 'U of T Alumni', 'id': 23604654, 'id_str': '23604654', 'indices': [21, 32]}, {'screen_name': 'MediaCommons_TO', 'name': 'University of Toronto Media Commons Archives', 'id': 331050937, 'id_str': '331050937', 'indices': [33, 49]}, {'screen_name': 'UofTStudentLife', 'name': 'University of Toronto Student Life', 'id': 130553833, 'id_str': '130553833', 'indices': [50, 66]}]",[],en,recent,2435849076,2435849076,UTSC Library,UTSCLibrary,Scarborough,Welcome to the Official Twitter account for the University of Toronto Scarborough (@UTSC) Library. Home to the #UTSCMakerspace: https://t.co/xPKV9wO9l9. #UTSCLibrary,https://t.co/dZtCCRz07G,"[{'url': 'https://t.co/xPKV9wO9l9', 'expanded_url': 'http://UofT.Me/Makerspace', 'display_url': 'UofT.Me/Makerspace', 'indices': [128, 151]}]",False,1024,655,29,Wed Apr 09 17:57:18 +0000 2014,6062,,,True,False,3942,,False,False,False,6CACE4,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1013432943669399552/jlyso6fQ_normal.jpg,https://pbs.twimg.com/profile_images/1013432943669399552/jlyso6fQ_normal.jpg,https://pbs.twimg.com/profile_banners/2435849076/1534342594,1B95E0,000000,000000,000000,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/dZtCCRz07G', 'expanded_url': 'http://utsc.library.utoronto.ca', 'display_url': 'utsc.library.utoronto.ca', 'indices': [0, 23]}]",3797791ff9c0e4c6,https://api.twitter.com/1.1/geo/id/3797791ff9c0e4c6.json,city,Toronto,"Toronto, Ontario",CA,Canada,[],Polygon,"[[[-79.639319, 43.403221], [-78.90582, 43.403221], [-78.90582, 43.855401], [-79.639319, 43.855401]]]",,,,,,,,,,,
35,Sat Jan 25 19:06:50 +0000 2020,1221147431754174464,1221147431754174464,@TheDawnBell @UofT Thanks Dawn :),False,"[19, 33]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211420462552556e+18,1221142046255255552,9.040877565398057e+17,904087756539805696,TheDawnBell,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'TheDawnBell', 'name': 'Dawn Bell', 'id': 904087756539805696, 'id_str': '904087756539805696', 'indices': [0, 12]}, {'screen_name': 'UofT', 'name': 'University of Toronto', 'id': 821814254, 'id_str': '821814254', 'indices': [13, 18]}]",[],en,recent,1112211,1112211,Alan Aspuru-Guzik,A_Aspuru_Guzik,,Professor of Chemistry and Computer Science @UofT @VectorInst @CIFAR_News AI Chair and Senior Fellow. Canada 150 Chair. @ZapataComputing @KebotixInc,https://t.co/i8vl4Sbutn,[],False,8555,3237,204,Tue Mar 13 20:08:16 +0000 2007,22655,,,False,False,14214,,False,False,False,BADFCD,http://abs.twimg.com/images/themes/theme12/bg.gif,https://abs.twimg.com/images/themes/theme12/bg.gif,False,http://pbs.twimg.com/profile_images/1193514098048323584/-vT2rRUD_normal.jpg,https://pbs.twimg.com/profile_images/1193514098048323584/-vT2rRUD_normal.jpg,https://pbs.twimg.com/profile_banners/1112211/1522264986,FF0000,F2E195,FFF7CC,0C3E53,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/i8vl4Sbutn', 'expanded_url': 'http://matter.toronto.edu', 'display_url': 'matter.toronto.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,
37,Sat Jan 25 17:17:24 +0000 2020,1221119893157875712,1221119893157875712,@fmoxley3 @UofT @chemuoft @UofTCompSci @VectorInst @CIFAR_News @UBC @KebotixInc @ZapataComputing @InSilicoMeds @DARPA Bureaucracy and red tape are good. We want to make sure we have good and responsible drugs in the market.,False,"[118, 223]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221118522320937e+18,1221118522320936961,173682370.0,173682370,fmoxley3,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'fmoxley3', 'name': 'fred moxley', 'id': 173682370, 'id_str': '173682370', 'indices': [0, 9]}, {'screen_name': 'UofT', 'name': 'University of Toronto', 'id': 821814254, 'id_str': '821814254', 'indices': [10, 15]}, {'screen_name': 'chemuoft', 'name': 'Chemistry at UofT', 'id': 361250226, 'id_str': '361250226', 'indices': [16, 25]}, {'screen_name': 'UofTCompSci', 'name': 'UofTCompSci', 'id': 65638162, 'id_str': '65638162', 'indices': [26, 38]}, {'screen_name': 'VectorInst', 'name': 'Vector Institute', 'id': 845968426011119616, 'id_str': '845968426011119616', 'indices': [39, 50]}, {'screen_name': 'CIFAR_News', 'name': 'CIFAR', 'id': 40281983, 'id_str': '40281983', 'indices': [51, 62]}, {'screen_name': 'UBC', 'name': 'University of British Columbia', 'id': 28453440, 'id_str': '28453440', 'indices': [63, 67]}, {'screen_name': 'KebotixInc', 'name': 'Kebotix', 'id': 1027275974008885248, 'id_str': '1027275974008885248', 'indices': [68, 79]}, {'screen_name': 'ZapataComputing', 'name': 'Zapata Computing', 'id': 925149752525803521, 'id_str': '925149752525803521', 'indices': [80, 96]}, {'screen_name': 'InSilicoMeds', 'name': 'Insilico Medicine', 'id': 2598140246, 'id_str': '2598140246', 'indices': [97, 110]}, {'screen_name': 'DARPA', 'name': 'DARPA', 'id': 54645160, 'id_str': '54645160', 'indices': [111, 117]}]",[],en,recent,1112211,1112211,Alan Aspuru-Guzik,A_Aspuru_Guzik,,Professor of Chemistry and Computer Science @UofT @VectorInst @CIFAR_News AI Chair and Senior Fellow. Canada 150 Chair. @ZapataComputing @KebotixInc,https://t.co/i8vl4Sbutn,[],False,8555,3237,204,Tue Mar 13 20:08:16 +0000 2007,22655,,,False,False,14214,,False,False,False,BADFCD,http://abs.twimg.com/images/themes/theme12/bg.gif,https://abs.twimg.com/images/themes/theme12/bg.gif,False,http://pbs.twimg.com/profile_images/1193514098048323584/-vT2rRUD_normal.jpg,https://pbs.twimg.com/profile_images/1193514098048323584/-vT2rRUD_normal.jpg,https://pbs.twimg.com/profile_banners/1112211/1522264986,FF0000,F2E195,FFF7CC,0C3E53,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/i8vl4Sbutn', 'expanded_url': 'http://matter.toronto.edu', 'display_url': 'matter.toronto.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,
39,Sat Jan 25 16:59:33 +0000 2020,1221115399233789954,1221115399233789954,"@A_Aspuru_Guzik @UofT @chemuoft @UofTCompSci @VectorInst @CIFAR_News @UBC @KebotixInc @ZapataComputing @InSilicoMeds @DARPA Please do. I worked on ""lab automation"" in 2017 for a few months, unfortunately, suspended due to some unfortunate events! However, intelligent control has been the subject of my interest since then.",False,"[124, 323]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2211133624126013e+18,1221113362412601345,1112211.0,1112211,A_Aspuru_Guzik,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'A_Aspuru_Guzik', 'name': 'Alan Aspuru-Guzik', 'id': 1112211, 'id_str': '1112211', 'indices': [0, 15]}, {'screen_name': 'UofT', 'name': 'University of Toronto', 'id': 821814254, 'id_str': '821814254', 'indices': [16, 21]}, {'screen_name': 'chemuoft', 'name': 'Chemistry at UofT', 'id': 361250226, 'id_str': '361250226', 'indices': [22, 31]}, {'screen_name': 'UofTCompSci', 'name': 'UofTCompSci', 'id': 65638162, 'id_str': '65638162', 'indices': [32, 44]}, {'screen_name': 'VectorInst', 'name': 'Vector Institute', 'id': 845968426011119616, 'id_str': '845968426011119616', 'indices': [45, 56]}, {'screen_name': 'CIFAR_News', 'name': 'CIFAR', 'id': 40281983, 'id_str': '40281983', 'indices': [57, 68]}, {'screen_name': 'UBC', 'name': 'University of British Columbia', 'id': 28453440, 'id_str': '28453440', 'indices': [69, 73]}, {'screen_name': 'KebotixInc', 'name': 'Kebotix', 'id': 1027275974008885248, 'id_str': '1027275974008885248', 'indices': [74, 85]}, {'screen_name': 'ZapataComputing', 'name': 'Zapata Computing', 'id': 925149752525803521, 'id_str': '925149752525803521', 'indices': [86, 102]}, {'screen_name': 'InSilicoMeds', 'name': 'Insilico Medicine', 'id': 2598140246, 'id_str': '2598140246', 'indices': [103, 116]}, {'screen_name': 'DARPA', 'name': 'DARPA', 'id': 54645160, 'id_str': '54645160', 'indices': [117, 123]}]",[],en,recent,3438654916,3438654916,Fred,newplatonism,,"A scientist by training with diverse interests in AI, QC, and Philosophy. An unknown movie critique, linguistic enthusiast, and full-time humanitarian.",,[],False,20,143,0,Mon Aug 24 23:40:38 +0000 2015,264,,,False,False,303,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1217476505581883394/dUQEib2H_normal.jpg,https://pbs.twimg.com/profile_images/1217476505581883394/dUQEib2H_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Sat Jan 25 16:51:27 +0000 2020,1221113362412601345,1221113362412601345,"@newplatonism @UofT @chemuoft @UofTCompSci @VectorInst @CIFAR_News @UBC @KebotixInc @ZapataComputing @InSilicoMeds @DARPA Yes they are cool as well as many others embracing this movement. Once in my desktop I can try to tweet an exhaustive list of academia, government and commercial efforts in this direction.",False,"[122, 310]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221112012421378e+18,1221112012421378048,3438654916.0,3438654916,newplatonism,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'newplatonism', 'name': 'Fred', 'id': 3438654916, 'id_str': '3438654916', 'indices': [0, 13]}, {'screen_name': 'UofT', 'name': 'University of Toronto', 'id': 821814254, 'id_str': '821814254', 'indices': [14, 19]}, {'screen_name': 'chemuoft', 'name': 'Chemistry at UofT', 'id': 361250226, 'id_str': '361250226', 'indices': [20, 29]}, {'screen_name': 'UofTCompSci', 'name': 'UofTCompSci', 'id': 65638162, 'id_str': '65638162', 'indices': [30, 42]}, {'screen_name': 'VectorInst', 'name': 'Vector Institute', 'id': 845968426011119616, 'id_str': '845968426011119616', 'indices': [43, 54]}, {'screen_name': 'CIFAR_News', 'name': 'CIFAR', 'id': 40281983, 'id_str': '40281983', 'indices': [55, 66]}, {'screen_name': 'UBC', 'name': 'University of British Columbia', 'id': 28453440, 'id_str': '28453440', 'indices': [67, 71]}, {'screen_name': 'KebotixInc', 'name': 'Kebotix', 'id': 1027275974008885248, 'id_str': '1027275974008885248', 'indices': [72, 83]}, {'screen_name': 'ZapataComputing', 'name': 'Zapata Computing', 'id': 925149752525803521, 'id_str': '925149752525803521', 'indices': [84, 100]}, {'screen_name': 'InSilicoMeds', 'name': 'Insilico Medicine', 'id': 2598140246, 'id_str': '2598140246', 'indices': [101, 114]}, {'screen_name': 'DARPA', 'name': 'DARPA', 'id': 54645160, 'id_str': '54645160', 'indices': [115, 121]}]",[],en,recent,1112211,1112211,Alan Aspuru-Guzik,A_Aspuru_Guzik,,Professor of Chemistry and Computer Science @UofT @VectorInst @CIFAR_News AI Chair and Senior Fellow. Canada 150 Chair. @ZapataComputing @KebotixInc,https://t.co/i8vl4Sbutn,[],False,8555,3237,204,Tue Mar 13 20:08:16 +0000 2007,22655,,,False,False,14214,,False,False,False,BADFCD,http://abs.twimg.com/images/themes/theme12/bg.gif,https://abs.twimg.com/images/themes/theme12/bg.gif,False,http://pbs.twimg.com/profile_images/1193514098048323584/-vT2rRUD_normal.jpg,https://pbs.twimg.com/profile_images/1193514098048323584/-vT2rRUD_normal.jpg,https://pbs.twimg.com/profile_banners/1112211/1522264986,FF0000,F2E195,FFF7CC,0C3E53,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/i8vl4Sbutn', 'expanded_url': 'http://matter.toronto.edu', 'display_url': 'matter.toronto.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,
43,Sat Jan 25 15:21:56 +0000 2020,1221090835963531265,1221090835963531265,"@kfacciol @UofT @uoftengineering @csa_asc Thank you for coming, Kristen! It was great to finally meet you in person!",False,"[42, 116]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207498997105828e+18,1220749899710582784,262865667.0,262865667,kfacciol,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'kfacciol', 'name': 'Kristen Facciol', 'id': 262865667, 'id_str': '262865667', 'indices': [0, 9]}, {'screen_name': 'UofT', 'name': 'University of Toronto', 'id': 821814254, 'id_str': '821814254', 'indices': [10, 15]}, {'screen_name': 'uoftengineering', 'name': 'U of T Engineering', 'id': 15530500, 'id_str': '15530500', 'indices': [16, 32]}, {'screen_name': 'csa_asc', 'name': 'CanadianSpaceAgency', 'id': 93714983, 'id_str': '93714983', 'indices': [33, 41]}]",[],en,recent,3102258510,3102258510,Rosemary Jose,AKARosy,"Toronto, Ontario","UofT EngSci: Energy Systems | Co-Chair, EngSci Education Conference (ESEC) 2020 | Board Member @torontogreen",,[],False,120,277,1,Sun Mar 22 00:27:21 +0000 2015,408,,,True,False,274,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/579639448750673920/JzE2w7QA_normal.jpg,https://pbs.twimg.com/profile_images/579639448750673920/JzE2w7QA_normal.jpg,https://pbs.twimg.com/profile_banners/3102258510/1487551924,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Sat Jan 25 04:50:03 +0000 2020,1220931816372219905,1220931816372219905,@S_Nouman_Ashraf @OISEUofT @UofT That is very beautiful. Thank you for sharing this.,False,"[33, 84]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2208760221465313e+18,1220876022146531335,1691908549.0,1691908549,S_Nouman_Ashraf,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'S_Nouman_Ashraf', 'name': 'Nouman Ashraf', 'id': 1691908549, 'id_str': '1691908549', 'indices': [0, 16]}, {'screen_name': 'OISEUofT', 'name': 'OISEUofT', 'id': 120129298, 'id_str': '120129298', 'indices': [17, 26]}, {'screen_name': 'UofT', 'name': 'University of Toronto', 'id': 821814254, 'id_str': '821814254', 'indices': [27, 32]}]",[],en,recent,1165745688652779521,1165745688652779521,⭐ Penney ⭐,PenneyfromFCE,Toronto,"York & UofT Alumna
Proudly part of the BEST team @senecacollege!",,[],False,48,58,0,Sun Aug 25 22:00:11 +0000 2019,4375,,,False,False,337,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1207484885205757957/LxpvCUbf_normal.jpg,https://pbs.twimg.com/profile_images/1207484885205757957/LxpvCUbf_normal.jpg,https://pbs.twimg.com/profile_banners/1165745688652779521/1570932454,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sat Jan 25 03:12:35 +0000 2020,1220907289479172096,1220907289479172096,@halletjulie @UofT @ASCO @DrNCoburn @UofTSurgery @Sunnybrook @ICESOntario @alyson_mahar @lauraedavis4 @vvvzuk @CAGS_Residents Success!! @elliottkyee,False,"[126, 148]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220553862785966e+18,1220553862785966080,591972450.0,591972450,halletjulie,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'halletjulie', 'name': 'Julie Hallet MD MSc', 'id': 591972450, 'id_str': '591972450', 'indices': [0, 12]}, {'screen_name': 'UofT', 'name': 'University of Toronto', 'id': 821814254, 'id_str': '821814254', 'indices': [13, 18]}, {'screen_name': 'ASCO', 'name': 'ASCO', 'id': 20187065, 'id_str': '20187065', 'indices': [19, 24]}, {'screen_name': 'DrNCoburn', 'name': 'Natalie Coburn', 'id': 931536622117584896, 'id_str': '931536622117584896', 'indices': [25, 35]}, {'screen_name': 'UofTSurgery', 'name': 'UofT Dept of Surgery', 'id': 370093868, 'id_str': '370093868', 'indices': [36, 48]}, {'screen_name': 'Sunnybrook', 'name': 'Sunnybrook Health Sciences Centre', 'id': 19462877, 'id_str': '19462877', 'indices': [49, 60]}, {'screen_name': 'ICESOntario', 'name': 'ICES', 'id': 258930059, 'id_str': '258930059', 'indices': [61, 73]}, {'screen_name': 'alyson_mahar', 'name': 'Alyson Mahar', 'id': 918465407035609088, 'id_str': '918465407035609088', 'indices': [74, 87]}, {'screen_name': 'lauraedavis4', 'name': 'Laura Davis', 'id': 2848574657, 'id_str': '2848574657', 'indices': [88, 101]}, {'screen_name': 'vvvzuk', 'name': 'Vicky Zuk', 'id': 1063509585867218949, 'id_str': '1063509585867218949', 'indices': [102, 109]}, {'screen_name': 'CAGS_Residents', 'name': 'CAGS Residents', 'id': 1186472882, 'id_str': '1186472882', 'indices': [110, 125]}, {'screen_name': 'elliottkyee', 'name': 'Elliott K. Yee', 'id': 1220890874185306112, 'id_str': '1220890874185306112', 'indices': [136, 148]}]",[],en,recent,97842948,97842948,Vaibhav Gupta,VGupta_MD,Toronto,@UofTSurgery Resident | Thoracic & Upper GI Surgery | PhD @IHPMEUofT | Stats @AATSJournals | #AI in healthcare | 🏀 @Raptors fan | 🏃🏾‍♂️ through #the6ix.,https://t.co/X2U2fX7plr,[],False,582,794,16,Sat Dec 19 06:50:35 +0000 2009,5198,,,False,False,1579,,False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme19/bg.gif,https://abs.twimg.com/images/themes/theme19/bg.gif,False,http://pbs.twimg.com/profile_images/1014629523260870656/QMfVIqYL_normal.jpg,https://pbs.twimg.com/profile_images/1014629523260870656/QMfVIqYL_normal.jpg,https://pbs.twimg.com/profile_banners/97842948/1387561255,0099CC,FFF8AD,F6FFD1,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/X2U2fX7plr', 'expanded_url': 'https://www.linkedin.com/in/vguptamd/', 'display_url': 'linkedin.com/in/vguptamd/', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,
55,Sat Jan 25 02:07:52 +0000 2020,1220891001809723398,1220891001809723398,@UofTGradlife Much appreciated @UofT rigorous academic training and amazing platform 👏🏻👍🏻,False,"[14, 89]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.22088526866586e+18,1220885268665860096,204800353.0,204800353,UofTGradlife,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'UofTGradlife', 'name': 'U of T Gradlife', 'id': 204800353, 'id_str': '204800353', 'indices': [0, 13]}, {'screen_name': 'UofT', 'name': 'University of Toronto', 'id': 821814254, 'id_str': '821814254', 'indices': [31, 36]}]",[],en,recent,829633267942903808,829633267942903808,lamson,lamsonlinshen,"University, Toronto","Empower 📖@UofT #FIFSW Ph.D. student in Social Work| Institue for Life Course & Ageing, @lifecourseUofT | Univ. of Toronto🇨🇦 | #SODH |🏳️‍🌈 Social Justice",https://t.co/kNgi7bNJyf,[],False,28,77,0,Thu Feb 09 10:09:19 +0000 2017,56,,,True,False,78,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1127279534670254082/sriBUjZh_normal.jpg,https://pbs.twimg.com/profile_images/1127279534670254082/sriBUjZh_normal.jpg,https://pbs.twimg.com/profile_banners/829633267942903808/1507436877,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/kNgi7bNJyf', 'expanded_url': 'http://socialwork.utoronto.ca/programs/phd-programs/phd-students/lin-shen-lamson/', 'display_url': 'socialwork.utoronto.ca/programs/phd-p…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,
56,Sat Jan 25 01:08:21 +0000 2020,1220876022146531335,1220876022146531335,"On #EducationDay, I want to acknowledge &amp; celebrate my late wife, Rubina Khawaja, who inspired in our four kids and myself the love for life-long learning.
She epitomized the best of an empathetic &amp; engaging @OISEUofT @UofT graduates.
#LeadershipLegacy 
🙏🏽",False,"[0, 264]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,136,False,False,en,"[{'text': 'EducationDay', 'indices': [3, 16]}, {'text': 'LeadershipLegacy', 'indices': [243, 260]}]",[],"[{'screen_name': 'OISEUofT', 'name': 'OISEUofT', 'id': 120129298, 'id_str': '120129298', 'indices': [216, 225]}, {'screen_name': 'UofT', 'name': 'University of Toronto', 'id': 821814254, 'id_str': '821814254', 'indices': [226, 231]}]",[],en,recent,1691908549,1691908549,Nouman Ashraf,S_Nouman_Ashraf,"Toronto, Canada","Professor & Director, Equity Diversity & Inclusion @rotmanschool @uoft, Teaching Fellow @GenderEconomy,Associate @Trinity_College Truly curious & hungry! Lunch?",,[],False,4041,919,67,Thu Aug 22 19:17:20 +0000 2013,24670,,,True,False,10730,,False,False,False,000000,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1171111719151767553/3-uJoOfO_normal.jpg,https://pbs.twimg.com/profile_images/1171111719151767553/3-uJoOfO_normal.jpg,https://pbs.twimg.com/profile_banners/1691908549/1568682100,5178BC,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3797791ff9c0e4c6,https://api.twitter.com/1.1/geo/id/3797791ff9c0e4c6.json,city,Toronto,"Toronto, Ontario",CA,Canada,[],Polygon,"[[[-79.639319, 43.403221], [-78.90582, 43.403221], [-78.90582, 43.855401], [-79.639319, 43.855401]]]",,,,,,,,,,,
