,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,user.profile_banner_url,user.entities.url.urls,retweeted_status.user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.possibly_sensitive
6,Sat Jan 25 13:39:15 +0000 2020,1221064991987527680,1221064991987527680,@helsinkiuni @minnahuoti @oajry @OlliLuukkainen @EduSciHelsinki Onnea 🌷,False,"[64, 71]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2210412815536333e+18,1221041281553633280,168607383.0,168607383,helsinkiuni,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [0, 12]}, {'screen_name': 'minnahuoti', 'name': 'Minna Huotilainen', 'id': 432396811, 'id_str': '432396811', 'indices': [13, 24]}, {'screen_name': 'oajry', 'name': 'OAJ', 'id': 2289340070, 'id_str': '2289340070', 'indices': [25, 31]}, {'screen_name': 'OlliLuukkainen', 'name': 'Olli Luukkainen', 'id': 365425633, 'id_str': '365425633', 'indices': [32, 47]}, {'screen_name': 'EduSciHelsinki', 'name': 'Faculty of Educational Sciences, Univ. of Helsinki', 'id': 819945360374304768, 'id_str': '819945360374304768', 'indices': [48, 63]}]",[],en,recent,14566810,14566810,Marjo Berglund,Marjobee,"Helsinki, Suomi",Chief financial officer @Helsinkiuni and University of Helsinki Funds #forthebestofhumanity #science #research #economics #ESG #investing #siksitiede,https://t.co/SiHEnskTOl,[],False,1259,1639,16,Mon Apr 28 07:56:49 +0000 2008,17361,,,False,False,2908,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1168567421491396609/iknikEIq_normal.jpg,https://pbs.twimg.com/profile_images/1168567421491396609/iknikEIq_normal.jpg,94D487,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/14566810/1567452101,"[{'url': 'https://t.co/SiHEnskTOl', 'expanded_url': 'https://www.helsinki.fi/en/university/university-finance', 'display_url': 'helsinki.fi/en/university/…', 'indices': [0, 23]}]",,,,,,,,,,,,,,
7,Sat Jan 25 13:21:38 +0000 2020,1221060561607319552,1221060561607319552,@helsinkiuni @minnahuoti @oajry @OlliLuukkainen @EduSciHelsinki Onnea!! ⭐️⭐️⭐️⭐️⭐️,False,"[64, 82]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.2210412815536333e+18,1221041281553633280,168607383.0,168607383,helsinkiuni,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [0, 12]}, {'screen_name': 'minnahuoti', 'name': 'Minna Huotilainen', 'id': 432396811, 'id_str': '432396811', 'indices': [13, 24]}, {'screen_name': 'oajry', 'name': 'OAJ', 'id': 2289340070, 'id_str': '2289340070', 'indices': [25, 31]}, {'screen_name': 'OlliLuukkainen', 'name': 'Olli Luukkainen', 'id': 365425633, 'id_str': '365425633', 'indices': [32, 47]}, {'screen_name': 'EduSciHelsinki', 'name': 'Faculty of Educational Sciences, Univ. of Helsinki', 'id': 819945360374304768, 'id_str': '819945360374304768', 'indices': [48, 63]}]",[],en,recent,117704080,117704080,Minna Ruolanto,minnaruolanto,Finland,A curious people person #ponygirl #bookworm #phdcandidate inspired by #humanfactor #NOTECHS #aviation #crisismanagement #qualitativeresearch #suomenmentorit,,[],False,929,1309,41,Fri Feb 26 10:12:36 +0000 2010,23599,,,True,False,11317,,False,False,False,000000,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,False,http://pbs.twimg.com/profile_images/545631516013785088/AKRQnY_l_normal.jpeg,https://pbs.twimg.com/profile_images/545631516013785088/AKRQnY_l_normal.jpeg,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/117704080/1539373634,,,,,,,,,,,,,,,
9,Sat Jan 25 12:11:36 +0000 2020,1221042936248520705,1221042936248520705,@FriederikeLupke @helsinkiuni @yammering_on Many thanks @FriederikeLupke! I'm thrilled about the team and look forward to sharing more about our progress shortly.,False,"[44, 162]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207149513183437e+18,1220714951318343681,1.1330913709886464e+18,1133091370988646401,FriederikeLupke,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'FriederikeLupke', 'name': 'Friederike Lüpke', 'id': 1133091370988646401, 'id_str': '1133091370988646401', 'indices': [0, 16]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [17, 29]}, {'screen_name': 'yammering_on', 'name': 'Eri Kashima', 'id': 4890670104, 'id_str': '4890670104', 'indices': [30, 43]}, {'screen_name': 'FriederikeLupke', 'name': 'Friederike Lüpke', 'id': 1133091370988646401, 'id_str': '1133091370988646401', 'indices': [56, 72]}]",[],en,recent,4217722869,4217722869,Kaius Sinnemäki,KaiusSinnemaki,"Vihti, Suomi",Researcher at @nykykielet @helsinkiuni. Views expressed are my own.,https://t.co/Zew0TiuGop,[],False,211,229,2,Wed Nov 18 12:13:08 +0000 2015,390,,,False,False,208,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/666955391570477057/ctZlQnlg_normal.jpg,https://pbs.twimg.com/profile_images/666955391570477057/ctZlQnlg_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/Zew0TiuGop', 'expanded_url': 'http://www.helsinki.fi/~ksinnema/', 'display_url': 'helsinki.fi/~ksinnema/', 'indices': [0, 23]}]",,,,,,,,,,,,,,
10,Sat Jan 25 09:35:56 +0000 2020,1221003762153730048,1221003762153730048,@ScienceBasement @tiedekulma @helsinkiuni Hi! I have emailed and FB-messaged you for quite a while regarding the blogpost I submitted before Christmas. Would you have a chance to reply on the status of including photos before publication? Thank you☺️,False,"[42, 250]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220979644821799e+18,1220979644821798913,8.464324673136804e+17,846432467313680384,ScienceBasement,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ScienceBasement', 'name': 'The Science Basement', 'id': 846432467313680384, 'id_str': '846432467313680384', 'indices': [0, 16]}, {'screen_name': 'tiedekulma', 'name': 'Tiedekulma', 'id': 2509951735, 'id_str': '2509951735', 'indices': [17, 28]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [29, 41]}]",[],en,recent,872420220329234432,872420220329234432,Astronomicca,astronomicca,Denmark,Astrophysicist🚀 Public Speaker📣 Professional science communication advisor👩‍🏫 Tweets about #scicomm #feminism #astronomy #blogging & random stuff. She/her.,https://t.co/nyux3zMl9o,[],False,981,818,14,Wed Jun 07 11:49:24 +0000 2017,7628,,,False,False,4190,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1025372786150318080/gh7W9pHw_normal.jpg,https://pbs.twimg.com/profile_images/1025372786150318080/gh7W9pHw_normal.jpg,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/872420220329234432/1533303093,"[{'url': 'https://t.co/nyux3zMl9o', 'expanded_url': 'http://www.astronomicca.com/blog', 'display_url': 'astronomicca.com/blog', 'indices': [0, 23]}]",,,,,,,,,,,,,,
12,Fri Jan 24 16:01:11 +0000 2020,1220738324782047237,1220738324782047237,@Der_Tele_Graf @KolSeb @teemu_roos @ReaktorNow @helsinkiuni @schmitz @jschuettler @Scarygami @07saskia @ChrisLev78 @ipekozsuer @DraganovaRuzha I have done the course as well and second what Sebastian says. It's really worth it!,False,"[143, 227]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2203442098126766e+18,1220344209812676610,1.1305878013120061e+18,1130587801312006145,Der_Tele_Graf,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'Der_Tele_Graf', 'name': 'JoWalter', 'id': 1130587801312006145, 'id_str': '1130587801312006145', 'indices': [0, 14]}, {'screen_name': 'KolSeb', 'name': 'Sebastian Kolberg', 'id': 327238607, 'id_str': '327238607', 'indices': [15, 22]}, {'screen_name': 'teemu_roos', 'name': 'Teemu Roos', 'id': 775588820175781888, 'id_str': '775588820175781888', 'indices': [23, 34]}, {'screen_name': 'ReaktorNow', 'name': 'Reaktor', 'id': 280949688, 'id_str': '280949688', 'indices': [35, 46]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [47, 59]}, {'screen_name': 'schmitz', 'name': 'Bernd Schmitz', 'id': 1443201, 'id_str': '1443201', 'indices': [60, 68]}, {'screen_name': 'jschuettler', 'name': 'Jan Schuettler', 'id': 244001088, 'id_str': '244001088', 'indices': [69, 81]}, {'screen_name': 'Scarygami', 'name': 'Gerwin Sturm', 'id': 59526625, 'id_str': '59526625', 'indices': [82, 92]}, {'screen_name': '07saskia', 'name': 'Saskia Steinacker', 'id': 294374082, 'id_str': '294374082', 'indices': [93, 102]}, {'screen_name': 'ChrisLev78', 'name': 'Christoph Abendroth', 'id': 77383198, 'id_str': '77383198', 'indices': [103, 114]}, {'screen_name': 'ipekozsuer', 'name': 'Ipek Ozsuer', 'id': 443090162, 'id_str': '443090162', 'indices': [115, 126]}, {'screen_name': 'DraganovaRuzha', 'name': 'Ruzha Draganova', 'id': 941427327770288128, 'id_str': '941427327770288128', 'indices': [127, 142]}]",[],en,recent,800442432827498496,800442432827498496,Kathrin Bischoff,KathrinBischoff,"Berlin, Europe 🇪🇺 ","Engineer / Global Teamworker / ProjectLead.
Neo-Generalist - current learning journey: #AI & #datascience // #feedyourrebel #kinarrative #teamsBC20 #ABIT20",https://t.co/Z99VbZTL1o,[],False,528,648,14,Sun Nov 20 20:55:22 +0000 2016,5415,,,False,False,2383,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1126951929005920256/rJMJp6kS_normal.jpg,https://pbs.twimg.com/profile_images/1126951929005920256/rJMJp6kS_normal.jpg,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/800442432827498496/1574458905,"[{'url': 'https://t.co/Z99VbZTL1o', 'expanded_url': 'https://www.linkedin.com/in/kathrin-bischoff-6b45b8154/', 'display_url': 'linkedin.com/in/kathrin-bis…', 'indices': [0, 23]}]",,,,,,,,,,,,,,
13,Fri Jan 24 15:52:24 +0000 2020,1220736115369529344,1220736115369529344,@LeenaRipatti @edu_kumpula @KumpulaScience @helsinkiunipeda @helsinkiuni Looking forward to taking this course next period!,False,"[73, 123]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220590182451372e+18,1220590182451372032,2997529683.0,2997529683,LeenaRipatti,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'LeenaRipatti', 'name': 'Leena Ripatti', 'id': 2997529683, 'id_str': '2997529683', 'indices': [0, 13]}, {'screen_name': 'edu_kumpula', 'name': 'Education in Kumpula', 'id': 1085889696545325057, 'id_str': '1085889696545325057', 'indices': [14, 26]}, {'screen_name': 'KumpulaScience', 'name': 'Faculty of Science', 'id': 1070259720, 'id_str': '1070259720', 'indices': [27, 42]}, {'screen_name': 'helsinkiunipeda', 'name': 'Helsinki Unipeda', 'id': 733232238092034048, 'id_str': '733232238092034048', 'indices': [43, 59]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [60, 72]}]",[],en,recent,702583576525676549,702583576525676549,David Weir,davidjamesweir,"Helsinki, Finland",Gravitational wave cosmology @helsinkiuni & @HIPhysics • own opinions • 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇫🇮🇪🇺 • he/him|they/them 🏳️‍🌈,https://t.co/qCCzEk3Apu,[],False,568,470,8,Wed Feb 24 19:59:12 +0000 2016,5363,,,True,False,3051,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1161372451500187649/hQ7eJi_-_normal.jpg,https://pbs.twimg.com/profile_images/1161372451500187649/hQ7eJi_-_normal.jpg,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/702583576525676549/1460993165,"[{'url': 'https://t.co/qCCzEk3Apu', 'expanded_url': 'https://saoghal.net', 'display_url': 'saoghal.net', 'indices': [0, 23]}]",,,,,,,,,,,,,,
15,Fri Jan 24 11:31:14 +0000 2020,1220670390055456769,1220670390055456769,@WakoJoel @luomus @LifeSciHelsinki @helsinkiuni Absolutely! #biodiversity does not recognise country borders.,False,"[48, 109]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2206635909418762e+18,1220663590941876224,40623001.0,40623001,WakoJoel,,,,,False,0,0,False,False,en,"[{'text': 'biodiversity', 'indices': [60, 73]}]",[],"[{'screen_name': 'WakoJoel', 'name': 'Wako Joel', 'id': 40623001, 'id_str': '40623001', 'indices': [0, 9]}, {'screen_name': 'luomus', 'name': 'Luomus', 'id': 112797735, 'id_str': '112797735', 'indices': [10, 17]}, {'screen_name': 'LifeSciHelsinki', 'name': 'Life Sciences University of Helsinki', 'id': 1083706891300163584, 'id_str': '1083706891300163584', 'indices': [18, 34]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [35, 47]}]",[],en,recent,3150544995,3150544995,Leif Schulman,Leif_Sch,Helsinki,"Director @Luomus & @lajitieto @HelsinkiUni, Chair @eurotaxonomy. Active in #Biodiversity #NaturalHistoryCollections #ResearchInfrastructure #ClimateChange",https://t.co/owg39FPx9u,[],False,2131,1577,28,Thu Apr 09 06:44:27 +0000 2015,7956,,,False,False,5708,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/586063522317991937/ve2l48BF_normal.jpg,https://pbs.twimg.com/profile_images/586063522317991937/ve2l48BF_normal.jpg,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/3150544995/1548272097,"[{'url': 'https://t.co/owg39FPx9u', 'expanded_url': 'http://www.laji.fi', 'display_url': 'laji.fi', 'indices': [0, 23]}]",,,,,,,,,,,,,,
16,Fri Jan 24 11:04:13 +0000 2020,1220663590941876224,1220663590941876224,"@Leif_Sch @luomus @LifeSciHelsinki @helsinkiuni Amazing indeed. Therefore, there is need conserve the #Biodiversity and the breeding zones.",False,"[48, 139]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1.220639477800022e+18,1220639477800022017,3150544995.0,3150544995,Leif_Sch,,,,,False,0,2,False,False,en,"[{'text': 'Biodiversity', 'indices': [102, 115]}]",[],"[{'screen_name': 'Leif_Sch', 'name': 'Leif Schulman', 'id': 3150544995, 'id_str': '3150544995', 'indices': [0, 9]}, {'screen_name': 'luomus', 'name': 'Luomus', 'id': 112797735, 'id_str': '112797735', 'indices': [10, 17]}, {'screen_name': 'LifeSciHelsinki', 'name': 'Life Sciences University of Helsinki', 'id': 1083706891300163584, 'id_str': '1083706891300163584', 'indices': [18, 34]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [35, 47]}]",[],en,recent,40623001,40623001,Wako Joel,WakoJoel,"Kampala, Uganda",Son of Africa| Rapporteur | Influencer | Disciple of Comm | Naturalist | Social Worker | Jazz & @F1 Addict | @LewisHamilton & @TButlerFigue fan | Views are mine,,[],False,2628,5000,63,Sun May 17 07:07:05 +0000 2009,18710,,,True,False,30102,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1201153810460299264/fy52S5-9_normal.jpg,https://pbs.twimg.com/profile_images/1201153810460299264/fy52S5-9_normal.jpg,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/40623001/1569008188,,,,,,,,,,,,,,,
17,Fri Jan 24 10:30:07 +0000 2020,1220655007407779840,1220655007407779840,@MPalanderCollin @helsinkiuni @TampereUni Onnittelut!,False,"[42, 53]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220654413620138e+18,1220654413620137984,428904703.0,428904703,MPalanderCollin,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'MPalanderCollin', 'name': 'M. Palander-Collin', 'id': 428904703, 'id_str': '428904703', 'indices': [0, 16]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [17, 29]}, {'screen_name': 'TampereUni', 'name': 'Tampere University', 'id': 104768601, 'id_str': '104768601', 'indices': [30, 41]}]",[],en,recent,564823192,564823192,Johanna Isosävi,johannaisosavi,"Helsinki, Finland","Ranskan kielen dos., FT. Tutkija, opettaja, tiedeviestijä @helsinkiuni. 
Vieraileva tutkija ENS de Lyon.
Podcast: Ranskaa raakana! https://t.co/BJe72xSy4v",https://t.co/qcxBVD812t,"[{'url': 'https://t.co/BJe72xSy4v', 'expanded_url': 'http://isosavi.podbean.com/', 'display_url': 'isosavi.podbean.com', 'indices': [131, 154]}]",False,2556,5002,13,Fri Apr 27 18:32:04 +0000 2012,31712,,,True,False,8062,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1053254157979828225/3VEp14AB_normal.jpg,https://pbs.twimg.com/profile_images/1053254157979828225/3VEp14AB_normal.jpg,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/qcxBVD812t', 'expanded_url': 'http://johanna.isosavi.com', 'display_url': 'johanna.isosavi.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,
19,Fri Jan 24 08:48:06 +0000 2020,1220629335327023104,1220629335327023104,@TomBohling @Folktinget @helsinkiuni @anna_maja @adleande @liandersson Stor grattis!,False,"[71, 84]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2199795374691164e+18,1219979537469116416,8.187258989669908e+17,818725898966990849,TomBohling,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'TomBohling', 'name': 'Tom Böhling', 'id': 818725898966990849, 'id_str': '818725898966990849', 'indices': [0, 11]}, {'screen_name': 'Folktinget', 'name': 'Folktinget', 'id': 2148589453, 'id_str': '2148589453', 'indices': [12, 23]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [24, 36]}, {'screen_name': 'anna_maja', 'name': 'Anna-Maja Henriksson', 'id': 114710545, 'id_str': '114710545', 'indices': [37, 47]}, {'screen_name': 'adleande', 'name': 'Anders Adlercreutz', 'id': 22895229, 'id_str': '22895229', 'indices': [48, 57]}, {'screen_name': 'liandersson', 'name': 'Li Andersson', 'id': 72370342, 'id_str': '72370342', 'indices': [58, 70]}]",[],en,recent,2237686136,2237686136,Kaarle Hämeri,KaarleHameri,,"Chancellor of the University of Helsinki, Professor of Aerosol Physics, @helsinkiuni",,[],False,1814,593,11,Mon Dec 09 13:58:10 +0000 2013,1332,,,True,False,562,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/605460823599947776/ZAwFkAHp_normal.jpg,https://pbs.twimg.com/profile_images/605460823599947776/ZAwFkAHp_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/2237686136/1433188387,,,,,,,,,,,,,,,
