,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.possibly_sensitive,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.scopes.followers
26,Sat Jan 25 12:22:07 +0000 2020,1221045584116752384,1221045584116752384,@JFitzAcademical @ChrisLearnTech @UCLan Hi Jane! We're sending a pallet to our @microsofteduk colleagues - stay on the lookout on their feed for opportunities to win a #FlipgridVoicePod in the future! 🎉🔮💚,False,"[40, 204]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.221037644005679e+18,1221037644005679104,1.0902475805362422e+18,1090247580536242177,JFitzAcademical,,,,,False,0,2,False,False,en,"[{'text': 'FlipgridVoicePod', 'indices': [168, 185]}]",[],"[{'screen_name': 'JFitzAcademical', 'name': 'Jane Fitzgerald Academical', 'id': 1090247580536242177, 'id_str': '1090247580536242177', 'indices': [0, 16]}, {'screen_name': 'ChrisLearnTech', 'name': 'Chris Melia #edtech', 'id': 865887202814943234, 'id_str': '865887202814943234', 'indices': [17, 32]}, {'screen_name': 'UCLan', 'name': 'Uni of Central Lancs', 'id': 15559763, 'id_str': '15559763', 'indices': [33, 39]}, {'screen_name': 'microsofteduk', 'name': 'Microsoft Education UK', 'id': 48661542, 'id_str': '48661542', 'indices': [79, 93]}]",[],en,recent,630608702,630608702,Flipgrid,Flipgrid,Minneapolis,Flipgrid empowers every voice in millions of PreK to PhD classrooms across 190 countries 🌏 Sign up today... it’s FREE 🚀 #FlipgridFever,https://t.co/L1gEiVeJIk,[],False,98852,19761,760,Sun Jul 08 23:31:43 +0000 2012,421424,,,True,True,176124,,False,False,False,292929,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1156893261690298368/gSaQurrB_normal.jpg,https://pbs.twimg.com/profile_images/1156893261690298368/gSaQurrB_normal.jpg,https://pbs.twimg.com/profile_banners/630608702/1564665516,129441,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/L1gEiVeJIk', 'expanded_url': 'http://www.flipgrid.com', 'display_url': 'flipgrid.com', 'indices': [0, 23]}]",,,,,,,,,,,
27,Sat Jan 25 11:50:34 +0000 2020,1221037644005679104,1221037644005679104,"@ChrisLearnTech @UCLan @Flipgrid Come on, @flipgrid..... any more left at the back of the cupboard? #cheeky #dontgetifyoudontask",False,"[33, 128]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2210253696266813e+18,1221025369626681344,1.0902475805362422e+18,1090247580536242177,JFitzAcademical,,,,,False,0,3,False,False,en,"[{'text': 'cheeky', 'indices': [100, 107]}, {'text': 'dontgetifyoudontask', 'indices': [108, 128]}]",[],"[{'screen_name': 'ChrisLearnTech', 'name': 'Chris Melia #edtech', 'id': 865887202814943234, 'id_str': '865887202814943234', 'indices': [0, 15]}, {'screen_name': 'UCLan', 'name': 'Uni of Central Lancs', 'id': 15559763, 'id_str': '15559763', 'indices': [16, 22]}, {'screen_name': 'Flipgrid', 'name': 'Flipgrid', 'id': 630608702, 'id_str': '630608702', 'indices': [23, 32]}, {'screen_name': 'Flipgrid', 'name': 'Flipgrid', 'id': 630608702, 'id_str': '630608702', 'indices': [42, 51]}]",[],en,recent,1090247580536242177,1090247580536242177,Jane Fitzgerald Academical,JFitzAcademical,"Preston, England","Tweeting about Health Informatics, e-learning, research ethics, teaching and learning, and life at the University of Central Lancashire.  My views are my own!",,[],False,169,202,0,Tue Jan 29 13:57:33 +0000 2019,4001,,,False,False,2102,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1090278653378940933/hudWtRdN_normal.jpg,https://pbs.twimg.com/profile_images/1090278653378940933/hudWtRdN_normal.jpg,https://pbs.twimg.com/profile_banners/1090247580536242177/1548779966,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Sat Jan 25 11:01:48 +0000 2020,1221025369626681344,1221025369626681344,@ChrisLearnTech @UCLan @Flipgrid #sob   you KNOW how unsharing and uncaring those two are..... they'll make me beg..... ;),False,"[33, 122]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.22102496681839e+18,1221024966818390017,8.658872028149432e+17,865887202814943234,ChrisLearnTech,,,,,False,0,4,False,False,en,"[{'text': 'sob', 'indices': [33, 37]}]",[],"[{'screen_name': 'ChrisLearnTech', 'name': 'Chris Melia #edtech', 'id': 865887202814943234, 'id_str': '865887202814943234', 'indices': [0, 15]}, {'screen_name': 'UCLan', 'name': 'Uni of Central Lancs', 'id': 15559763, 'id_str': '15559763', 'indices': [16, 22]}, {'screen_name': 'Flipgrid', 'name': 'Flipgrid', 'id': 630608702, 'id_str': '630608702', 'indices': [23, 32]}]",[],en,recent,1090247580536242177,1090247580536242177,Jane Fitzgerald Academical,JFitzAcademical,"Preston, England","Tweeting about Health Informatics, e-learning, research ethics, teaching and learning, and life at the University of Central Lancashire.  My views are my own!",,[],False,169,202,0,Tue Jan 29 13:57:33 +0000 2019,4001,,,False,False,2102,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1090278653378940933/hudWtRdN_normal.jpg,https://pbs.twimg.com/profile_images/1090278653378940933/hudWtRdN_normal.jpg,https://pbs.twimg.com/profile_banners/1090247580536242177/1548779966,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sat Jan 25 11:00:12 +0000 2020,1221024966818390017,1221024966818390017,@JFitzAcademical @UCLan @Flipgrid The two have gone to Debi and Sam! I’m sure you will be able to share though 😊,False,"[34, 112]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2210247826715894e+18,1221024782671589376,1.0902475805362422e+18,1090247580536242177,JFitzAcademical,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'JFitzAcademical', 'name': 'Jane Fitzgerald Academical', 'id': 1090247580536242177, 'id_str': '1090247580536242177', 'indices': [0, 16]}, {'screen_name': 'UCLan', 'name': 'Uni of Central Lancs', 'id': 15559763, 'id_str': '15559763', 'indices': [17, 23]}, {'screen_name': 'Flipgrid', 'name': 'Flipgrid', 'id': 630608702, 'id_str': '630608702', 'indices': [24, 33]}]",[],en,recent,865887202814943234,865887202814943234,Chris Melia #edtech,ChrisLearnTech,"North West, England",Senior Learning Technologist @UCLan | @MicrosoftEDU Learning Consultant - UK | #DigiLearnSector Lead | @AdvanceHE Fellow | #MIEExpert Trainer | @A_L_T member,https://t.co/ydQZjhuEDb,[],False,1028,885,16,Sat May 20 11:09:31 +0000 2017,7052,,,False,False,2318,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1203049569891864577/wHoscTHz_normal.jpg,https://pbs.twimg.com/profile_images/1203049569891864577/wHoscTHz_normal.jpg,https://pbs.twimg.com/profile_banners/865887202814943234/1560927104,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/ydQZjhuEDb', 'expanded_url': 'https://uclan.ac.uk/digilearnsector', 'display_url': 'uclan.ac.uk/digilearnsector', 'indices': [0, 23]}]",,,,,,,,,,,
31,Sat Jan 25 10:59:28 +0000 2020,1221024782671589376,1221024782671589376,@ChrisLearnTech @UCLan @Flipgrid Me!! Me!!  #prettyplease,False,"[33, 57]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2207356811752038e+18,1220735681175203841,8.658872028149432e+17,865887202814943234,ChrisLearnTech,,,,,False,0,4,False,False,en,"[{'text': 'prettyplease', 'indices': [44, 57]}]",[],"[{'screen_name': 'ChrisLearnTech', 'name': 'Chris Melia #edtech', 'id': 865887202814943234, 'id_str': '865887202814943234', 'indices': [0, 15]}, {'screen_name': 'UCLan', 'name': 'Uni of Central Lancs', 'id': 15559763, 'id_str': '15559763', 'indices': [16, 22]}, {'screen_name': 'Flipgrid', 'name': 'Flipgrid', 'id': 630608702, 'id_str': '630608702', 'indices': [23, 32]}]",[],en,recent,1090247580536242177,1090247580536242177,Jane Fitzgerald Academical,JFitzAcademical,"Preston, England","Tweeting about Health Informatics, e-learning, research ethics, teaching and learning, and life at the University of Central Lancashire.  My views are my own!",,[],False,169,202,0,Tue Jan 29 13:57:33 +0000 2019,4001,,,False,False,2102,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1090278653378940933/hudWtRdN_normal.jpg,https://pbs.twimg.com/profile_images/1090278653378940933/hudWtRdN_normal.jpg,https://pbs.twimg.com/profile_banners/1090247580536242177/1548779966,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Fri Jan 24 23:02:49 +0000 2020,1220844431563202566,1220844431563202566,"@Debibuzz @UCLan @Flipgrid Then the second is yours, Debi! 👍",False,"[27, 60]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208424870126346e+18,1220842487012634629,219394987.0,219394987,Debibuzz,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'Debibuzz', 'name': 'Debi Spencer', 'id': 219394987, 'id_str': '219394987', 'indices': [0, 9]}, {'screen_name': 'UCLan', 'name': 'Uni of Central Lancs', 'id': 15559763, 'id_str': '15559763', 'indices': [10, 16]}, {'screen_name': 'Flipgrid', 'name': 'Flipgrid', 'id': 630608702, 'id_str': '630608702', 'indices': [17, 26]}]",[],en,recent,865887202814943234,865887202814943234,Chris Melia #edtech,ChrisLearnTech,"North West, England",Senior Learning Technologist @UCLan | @MicrosoftEDU Learning Consultant - UK | #DigiLearnSector Lead | @AdvanceHE Fellow | #MIEExpert Trainer | @A_L_T member,https://t.co/ydQZjhuEDb,[],False,1028,885,16,Sat May 20 11:09:31 +0000 2017,7052,,,False,False,2318,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1203049569891864577/wHoscTHz_normal.jpg,https://pbs.twimg.com/profile_images/1203049569891864577/wHoscTHz_normal.jpg,https://pbs.twimg.com/profile_banners/865887202814943234/1560927104,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/ydQZjhuEDb', 'expanded_url': 'https://uclan.ac.uk/digilearnsector', 'display_url': 'uclan.ac.uk/digilearnsector', 'indices': [0, 23]}]",,,,,,,,,,,
37,Fri Jan 24 21:35:34 +0000 2020,1220822473408765957,1220822473408765957,@MrsTEHS @KW4MathScience @ChrisLearnTech @UCLan It’s loading here but 💯 definitely give us a shout if you continue to have trouble. We’re happy to help 👍,False,"[48, 153]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220820823264637e+18,1220820823264636928,9.162188736025518e+17,916218873602551809,MrsTEHS,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'MrsTEHS', 'name': 'MRST', 'id': 916218873602551809, 'id_str': '916218873602551809', 'indices': [0, 8]}, {'screen_name': 'KW4MathScience', 'name': 'Karen Williamson', 'id': 2153083525, 'id_str': '2153083525', 'indices': [9, 24]}, {'screen_name': 'ChrisLearnTech', 'name': 'Chris Melia #edtech', 'id': 865887202814943234, 'id_str': '865887202814943234', 'indices': [25, 40]}, {'screen_name': 'UCLan', 'name': 'Uni of Central Lancs', 'id': 15559763, 'id_str': '15559763', 'indices': [41, 47]}]",[],en,recent,630608702,630608702,Flipgrid,Flipgrid,Minneapolis,Flipgrid empowers every voice in millions of PreK to PhD classrooms across 190 countries 🌏 Sign up today... it’s FREE 🚀 #FlipgridFever,https://t.co/L1gEiVeJIk,[],False,98852,19761,760,Sun Jul 08 23:31:43 +0000 2012,421424,,,True,True,176124,,False,False,False,292929,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1156893261690298368/gSaQurrB_normal.jpg,https://pbs.twimg.com/profile_images/1156893261690298368/gSaQurrB_normal.jpg,https://pbs.twimg.com/profile_banners/630608702/1564665516,129441,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/L1gEiVeJIk', 'expanded_url': 'http://www.flipgrid.com', 'display_url': 'flipgrid.com', 'indices': [0, 23]}]",,,,,,,,,,,
38,Fri Jan 24 21:26:23 +0000 2020,1220820161932025856,1220820161932025856,@MrsTEHS @KW4MathScience @ChrisLearnTech @UCLan Hi 👋 The links appear to be working on our end. Is there a specific one you’re trying to access?,False,"[48, 144]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208191648116654e+18,1220819164811665408,9.162188736025518e+17,916218873602551809,MrsTEHS,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'MrsTEHS', 'name': 'MRST', 'id': 916218873602551809, 'id_str': '916218873602551809', 'indices': [0, 8]}, {'screen_name': 'KW4MathScience', 'name': 'Karen Williamson', 'id': 2153083525, 'id_str': '2153083525', 'indices': [9, 24]}, {'screen_name': 'ChrisLearnTech', 'name': 'Chris Melia #edtech', 'id': 865887202814943234, 'id_str': '865887202814943234', 'indices': [25, 40]}, {'screen_name': 'UCLan', 'name': 'Uni of Central Lancs', 'id': 15559763, 'id_str': '15559763', 'indices': [41, 47]}]",[],en,recent,630608702,630608702,Flipgrid,Flipgrid,Minneapolis,Flipgrid empowers every voice in millions of PreK to PhD classrooms across 190 countries 🌏 Sign up today... it’s FREE 🚀 #FlipgridFever,https://t.co/L1gEiVeJIk,[],False,98852,19761,760,Sun Jul 08 23:31:43 +0000 2012,421424,,,True,True,176124,,False,False,False,292929,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1156893261690298368/gSaQurrB_normal.jpg,https://pbs.twimg.com/profile_images/1156893261690298368/gSaQurrB_normal.jpg,https://pbs.twimg.com/profile_banners/630608702/1564665516,129441,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/L1gEiVeJIk', 'expanded_url': 'http://www.flipgrid.com', 'display_url': 'flipgrid.com', 'indices': [0, 23]}]",,,,,,,,,,,
40,Fri Jan 24 20:16:33 +0000 2020,1220802589895331840,1220802589895331840,"RT @beatED: Calling students at @OfficialUoM, @LivUni, @LiverpoolHopeUK, @LancasterUni, @ManMetUni, @SalfordUni, @BoltonUni, @uochester, @e…",False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'beatED', 'name': 'Beat', 'id': 25311240, 'id_str': '25311240', 'indices': [3, 10]}, {'screen_name': 'OfficialUoM', 'name': 'The University of Manchester', 'id': 2217874898, 'id_str': '2217874898', 'indices': [32, 44]}, {'screen_name': 'LivUni', 'name': 'University of Liverpool', 'id': 18903739, 'id_str': '18903739', 'indices': [46, 53]}, {'screen_name': 'LiverpoolHopeUK', 'name': 'Liverpool Hope Uni', 'id': 59797465, 'id_str': '59797465', 'indices': [55, 71]}, {'screen_name': 'LancasterUni', 'name': 'Lancaster University', 'id': 25521930, 'id_str': '25521930', 'indices': [73, 86]}, {'screen_name': 'ManMetUni', 'name': 'Manchester Metropolitan Uni', 'id': 14743052, 'id_str': '14743052', 'indices': [88, 98]}, {'screen_name': 'SalfordUni', 'name': 'University of Salford', 'id': 17068001, 'id_str': '17068001', 'indices': [100, 111]}, {'screen_name': 'BoltonUni', 'name': 'University of Bolton', 'id': 23047428, 'id_str': '23047428', 'indices': [113, 123]}, {'screen_name': 'uochester', 'name': 'University of Chester', 'id': 25898223, 'id_str': '25898223', 'indices': [125, 135]}]",[],en,recent,1021707345800454144,1021707345800454144,LIPAwellbeing,LIPAwellbeing,"Liverpool, England",Supporting students at the Liverpool Institute for Performing Arts. Please note that we cannot provide support via Twitter.,https://t.co/PqHwF9TA5R,[],False,119,110,2,Tue Jul 24 10:43:08 +0000 2018,99,,,False,False,1271,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1021724794683891712/KtpDAaNv_normal.jpg,https://pbs.twimg.com/profile_images/1021724794683891712/KtpDAaNv_normal.jpg,https://pbs.twimg.com/profile_banners/1021707345800454144/1532433196,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,Fri Jan 24 14:45:06 +0000 2020,1.2207191796717036e+18,1220719179671703553,"Calling students at @OfficialUoM, @LivUni, @LiverpoolHopeUK, @LancasterUni, @ManMetUni, @SalfordUni, @BoltonUni, @uochester, @edgehill, @UCLan",False,"[0, 142]",[],[],"[{'screen_name': 'OfficialUoM', 'name': 'The University of Manchester', 'id': 2217874898, 'id_str': '2217874898', 'indices': [20, 32]}, {'screen_name': 'LivUni', 'name': 'University of Liverpool', 'id': 18903739, 'id_str': '18903739', 'indices': [34, 41]}, {'screen_name': 'LiverpoolHopeUK', 'name': 'Liverpool Hope Uni', 'id': 59797465, 'id_str': '59797465', 'indices': [43, 59]}, {'screen_name': 'LancasterUni', 'name': 'Lancaster University', 'id': 25521930, 'id_str': '25521930', 'indices': [61, 74]}, {'screen_name': 'ManMetUni', 'name': 'Manchester Metropolitan Uni', 'id': 14743052, 'id_str': '14743052', 'indices': [76, 86]}, {'screen_name': 'SalfordUni', 'name': 'University of Salford', 'id': 17068001, 'id_str': '17068001', 'indices': [88, 99]}, {'screen_name': 'BoltonUni', 'name': 'University of Bolton', 'id': 23047428, 'id_str': '23047428', 'indices': [101, 111]}, {'screen_name': 'uochester', 'name': 'University of Chester', 'id': 25898223, 'id_str': '25898223', 'indices': [113, 123]}, {'screen_name': 'edgehill', 'name': 'Edge Hill University', 'id': 14908181, 'id_str': '14908181', 'indices': [125, 134]}, {'screen_name': 'UCLan', 'name': 'Uni of Central Lancs', 'id': 15559763, 'id_str': '15559763', 'indices': [136, 142]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204210506489733e+18,1220421050648973312,25311240.0,25311240,beatED,25311240.0,25311240,Beat,beatED,United Kingdom,Beat is the UK's eating disorder charity. Follow @BeatEDSupport for help and support for an eating disorder.,https://t.co/HZS9NGrs84,"[{'url': 'https://t.co/HZS9NGrs84', 'expanded_url': 'https://www.beateatingdisorders.org.uk', 'display_url': 'beateatingdisorders.org.uk', 'indices': [0, 23]}]",[],False,34751.0,1014.0,511.0,Thu Mar 19 15:00:23 +0000 2009,4685.0,,,True,True,15196.0,,False,False,False,094891,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/917359509647122432/XkywoQng_normal.jpg,https://pbs.twimg.com/profile_images/917359509647122432/XkywoQng_normal.jpg,https://pbs.twimg.com/profile_banners/25311240/1520246609,094891,094891,F00981,333333,True,False,False,False,False,False,False,none,,,,,False,1.0,3.0,False,False,en,,,,,,,,,,,,,,"[{'url': 'https://t.co/PqHwF9TA5R', 'expanded_url': 'https://www.lipa.ac.uk/', 'display_url': 'lipa.ac.uk', 'indices': [0, 23]}]",,,,,,,,,,,
43,Fri Jan 24 20:01:08 +0000 2020,1220798711707717633,1220798711707717633,@ChrisLearnTech @UCLan @Flipgrid I’m curious how you would even get one if you’re just a classroom teacher?,False,"[33, 107]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207356811752038e+18,1220735681175203841,8.658872028149432e+17,865887202814943234,ChrisLearnTech,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'ChrisLearnTech', 'name': 'Chris Melia #edtech', 'id': 865887202814943234, 'id_str': '865887202814943234', 'indices': [0, 15]}, {'screen_name': 'UCLan', 'name': 'Uni of Central Lancs', 'id': 15559763, 'id_str': '15559763', 'indices': [16, 22]}, {'screen_name': 'Flipgrid', 'name': 'Flipgrid', 'id': 630608702, 'id_str': '630608702', 'indices': [23, 32]}]",[],en,recent,2153083525,2153083525,Karen Williamson,KW4MathScience,"Katy, TX","5th grade Science & SST teacher, crafter, Jeeper, fitness  enthusiast... and more :)",,[],False,565,1327,15,Thu Oct 24 14:33:06 +0000 2013,5473,,,True,False,1213,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1005419250088112130/3ZjqCdog_normal.jpg,https://pbs.twimg.com/profile_images/1005419250088112130/3ZjqCdog_normal.jpg,https://pbs.twimg.com/profile_banners/2153083525/1448311743,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
