,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.possibly_sensitive,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
6,Sat Jan 25 23:17:29 +0000 2020,1221210512932966400,1221210512932966400,"@UHouston @Ahmedona710 Never noticed the girl at 0:07 towards the back get up too early lmao, BIG UP MY BOI @Ahmedona710",False,"[23, 120]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2211203752805376e+18,1221120375280537601,107145333.0,107145333,UHouston,,,,,False,1,1,False,False,en,[],[],"[{'screen_name': 'UHouston', 'name': 'University of Houston', 'id': 107145333, 'id_str': '107145333', 'indices': [0, 9]}, {'screen_name': 'Ahmedona710', 'name': 'Aحmed.', 'id': 325929067, 'id_str': '325929067', 'indices': [10, 22]}, {'screen_name': 'Ahmedona710', 'name': 'Aحmed.', 'id': 325929067, 'id_str': '325929067', 'indices': [108, 120]}]",[],en,recent,417319852,417319852,Zohaib Khawaja,LeggoBoyo,"Sugar Land, TX","Med Student, Bio/Math Undergrad, HS Math Teacher, Junior Admin, Elo Hell/Chicken Contendies Staff, College Scholarship OW Player, NO MORE EXES",https://t.co/rOHA1VR0sg,[],False,82,96,1,Sun Nov 20 19:52:18 +0000 2011,3660,,,False,False,900,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1218627302566682624/aHflbPCf_normal.jpg,https://pbs.twimg.com/profile_images/1218627302566682624/aHflbPCf_normal.jpg,https://pbs.twimg.com/profile_banners/417319852/1456467336,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/rOHA1VR0sg', 'expanded_url': 'http://twitch.tv/leggoboyo', 'display_url': 'twitch.tv/leggoboyo', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,
9,Sat Jan 25 20:06:53 +0000 2020,1221162547111432192,1221162547111432192,"@canarymission @UHouston We are seeing the results of .@UHouston education, SJP, Mamoon Hindi. Wake up America.",False,"[25, 111]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211610423293788e+18,1221161042329378819,3107509399.0,3107509399,canarymission,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'canarymission', 'name': 'Canary Mission', 'id': 3107509399, 'id_str': '3107509399', 'indices': [0, 14]}, {'screen_name': 'UHouston', 'name': 'University of Houston', 'id': 107145333, 'id_str': '107145333', 'indices': [15, 24]}, {'screen_name': 'UHouston', 'name': 'University of Houston', 'id': 107145333, 'id_str': '107145333', 'indices': [55, 64]}]",[],en,recent,750789474058006528,750789474058006528,memoryisourhome,memoryisourhome,"HHI, SC USA","Born in communist Poland after the war, lived under until late 1960s. Memory is Our Home is a rich, living document. Fascism and Communism enslaved the masses.",https://t.co/EYtUlurYbm,[],False,331,235,8,Wed Jul 06 20:32:14 +0000 2016,36992,,,False,False,11080,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/750792237039050752/53fpmvMr_normal.jpg,https://pbs.twimg.com/profile_images/750792237039050752/53fpmvMr_normal.jpg,https://pbs.twimg.com/profile_banners/750789474058006528/1506527280,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/EYtUlurYbm', 'expanded_url': 'http://memoryisourhome.com/', 'display_url': 'memoryisourhome.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,
14,Sat Jan 25 16:00:14 +0000 2020,1221100473245224960,1221100473245224960,"This semester, I will be working on a series of stories. @UHouston is deemed one of the most diverse campuses in the country, but what is it like to be the University's smallest minority? Native Americans make up 0.1% of the population. 
Follow the series #invisibleminority here!",False,"[0, 280]","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,,,,,,,,False,0,8,False,False,en,"[{'text': 'invisibleminority', 'indices': [256, 274]}]",[],"[{'screen_name': 'UHouston', 'name': 'University of Houston', 'id': 107145333, 'id_str': '107145333', 'indices': [57, 66]}]",[],en,recent,1178404474676752385,1178404474676752385,Katrina Martinez,KatrinaMtz124,"Houston, TX","@UHouston senior. 
Managing Editor for @TheDailyCougar 
Freelance photographer at the @HoustonChron.
Boy Mom.
Alaskan girl living in a Texan world.",,[],False,60,311,1,Sun Sep 29 20:21:49 +0000 2019,568,,,True,False,202,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1178414565748596739/G85Xlnzg_normal.jpg,https://pbs.twimg.com/profile_images/1178414565748596739/G85Xlnzg_normal.jpg,https://pbs.twimg.com/profile_banners/1178404474676752385/1571269526,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Fri Jan 24 21:31:57 +0000 2020,1220821563358023681,1220821563358023681,@BDSreport @UHouston @CoogsForIsrael @HoustonHillel @UofHPolice @OmarThicccBeard @SJPHouston We will forward this information to UHPD! Thank you for your help.,False,"[93, 159]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208100373477253e+18,1220810037347725312,1.0888734197210563e+18,1088873419721056256,BDSreport,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'BDSreport', 'name': 'BDS Report', 'id': 1088873419721056256, 'id_str': '1088873419721056256', 'indices': [0, 10]}, {'screen_name': 'UHouston', 'name': 'University of Houston', 'id': 107145333, 'id_str': '107145333', 'indices': [11, 20]}, {'screen_name': 'CoogsForIsrael', 'name': 'CoogsForIsrael', 'id': 1189586147292385280, 'id_str': '1189586147292385280', 'indices': [21, 36]}, {'screen_name': 'HoustonHillel', 'name': 'Houston Hillel', 'id': 285406905, 'id_str': '285406905', 'indices': [37, 51]}, {'screen_name': 'UofHPolice', 'name': 'UH Police Department', 'id': 809507061272715264, 'id_str': '809507061272715264', 'indices': [52, 63]}, {'screen_name': 'OmarThicccBeard', 'name': 'Omar Hussein', 'id': 923803169762824192, 'id_str': '923803169762824192', 'indices': [64, 80]}, {'screen_name': 'SJPHouston', 'name': 'SJP Houston 🇵🇸', 'id': 2699654370, 'id_str': '2699654370', 'indices': [81, 92]}]",[],en,recent,1196542960390885376,1196542960390885376,Stay Cougar S.A.F.E.,StayCougarSafe,"Houston, TX",The headquarters for all things safety at the @UHouston! #GoCoogs,https://t.co/JNGIXywzUh,[],False,80,116,1,Mon Nov 18 21:37:36 +0000 2019,5,,,False,False,37,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1196543369725526018/6ptM8BG9_normal.jpg,https://pbs.twimg.com/profile_images/1196543369725526018/6ptM8BG9_normal.jpg,https://pbs.twimg.com/profile_banners/1196542960390885376/1579103036,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/JNGIXywzUh', 'expanded_url': 'http://www.uh.edu/cougarsafe', 'display_url': 'uh.edu/cougarsafe', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,
53,Fri Jan 24 18:57:16 +0000 2020,1220782638220414978,1220782638220414978,"RT @EnrollatUH: Hey Coogs, listen up! It’s been brought to our attention that there’s an email going around that says “your financial aid i…",False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,16,0,False,False,en,[],[],"[{'screen_name': 'EnrollatUH', 'name': 'University of Houston - Enrollment Services', 'id': 30300679, 'id_str': '30300679', 'indices': [3, 14]}]",[],en,recent,563967134,563967134,UH College of Education,UHCOE,"Houston, TX","At the University of Houston College of Education, we strive to improve educational and health outcomes for all children and families.",https://t.co/vg0CI0a1QU,[],False,2719,1086,41,Thu Apr 26 19:16:37 +0000 2012,2843,,,True,False,5988,,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1088553772060528640/GwH1hzK2_normal.jpg,https://pbs.twimg.com/profile_images/1088553772060528640/GwH1hzK2_normal.jpg,https://pbs.twimg.com/profile_banners/563967134/1526072344,990000,DFDFDF,F3F3F3,333333,True,False,False,False,False,False,False,none,Wed Jan 22 15:33:18 +0000 2020,1.2200065307513856e+18,1220006530751385601,"Hey Coogs, listen up! It’s been brought to our attention that there’s an email going around that says “your financial aid is on hold”—this email is a scam and *did not* come from @UHouston Scholarships and Financial Aid. If you received this email, please report it to @uhit.",False,"[0, 275]",[],[],"[{'screen_name': 'UHouston', 'name': 'University of Houston', 'id': 107145333, 'id_str': '107145333', 'indices': [179, 188]}, {'screen_name': 'uhit', 'name': 'UH IT', 'id': 35857951, 'id_str': '35857951', 'indices': [269, 274]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,30300679.0,30300679,University of Houston - Enrollment Services,EnrollatUH,"Houston, TX","Enrollment Services at @UHouston serves all students through @UHAdmissions, Scholarships & Financial Aid, Student Business Services & the University Registrar.",https://t.co/WhgJr4hKDj,"[{'url': 'https://t.co/WhgJr4hKDj', 'expanded_url': 'http://www.uh.edu/about/offices/enrollment-services', 'display_url': 'uh.edu/about/offices/…', 'indices': [0, 23]}]",[],False,2132.0,359.0,49.0,Fri Apr 10 20:09:41 +0000 2009,1480.0,,,False,False,4258.0,,False,False,False,CC000E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1167517879346126848/Kk812TwY_normal.jpg,https://pbs.twimg.com/profile_images/1167517879346126848/Kk812TwY_normal.jpg,https://pbs.twimg.com/profile_banners/30300679/1567192929,DE1010,000000,FFFFFF,000000,True,False,False,False,False,False,False,none,,,,,False,16.0,16.0,False,False,en,"[{'url': 'https://t.co/vg0CI0a1QU', 'expanded_url': 'http://www.uh.edu/education', 'display_url': 'uh.edu/education', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,
62,Fri Jan 24 16:01:44 +0000 2020,1220738463147970560,1220738463147970560,Just found out that 26% of our students who were enrolled at @UHouston in Fall 19 were part-time students.,False,"[0, 106]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,7,False,False,en,[],[],"[{'screen_name': 'UHouston', 'name': 'University of Houston', 'id': 107145333, 'id_str': '107145333', 'indices': [61, 70]}]",[],en,recent,297166236,297166236,Dr. Yolanda Norman 👩🏽‍🎓,FirstGenCollege,"Houston, Texas","First Generation College Student Researcher. Educator. Mom. Wife. #Firstgen Speaker. Teaching college success, ethical leadership, & social justice",https://t.co/EUDK9LrTii,[],False,3893,949,180,Thu May 12 01:50:23 +0000 2011,51941,,,False,False,26512,,False,False,False,709397,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/1130115336261513217/TBOGPIAN_normal.jpg,https://pbs.twimg.com/profile_images/1130115336261513217/TBOGPIAN_normal.jpg,https://pbs.twimg.com/profile_banners/297166236/1555470545,FF3300,86A4A6,A0C5C7,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/EUDK9LrTii', 'expanded_url': 'http://www.myfirstgencollege.com', 'display_url': 'myfirstgencollege.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,
65,Fri Jan 24 14:55:05 +0000 2020,1220721692152074242,1220721692152074242,RT @ResearchInColor: Mentor 10. Dr. Nishith Prakash (@Prof_Nishith_P)- an Econ prof @UConn w/ a PhD from @UHouston. His research focuses on…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'ResearchInColor', 'name': 'Research In Color Foundation', 'id': 1130132584694984704, 'id_str': '1130132584694984704', 'indices': [3, 19]}, {'screen_name': 'Prof_Nishith_P', 'name': 'Nishith Prakash', 'id': 885710908013424644, 'id_str': '885710908013424644', 'indices': [53, 68]}, {'screen_name': 'UConn', 'name': 'UConn', 'id': 84327770, 'id_str': '84327770', 'indices': [84, 90]}, {'screen_name': 'UHouston', 'name': 'University of Houston', 'id': 107145333, 'id_str': '107145333', 'indices': [105, 114]}]",[],en,recent,1080988027948859392,1080988027948859392,Rahma Ahmed,RahmaSAhmed,,PhD student - development econ/ political econ @ LSE • LSE International Inequalities Institute fellow • World Bank consultant • Research in Colour Treasurer,https://t.co/aUl6mYeJbp,[],False,48,174,0,Fri Jan 04 00:43:24 +0000 2019,334,,,False,False,61,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1221129809167822850/ifG3wD4x_normal.jpg,https://pbs.twimg.com/profile_images/1221129809167822850/ifG3wD4x_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Fri Jan 24 13:01:33 +0000 2020,1.2206931181121495e+18,1220693118112149506,"Mentor 10. Dr. Nishith Prakash (@Prof_Nishith_P)- an Econ prof @UConn w/ a PhD from @UHouston. His research focuses on the relationship between gov’t policies and econ dev, and uses empirical evidence to study the impact of policies and institutions in enabling inclusive growth.",False,"[0, 279]",[],[],"[{'screen_name': 'Prof_Nishith_P', 'name': 'Nishith Prakash', 'id': 885710908013424644, 'id_str': '885710908013424644', 'indices': [32, 47]}, {'screen_name': 'UConn', 'name': 'UConn', 'id': 84327770, 'id_str': '84327770', 'indices': [63, 69]}, {'screen_name': 'UHouston', 'name': 'University of Houston', 'id': 107145333, 'id_str': '107145333', 'indices': [84, 93]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220325057639088e+18,1220325057639088128,1.1301325846949847e+18,1130132584694984704,ResearchInColor,1.1301325846949847e+18,1130132584694984704,Research In Color Foundation,ResearchInColor,"Princeton, NJ",We provide mentoring and financial support for prospective PhD students of color doing independent research in economics-based disciplines. #painttheprofession,https://t.co/uU4xzn84T7,"[{'url': 'https://t.co/uU4xzn84T7', 'expanded_url': 'http://www.researchincolor.org', 'display_url': 'researchincolor.org', 'indices': [0, 23]}]",[],False,387.0,334.0,6.0,Sun May 19 15:26:19 +0000 2019,242.0,,,False,False,222.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1148992413769379842/qfII4kJY_normal.jpg,https://pbs.twimg.com/profile_images/1148992413769379842/qfII4kJY_normal.jpg,https://pbs.twimg.com/profile_banners/1130132584694984704/1560608028,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,1.0,7.0,False,False,en,"[{'url': 'https://t.co/aUl6mYeJbp', 'expanded_url': 'http://researchincolor.org', 'display_url': 'researchincolor.org', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,
67,Fri Jan 24 13:01:33 +0000 2020,1220693118112149506,1220693118112149506,"Mentor 10. Dr. Nishith Prakash (@Prof_Nishith_P)- an Econ prof @UConn w/ a PhD from @UHouston. His research focuses on the relationship between gov’t policies and econ dev, and uses empirical evidence to study the impact of policies and institutions in enabling inclusive growth.",False,"[0, 279]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220325057639088e+18,1220325057639088128,1.1301325846949847e+18,1130132584694984704,ResearchInColor,,,,,False,1,7,False,False,en,[],[],"[{'screen_name': 'Prof_Nishith_P', 'name': 'Nishith Prakash', 'id': 885710908013424644, 'id_str': '885710908013424644', 'indices': [32, 47]}, {'screen_name': 'UConn', 'name': 'UConn', 'id': 84327770, 'id_str': '84327770', 'indices': [63, 69]}, {'screen_name': 'UHouston', 'name': 'University of Houston', 'id': 107145333, 'id_str': '107145333', 'indices': [84, 93]}]",[],en,recent,1130132584694984704,1130132584694984704,Research In Color Foundation,ResearchInColor,"Princeton, NJ",We provide mentoring and financial support for prospective PhD students of color doing independent research in economics-based disciplines. #painttheprofession,https://t.co/uU4xzn84T7,[],False,387,334,6,Sun May 19 15:26:19 +0000 2019,242,,,False,False,222,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1148992413769379842/qfII4kJY_normal.jpg,https://pbs.twimg.com/profile_images/1148992413769379842/qfII4kJY_normal.jpg,https://pbs.twimg.com/profile_banners/1130132584694984704/1560608028,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/uU4xzn84T7', 'expanded_url': 'http://www.researchincolor.org', 'display_url': 'researchincolor.org', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,
87,Fri Jan 24 01:50:14 +0000 2020,1220524175464501248,1220524175464501248,@UHouston @ewarren @workersdefense @UHpres Facts?  @ewarren does not bother with facts,False,"[43, 86]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204890814334894e+18,1220489081433489409,107145333.0,107145333,UHouston,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'UHouston', 'name': 'University of Houston', 'id': 107145333, 'id_str': '107145333', 'indices': [0, 9]}, {'screen_name': 'ewarren', 'name': 'Elizabeth Warren', 'id': 357606935, 'id_str': '357606935', 'indices': [10, 18]}, {'screen_name': 'workersdefense', 'name': 'Workers Defense 🔨', 'id': 71612907, 'id_str': '71612907', 'indices': [19, 34]}, {'screen_name': 'UHpres', 'name': 'Renu Khator', 'id': 45962278, 'id_str': '45962278', 'indices': [35, 42]}, {'screen_name': 'ewarren', 'name': 'Elizabeth Warren', 'id': 357606935, 'id_str': '357606935', 'indices': [51, 59]}]",[],en,recent,21898596,21898596,Chance,ChanceMHeath,Houston,"Proud father and husband, passionate UH fan and alumni, and all around sports fanatic.",,[],False,11,91,0,Wed Feb 25 18:26:46 +0000 2009,1361,,,False,False,765,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/803093046967549953/dml1o9--_normal.jpg,https://pbs.twimg.com/profile_images/803093046967549953/dml1o9--_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Thu Jan 23 21:57:39 +0000 2020,1220465645235646464,1220465645235646464,"@CPezman @UHouston @TheDailyCougar @UHCougarMBK @UHCougars Wow, this is so cool!",False,"[59, 80]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1.2204649331142042e+18,1220464933114204169,1088080844.0,1088080844,CPezman,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'CPezman', 'name': 'Chris Pezman', 'id': 1088080844, 'id_str': '1088080844', 'indices': [0, 8]}, {'screen_name': 'UHouston', 'name': 'University of Houston', 'id': 107145333, 'id_str': '107145333', 'indices': [9, 18]}, {'screen_name': 'TheDailyCougar', 'name': 'The Cougar', 'id': 16166076, 'id_str': '16166076', 'indices': [19, 34]}, {'screen_name': 'UHCougarMBK', 'name': ""Houston Men's Hoops 🏀 🐾"", 'id': 171163553, 'id_str': '171163553', 'indices': [35, 47]}, {'screen_name': 'UHCougars', 'name': 'Houston Athletics', 'id': 56787051, 'id_str': '56787051', 'indices': [48, 58]}]",[],en,recent,1125915950077943808,1125915950077943808,Trevor Nolley,Trevor_Nolley,"Houston, TX",Currently: job searching | @UHouston Political Science alum,https://t.co/8wzqdbGPR8,[],False,185,273,2,Wed May 08 00:10:55 +0000 2019,1574,,,True,False,694,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1207722785625296897/sjD_YlfC_normal.jpg,https://pbs.twimg.com/profile_images/1207722785625296897/sjD_YlfC_normal.jpg,https://pbs.twimg.com/profile_banners/1125915950077943808/1558128041,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/8wzqdbGPR8', 'expanded_url': 'http://trevornolley.com', 'display_url': 'trevornolley.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,
