,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,user.profile_banner_url,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
2,Fri Jan 24 00:44:05 +0000 2020,1220507527625883649,1220507527625883649,@xnwang07 @lonepair @astar_research @NTUsg @NUSingapore @ShreyashHadke @SunShijing @toniobuonassisi @mbsullivan @xbresson You’ve saved me,False,"[122, 137]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205024955432305e+18,1220502495543230464,506304785.0,506304785,xnwang07,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'xnwang07', 'name': 'Xiaonan Wang', 'id': 506304785, 'id_str': '506304785', 'indices': [0, 9]}, {'screen_name': 'lonepair', 'name': 'Aron Walsh', 'id': 58190441, 'id_str': '58190441', 'indices': [10, 19]}, {'screen_name': 'astar_research', 'name': 'A*STAR Research', 'id': 83500405, 'id_str': '83500405', 'indices': [20, 35]}, {'screen_name': 'NTUsg', 'name': 'NTU Singapore', 'id': 217313010, 'id_str': '217313010', 'indices': [36, 42]}, {'screen_name': 'NUSingapore', 'name': 'NUS', 'id': 67260538, 'id_str': '67260538', 'indices': [43, 55]}, {'screen_name': 'ShreyashHadke', 'name': 'Shreyash', 'id': 2400140198, 'id_str': '2400140198', 'indices': [56, 70]}, {'screen_name': 'SunShijing', 'name': 'Shijing Sun', 'id': 1142063407211982848, 'id_str': '1142063407211982848', 'indices': [71, 82]}, {'screen_name': 'toniobuonassisi', 'name': 'Tonio Buonassisi', 'id': 20657170, 'id_str': '20657170', 'indices': [83, 99]}, {'screen_name': 'mbsullivan', 'name': 'Mike Sullivan', 'id': 14161683, 'id_str': '14161683', 'indices': [100, 111]}, {'screen_name': 'xbresson', 'name': 'Xavier Bresson', 'id': 713389493076758528, 'id_str': '713389493076758528', 'indices': [112, 121]}]",[],en,recent,3239090657,3239090657,Piero Canepa,Piero_Canepa,Singapore,Passionate Chemist!⚛ and Asst. Prof. at the National University of Singapore,https://t.co/gKCMQpP4da,[],False,333,320,0,Wed May 06 16:35:52 +0000 2015,1827,,,True,False,524,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/595990462143553537/kbrlsEHH_normal.jpg,https://pbs.twimg.com/profile_images/595990462143553537/kbrlsEHH_normal.jpg,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/gKCMQpP4da', 'expanded_url': 'http://www.caneparesearch.org', 'display_url': 'caneparesearch.org', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/3239090657/1576403860,,,,,,,,,,
3,Thu Jan 23 17:39:54 +0000 2020,1220400780512858112,1220400780512858112,@lonepair @astar_research @NTUsg @NUSingapore @ShreyashHadke @SunShijing @toniobuonassisi @mbsullivan @xnwang07 @xbresson @lonepair I do apologise for one thing  I have entirely forgotten today. I didn’t take a picture while you were talking and I didn’t post it. I apologise . Have both a safe trip back. I look forward to hearing from you soon.,False,"[122, 346]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220280762525737e+18,1220280762525736961,58190441.0,58190441,lonepair,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'lonepair', 'name': 'Aron Walsh', 'id': 58190441, 'id_str': '58190441', 'indices': [0, 9]}, {'screen_name': 'astar_research', 'name': 'A*STAR Research', 'id': 83500405, 'id_str': '83500405', 'indices': [10, 25]}, {'screen_name': 'NTUsg', 'name': 'NTU Singapore', 'id': 217313010, 'id_str': '217313010', 'indices': [26, 32]}, {'screen_name': 'NUSingapore', 'name': 'NUS', 'id': 67260538, 'id_str': '67260538', 'indices': [33, 45]}, {'screen_name': 'ShreyashHadke', 'name': 'Shreyash', 'id': 2400140198, 'id_str': '2400140198', 'indices': [46, 60]}, {'screen_name': 'SunShijing', 'name': 'Shijing Sun', 'id': 1142063407211982848, 'id_str': '1142063407211982848', 'indices': [61, 72]}, {'screen_name': 'toniobuonassisi', 'name': 'Tonio Buonassisi', 'id': 20657170, 'id_str': '20657170', 'indices': [73, 89]}, {'screen_name': 'mbsullivan', 'name': 'Mike Sullivan', 'id': 14161683, 'id_str': '14161683', 'indices': [90, 101]}, {'screen_name': 'xnwang07', 'name': 'Xiaonan Wang', 'id': 506304785, 'id_str': '506304785', 'indices': [102, 111]}, {'screen_name': 'xbresson', 'name': 'Xavier Bresson', 'id': 713389493076758528, 'id_str': '713389493076758528', 'indices': [112, 121]}, {'screen_name': 'lonepair', 'name': 'Aron Walsh', 'id': 58190441, 'id_str': '58190441', 'indices': [122, 131]}]",[],en,recent,3239090657,3239090657,Piero Canepa,Piero_Canepa,Singapore,Passionate Chemist!⚛ and Asst. Prof. at the National University of Singapore,https://t.co/gKCMQpP4da,[],False,333,320,0,Wed May 06 16:35:52 +0000 2015,1827,,,True,False,524,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/595990462143553537/kbrlsEHH_normal.jpg,https://pbs.twimg.com/profile_images/595990462143553537/kbrlsEHH_normal.jpg,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/gKCMQpP4da', 'expanded_url': 'http://www.caneparesearch.org', 'display_url': 'caneparesearch.org', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/3239090657/1576403860,,,,,,,,,,
11,Sat Jan 18 07:04:35 +0000 2020,1218428959144046592,1218428959144046592,@earvsc @NUSingapore Yes yes! I’m around that time! See you!!,False,"[21, 61]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2181861499627356e+18,1218186149962735617,51903595.0,51903595,earvsc,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'earvsc', 'name': 'Earvin Charles Cabalquinto, PhD', 'id': 51903595, 'id_str': '51903595', 'indices': [0, 7]}, {'screen_name': 'NUSingapore', 'name': 'NUS', 'id': 67260538, 'id_str': '67260538', 'indices': [8, 20]}]",[],en,recent,254605107,254605107,Veronica L. Gregorio,veronixgregorio,Singapore,"PhD candidate (Sociology) from @NUSingapore; visual methods, rural development, family & gender studies, SE Asia 🇵🇭🇲🇾",https://t.co/hA93CL4Pig,[],False,881,1269,11,Sat Feb 19 16:31:55 +0000 2011,7208,,,True,False,9704,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1174279886648692741/QU3SHmOV_normal.jpg,https://pbs.twimg.com/profile_images/1174279886648692741/QU3SHmOV_normal.jpg,ABB8C2,65B0DA,7AC3EE,3D1957,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/hA93CL4Pig', 'expanded_url': 'https://www.facebook.com/VeronicaLGregorio', 'display_url': 'facebook.com/VeronicaLGrego…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/254605107/1533554906,58a4c3a0d54e1400,https://api.twitter.com/1.1/geo/id/58a4c3a0d54e1400.json,admin,Central Region,"Central Region, Singapore",SG,Singapore,[],Polygon,"[[[103.749959507073, 1.2123138339349], [103.918426999964, 1.2123138339349], [103.918426999964, 1.36874499902569], [103.749959507073, 1.36874499902569]]]"
