,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,user.profile_banner_url,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
4,Fri Jan 24 13:04:52 +0000 2020,1220693952329895938,1220693952329895938,@AUB_Lebanon stop reserving all the griffiths classical electrodynamics books. 10q,False,"[0, 82]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,109577961.0,109577961,AUB_Lebanon,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'AUB_Lebanon', 'name': 'AUB', 'id': 109577961, 'id_str': '109577961', 'indices': [0, 12]}]",[],en,recent,1123956062141468672,1123956062141468672,Ծաղկաձորցի Էլպէք ⎊,EbnFeynman,Lebanon,Senior physics student at NDU. I also work for the Cosmic Ray Division at the Yerevan Physics Institute.,,[],False,240,233,0,Thu May 02 14:23:02 +0000 2019,1439,,,False,False,3549,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220385034491846656/kmtEWK2y_normal.jpg,https://pbs.twimg.com/profile_images/1220385034491846656/kmtEWK2y_normal.jpg,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/1123956062141468672/1578523540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Thu Jan 23 11:38:10 +0000 2020,1220309747863293953,1220309747863293953,"The work study program application for Spring 2019-20 will be active through AUBsis from the 23rd of Jan. till the 10th of Feb., 2020. #AUB @AUB_Lebanon",False,"[0, 152]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,2,3,False,False,en,"[{'text': 'AUB', 'indices': [135, 139]}]",[],"[{'screen_name': 'AUB_Lebanon', 'name': 'AUB', 'id': 109577961, 'id_str': '109577961', 'indices': [140, 152]}]",[],en,recent,4038520706,4038520706,AUB Media Studies,AUBMediaStudies,"Beirut, Lebanon","The official account of the #AUB Media Studies Program. Follow for news, events and announcements @AUB_Lebanon.",https://t.co/mVtaOuzZWX,[],False,578,550,8,Tue Oct 27 19:17:19 +0000 2015,213,,,False,False,576,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/659337635920392193/aAoDDR4k_normal.png,https://pbs.twimg.com/profile_images/659337635920392193/aAoDDR4k_normal.png,4A913C,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/mVtaOuzZWX', 'expanded_url': 'http://www.aub.edu.lb/fas/soam/media_studies/pages/default.aspx', 'display_url': 'aub.edu.lb/fas/soam/media…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/4038520706/1446041592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Thu Jan 23 08:53:25 +0000 2020,1220268286958538754,1220268286958538754,@GreenSoutherns You can see those up close in @AUB_Lebanon !,False,"[16, 60]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2202680587338752e+18,1220268058733875200,972761804.0,972761804,GreenSoutherns,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'GreenSoutherns', 'name': 'Green Southerners الجنوبيون الخضر', 'id': 972761804, 'id_str': '972761804', 'indices': [0, 15]}, {'screen_name': 'AUB_Lebanon', 'name': 'AUB', 'id': 109577961, 'id_str': '109577961', 'indices': [46, 58]}]",[],en,recent,960871500126523393,960871500126523393,Hassan el-Hajj,hassanhajj910,"Berlin, Germany",Roman Archaeology PhD Candidate @Uni_MR/ Computer Vision and Remote Sensing.,,[],False,17,260,1,Tue Feb 06 13:43:12 +0000 2018,382,,,False,False,24,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/973181436214857730/Nzkv1fO__normal.jpg,https://pbs.twimg.com/profile_images/973181436214857730/Nzkv1fO__normal.jpg,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/960871500126523393/1553763210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Thu Jan 23 07:14:45 +0000 2020,1220243454741172229,1220243454741172229,Students who were admitted in Spring 2019-20 semester are ALL URGED to complete the National Social Security Fund (NSSF) declaration #AUB @AUB_Lebanon,False,"[0, 150]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,en,"[{'text': 'AUB', 'indices': [133, 137]}]",[],"[{'screen_name': 'AUB_Lebanon', 'name': 'AUB', 'id': 109577961, 'id_str': '109577961', 'indices': [138, 150]}]",[],en,recent,4038520706,4038520706,AUB Media Studies,AUBMediaStudies,"Beirut, Lebanon","The official account of the #AUB Media Studies Program. Follow for news, events and announcements @AUB_Lebanon.",https://t.co/mVtaOuzZWX,[],False,578,550,8,Tue Oct 27 19:17:19 +0000 2015,213,,,False,False,576,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/659337635920392193/aAoDDR4k_normal.png,https://pbs.twimg.com/profile_images/659337635920392193/aAoDDR4k_normal.png,4A913C,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/mVtaOuzZWX', 'expanded_url': 'http://www.aub.edu.lb/fas/soam/media_studies/pages/default.aspx', 'display_url': 'aub.edu.lb/fas/soam/media…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/4038520706/1446041592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Wed Jan 22 18:18:14 +0000 2020,1220048036841295872,1220048036841295872,@AysarKhamis @AUB_Lebanon i guess next you will cry over sulimani as well and ask to throw people into the ocean etc,False,"[26, 116]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2200309658017219e+18,1220030965801721858,1.1874602282849608e+18,1187460228284960769,AysarKhamis,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'AysarKhamis', 'name': 'Aysar Khamis', 'id': 1187460228284960769, 'id_str': '1187460228284960769', 'indices': [0, 12]}, {'screen_name': 'AUB_Lebanon', 'name': 'AUB', 'id': 109577961, 'id_str': '109577961', 'indices': [13, 25]}]",[],en,recent,272227624,272227624,makram rabah,makramrabah,,Lecturer of History | American University of Beirut | views my own,,[],False,2691,960,20,Sat Mar 26 02:54:38 +0000 2011,2102,,,False,False,1175,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/892715452845129731/7Vi_Hg-u_normal.jpg,https://pbs.twimg.com/profile_images/892715452845129731/7Vi_Hg-u_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/272227624/1573500540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Wed Jan 22 10:17:47 +0000 2020,1219927131175772160,1219927131175772160,"@AysarKhamis @AUB_Lebanon ya and and crystal clear who you side with, AUB is more Pro Arab people than you will ever be :)",False,"[26, 122]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2199261056138977e+18,1219926105613897728,1.1874602282849608e+18,1187460228284960769,AysarKhamis,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'AysarKhamis', 'name': 'Aysar Khamis', 'id': 1187460228284960769, 'id_str': '1187460228284960769', 'indices': [0, 12]}, {'screen_name': 'AUB_Lebanon', 'name': 'AUB', 'id': 109577961, 'id_str': '109577961', 'indices': [13, 25]}]",[],en,recent,272227624,272227624,makram rabah,makramrabah,,Lecturer of History | American University of Beirut | views my own,,[],False,2691,960,20,Sat Mar 26 02:54:38 +0000 2011,2102,,,False,False,1175,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/892715452845129731/7Vi_Hg-u_normal.jpg,https://pbs.twimg.com/profile_images/892715452845129731/7Vi_Hg-u_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/272227624/1573500540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Wed Jan 22 10:02:30 +0000 2020,1219923281379241984,1219923281379241984,"@AysarKhamis @AUB_Lebanon i should have been more clear, none of the senior AUB folks accepted to serve on this cabinet and none of the people you mentioned are exceptional to begin with. Diab and his bands are a farce",False,"[26, 218]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2199138829422223e+18,1219913882942222342,1.1874602282849608e+18,1187460228284960769,AysarKhamis,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'AysarKhamis', 'name': 'Aysar Khamis', 'id': 1187460228284960769, 'id_str': '1187460228284960769', 'indices': [0, 12]}, {'screen_name': 'AUB_Lebanon', 'name': 'AUB', 'id': 109577961, 'id_str': '109577961', 'indices': [13, 25]}]",[],en,recent,272227624,272227624,makram rabah,makramrabah,,Lecturer of History | American University of Beirut | views my own,,[],False,2691,960,20,Sat Mar 26 02:54:38 +0000 2011,2102,,,False,False,1175,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/892715452845129731/7Vi_Hg-u_normal.jpg,https://pbs.twimg.com/profile_images/892715452845129731/7Vi_Hg-u_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/272227624/1573500540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Mon Jan 20 16:38:02 +0000 2020,1219298045105405953,1219298045105405953,@BeirutMugharid Yes! From @AUB_Lebanon around 2:30pm :),False,"[16, 55]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.219263529284526e+18,1219263529284526081,2713040959.0,2713040959,BeirutMugharid,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'BeirutMugharid', 'name': 'Beirut Mugharid', 'id': 2713040959, 'id_str': '2713040959', 'indices': [0, 15]}, {'screen_name': 'AUB_Lebanon', 'name': 'AUB', 'id': 109577961, 'id_str': '109577961', 'indices': [26, 38]}]",[],en,recent,297296177,297296177,Mona Fawaz,mona_fawaz,"Beirut, Lebanon","Prof. of Urban Studies & Planning  at American University of Beirut, tweets about #Beirut #social_justice #city_issues and more.",,[],False,6671,292,72,Thu May 12 08:30:38 +0000 2011,7714,,,False,False,4128,,False,False,False,ACDED6,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,False,http://pbs.twimg.com/profile_images/837574297715675136/uFyxM_hr_normal.jpg,https://pbs.twimg.com/profile_images/837574297715675136/uFyxM_hr_normal.jpg,038543,EEEEEE,F6F6F6,333333,True,False,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/297296177/1488528192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Mon Jan 20 06:44:54 +0000 2020,1219148778369961984,1219148778369961984,"RT @MSFEA_AUB: @FHS_AUB @AUB_Lebanon @ImadElhajj @alinegermani Proud of all the 2020 #humanitarianengineer cohort: LightSaber, HydroKit, P&amp;…",False,"[0, 144]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,4,0,False,False,en,"[{'text': 'humanitarianengineer', 'indices': [85, 106]}]",[],"[{'screen_name': 'MSFEA_AUB', 'name': 'MSFEA', 'id': 2188083979, 'id_str': '2188083979', 'indices': [3, 13]}, {'screen_name': 'FHS_AUB', 'name': 'Faculty of Health Sciences - AUB', 'id': 943397817732812800, 'id_str': '943397817732812800', 'indices': [15, 23]}, {'screen_name': 'AUB_Lebanon', 'name': 'AUB', 'id': 109577961, 'id_str': '109577961', 'indices': [24, 36]}, {'screen_name': 'ImadElhajj', 'name': 'Imad Elhajj', 'id': 982402675, 'id_str': '982402675', 'indices': [37, 48]}, {'screen_name': 'alinegermani', 'name': 'Aline Germani', 'id': 3157984812, 'id_str': '3157984812', 'indices': [49, 62]}]",[],en,recent,3157984812,3157984812,Aline Germani,alinegermani,"Beirut, Lebanon","Professional in Public Health . Director of the Center for Public Health Practice, Faculty of Health Sciences, AUB",,[],False,782,242,1,Wed Apr 15 17:50:41 +0000 2015,5316,,,True,False,1050,,False,False,True,9AE4E8,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,False,http://pbs.twimg.com/profile_images/1094671122661023744/m0dichqZ_normal.jpg,https://pbs.twimg.com/profile_images/1094671122661023744/m0dichqZ_normal.jpg,0084B4,BDDCAD,DDFFCC,333333,True,False,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/3157984812/1429122979,Sat Jan 18 10:09:53 +0000 2020,1.218475589767762e+18,1218475589767761920,"@FHS_AUB @AUB_Lebanon @ImadElhajj @alinegermani Proud of all the 2020 #humanitarianengineer cohort: LightSaber, HydroKit, P&amp;D (Pump and Dump), H2Out, ريحة وطارت, The Skills Project, and Fatoura T who tackled pressing health issues and came up with a variety of innovative solutions. 
@AUB_Lebanon #AUB @FHS_AUB #FHS",False,"[48, 319]","[{'text': 'humanitarianengineer', 'indices': [70, 91]}, {'text': 'AUB', 'indices': [301, 305]}, {'text': 'FHS', 'indices': [315, 319]}]",[],"[{'screen_name': 'FHS_AUB', 'name': 'Faculty of Health Sciences - AUB', 'id': 943397817732812800, 'id_str': '943397817732812800', 'indices': [0, 8]}, {'screen_name': 'AUB_Lebanon', 'name': 'AUB', 'id': 109577961, 'id_str': '109577961', 'indices': [9, 21]}, {'screen_name': 'ImadElhajj', 'name': 'Imad Elhajj', 'id': 982402675, 'id_str': '982402675', 'indices': [22, 33]}, {'screen_name': 'alinegermani', 'name': 'Aline Germani', 'id': 3157984812, 'id_str': '3157984812', 'indices': [34, 47]}, {'screen_name': 'AUB_Lebanon', 'name': 'AUB', 'id': 109577961, 'id_str': '109577961', 'indices': [288, 300]}, {'screen_name': 'FHS_AUB', 'name': 'Faculty of Health Sciences - AUB', 'id': 943397817732812800, 'id_str': '943397817732812800', 'indices': [306, 314]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2184738676116603e+18,1218473867611660298,2188083979.0,2188083979,MSFEA_AUB,2188083979.0,2188083979,MSFEA,MSFEA_AUB,American University of Beirut,"Maroun Semaan Faculty of Engineering and Architecture (MSFEA) at the American University of Beirut (AUB, @AUB_Lebanon)",https://t.co/gRECf1owcT,"[{'url': 'https://t.co/gRECf1owcT', 'expanded_url': 'http://www.aub.edu.lb/msfea', 'display_url': 'aub.edu.lb/msfea', 'indices': [0, 23]}]",[],False,1823.0,509.0,5.0,Mon Nov 11 10:00:11 +0000 2013,1760.0,,,True,False,1812.0,,False,False,False,E62A09,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/993496404931866632/O8pf-1rx_normal.jpg,https://pbs.twimg.com/profile_images/993496404931866632/O8pf-1rx_normal.jpg,https://pbs.twimg.com/profile_banners/2188083979/1551190003,D91C15,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,,,,,False,4.0,9.0,False,False,en,,,,,,,,,,
46,Sun Jan 19 20:31:07 +0000 2020,1218994318289047553,1218994318289047553,@Decafquest @lebfinance @riadsaleme @MarkNourallah @PaulAbiNasr @wef @realDonaldTrump @BorisJohnson @AUB_Lebanon Felt like you weren’t convinced with @AdibChristian ‘s assessment 👀,False,"[113, 180]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2189935279689482e+18,1218993527968948228,9.949628208727859e+17,994962820872785922,Decafquest,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'Decafquest', 'name': 'Mahmoud Rasmi', 'id': 994962820872785922, 'id_str': '994962820872785922', 'indices': [0, 11]}, {'screen_name': 'lebfinance', 'name': 'lebfinance', 'id': 1031086984268271616, 'id_str': '1031086984268271616', 'indices': [12, 23]}, {'screen_name': 'riadsaleme', 'name': 'Riаd Sаlеmе', 'id': 955438531, 'id_str': '955438531', 'indices': [24, 35]}, {'screen_name': 'MarkNourallah', 'name': 'Mark Nourallah', 'id': 1192069062379094016, 'id_str': '1192069062379094016', 'indices': [36, 50]}, {'screen_name': 'PaulAbiNasr', 'name': 'Paul Abi Nasr', 'id': 22473126, 'id_str': '22473126', 'indices': [51, 63]}, {'screen_name': 'wef', 'name': 'World Economic Forum', 'id': 5120691, 'id_str': '5120691', 'indices': [64, 68]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [69, 85]}, {'screen_name': 'BorisJohnson', 'name': 'Boris Johnson', 'id': 3131144855, 'id_str': '3131144855', 'indices': [86, 99]}, {'screen_name': 'AUB_Lebanon', 'name': 'AUB', 'id': 109577961, 'id_str': '109577961', 'indices': [100, 112]}, {'screen_name': 'AdibChristian', 'name': 'Christian Adib', 'id': 965972058277588992, 'id_str': '965972058277588992', 'indices': [150, 164]}]",[],en,recent,406254395,406254395,Andy,AndyKhalil1,Lebanon,Not an expert. Major NERDS threads found on https://t.co/KgEK9SlOup,,"[{'url': 'https://t.co/KgEK9SlOup', 'expanded_url': 'https://finance4lebanon.com', 'display_url': 'finance4lebanon.com', 'indices': [44, 67]}]",False,2928,803,35,Sun Nov 06 13:19:09 +0000 2011,5319,,,True,False,6872,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1206182556762300421/rw6PR1KL_normal.jpg,https://pbs.twimg.com/profile_images/1206182556762300421/rw6PR1KL_normal.jpg,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/406254395/1576411308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
