,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,user.profile_banner_url,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
2,Thu Jan 23 16:40:11 +0000 2020,1220385753378639872,1220385753378639872,"@UQ_News @QldBrainInst @UMBaltimore Hi! Thanks for sharing this exciting research and award. FYI, Tom Cronin is from University of Maryland, Baltimore County (@UMBC) - UM Baltimore is actually a different school. :-)",False,"[36, 216]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2201680200619008e+18,1220168020061900801,17383073.0,17383073,UQ_News,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'UQ_News', 'name': 'UQ News', 'id': 17383073, 'id_str': '17383073', 'indices': [0, 8]}, {'screen_name': 'QldBrainInst', 'name': 'Queensland Brain Institute, UQ', 'id': 620586403, 'id_str': '620586403', 'indices': [9, 22]}, {'screen_name': 'UMBaltimore', 'name': 'University of Maryland, Baltimore', 'id': 23633216, 'id_str': '23633216', 'indices': [23, 35]}, {'screen_name': 'UMBC', 'name': 'UMBC', 'id': 39542611, 'id_str': '39542611', 'indices': [159, 164]}]",[],en,recent,2344437254,2344437254,Sarah Hansen,SLynnHansen,"Baltimore, MD","Lifetime learner. Science geek, #NoMeatAthlete, musician, outdoors lover. STEM Comm Mgr @UMBC. UMBC + @Cornell alumna. Views are my own.",,[],False,216,402,38,Sat Feb 15 02:45:44 +0000 2014,2578,,,False,False,2120,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/720993719713992705/7fCtuDOE_normal.jpg,https://pbs.twimg.com/profile_images/720993719713992705/7fCtuDOE_normal.jpg,088253,D3D2CF,E3E2DE,634047,True,False,False,False,False,False,False,none,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/2344437254/1467745455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mon Jan 20 16:16:41 +0000 2020,1219292675754446848,1219292675754446848,"RT @JayPerman: @DrLeanaWen @UMBaltimore YOUR leadership, @DrLeanaWen, is an inspiration, proving the power of inclusion &amp; compassion. Honor…",False,"[0, 144]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'JayPerman', 'name': 'Jay A. Perman, MD', 'id': 1022582348989300739, 'id_str': '1022582348989300739', 'indices': [3, 13]}, {'screen_name': 'DrLeanaWen', 'name': 'Leana Wen, M.D.', 'id': 605153786, 'id_str': '605153786', 'indices': [15, 26]}, {'screen_name': 'UMBaltimore', 'name': 'University of Maryland, Baltimore', 'id': 23633216, 'id_str': '23633216', 'indices': [27, 39]}, {'screen_name': 'DrLeanaWen', 'name': 'Leana Wen, M.D.', 'id': 605153786, 'id_str': '605153786', 'indices': [57, 68]}]",[],en,recent,91160433,91160433,Patricia Fanning,UMBpatricia,"Baltimore, Md. ","UMBaltimore media specialist w/ interest in health/sci (Dentistry & Pharmacy), biotech, social work, community engagement, sports, religion, eating local, reuse",,[],False,1246,1320,112,Thu Nov 19 18:25:36 +0000 2009,33,,,True,False,17604,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2409965274/af4mxw7v8cr35p76ld4w_normal.jpeg,https://pbs.twimg.com/profile_images/2409965274/af4mxw7v8cr35p76ld4w_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,Mon Jan 20 16:04:04 +0000 2020,1.2192894972731924e+18,1219289497273192448,"@DrLeanaWen @UMBaltimore YOUR leadership, @DrLeanaWen, is an inspiration, proving the power of inclusion &amp; compassion. Honored to have your friendship.",False,"[25, 155]",[],[],"[{'screen_name': 'DrLeanaWen', 'name': 'Leana Wen, M.D.', 'id': 605153786, 'id_str': '605153786', 'indices': [0, 11]}, {'screen_name': 'UMBaltimore', 'name': 'University of Maryland, Baltimore', 'id': 23633216, 'id_str': '23633216', 'indices': [12, 24]}, {'screen_name': 'DrLeanaWen', 'name': 'Leana Wen, M.D.', 'id': 605153786, 'id_str': '605153786', 'indices': [42, 53]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2190909440431596e+18,1219090944043159553,605153786.0,605153786,DrLeanaWen,1.0225823489893007e+18,1022582348989300739,"Jay A. Perman, MD",JayPerman,"Baltimore, MD","Jay A. Perman, MD, is the fifth chancellor of the University System of Maryland. @Univ_System_MD #USMproud",https://t.co/aqJ8y8OlAE,"[{'url': 'https://t.co/aqJ8y8OlAE', 'expanded_url': 'http://umaryland.edu', 'display_url': 'umaryland.edu', 'indices': [0, 23]}]",[],False,1039.0,197.0,11.0,Thu Jul 26 20:40:05 +0000 2018,160.0,,,True,False,977.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1023919401412833280/DLEAB06w_normal.jpg,https://pbs.twimg.com/profile_images/1023919401412833280/DLEAB06w_normal.jpg,https://pbs.twimg.com/profile_banners/1022582348989300739/1569591821,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,1.0,2.0,False,False,en
