,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.user.entities.url.urls
67,Thu Jan 23 00:24:28 +0000 2020,1220140205757345793,1220140205757345793,@LawProfShavers @UNLincoln Congratulations! Well deserved!!,False,"[27, 59]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220138766481924e+18,1220138766481924096,2375885462.0,2375885462,LawProfShavers,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'LawProfShavers', 'name': 'Anna W Shavers', 'id': 2375885462, 'id_str': '2375885462', 'indices': [0, 15]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [16, 26]}]",[],en,recent,15111876,15111876,Ari Kohen,kohenari,"Lincoln, Nebraska","Political theory professor, husband, dad, native Detroiter, MSU & Duke alum. I write mostly about heroism and human rights. All tweets mine. RT≠endorsement.",https://t.co/Sdkw3HCSjC,"[{'url': 'https://t.co/Sdkw3HCSjC', 'expanded_url': 'http://kohenari.net', 'display_url': 'kohenari.net', 'indices': [0, 23]}]",[],False,8123,492,248,Fri Jun 13 21:50:17 +0000 2008,44287,,,True,False,71150,,False,False,False,C6E2EE,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/766483517408546816/X0TbHn9t_normal.jpg,https://pbs.twimg.com/profile_images/766483517408546816/X0TbHn9t_normal.jpg,https://pbs.twimg.com/profile_banners/15111876/1485572244,014D01,C6E2EE,DAECF4,663B12,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Wed Jan 22 04:43:23 +0000 2020,1219842975552831488,1219842975552831488,@UNLincoln @RonnieDGreen You guys never mentioned a free skating rink outside HSS! Just wish I had packed my ice skates when I left home from break.,False,"[0, 148]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,762288787.0,762288787,UNLincoln,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [0, 10]}, {'screen_name': 'RonnieDGreen', 'name': 'Ronnie D. Green', 'id': 974583805, 'id_str': '974583805', 'indices': [11, 24]}]",[],en,recent,1014358061794897921,1014358061794897921,Maxwell Adams,Maxwe_11,"Lincoln, NE",new twitter. same stupid tweets Husker Student ATC UNL ‘22 UNL Rugby,,,[],False,139,954,0,Wed Jul 04 03:59:42 +0000 2018,21612,,,False,False,2117,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1110040152599154690/YO84v8Ug_normal.jpg,https://pbs.twimg.com/profile_images/1110040152599154690/YO84v8Ug_normal.jpg,https://pbs.twimg.com/profile_banners/1014358061794897921/1530726940,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Wed Jan 22 04:30:54 +0000 2020,1219839835424411648,1219839835424411648,Why do icebreakers when you can break the ice falling with friends @UNLincoln,False,"[0, 77]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [67, 77]}]",[],en,recent,986743739916861440,986743739916861440,Nerd,CSEmemes1,,Just some wholesome memes to show the Computer Science experience @ Nebraska #UNL. Send me memes!!,,,[],False,15,9,0,Wed Apr 18 23:10:15 +0000 2018,1,,,False,False,87,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1199063470005604353/zVHKgOQd_normal.jpg,https://pbs.twimg.com/profile_images/1199063470005604353/zVHKgOQd_normal.jpg,https://pbs.twimg.com/profile_banners/986743739916861440/1575921692,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Tue Jan 21 20:54:41 +0000 2020,1219725024342552577,1219725024342552577,"@UNLincoln @earlymodjustice 2. the winner: ""Slavery did not emerge within a liberal paradox.""",False,"[28, 93]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2197247974810378e+18,1219724797481037824,20016648.0,20016648,wgthomas3,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [0, 10]}, {'screen_name': 'earlymodjustice', 'name': 'Holly Brewer', 'id': 1095133133224267776, 'id_str': '1095133133224267776', 'indices': [11, 27]}]",[],en,recent,20016648,20016648,William G. Thomas,wgthomas3,"Lincoln, NE","U.S. historian, digital media producer. Alum @trinitycollege @UVA | Professor @UNLincoln | @GuggFellows | @yalepress Tweets own.",https://t.co/TOrXFx3leE,"[{'url': 'https://t.co/TOrXFx3leE', 'expanded_url': 'http://www.williamgthomas.com', 'display_url': 'williamgthomas.com', 'indices': [0, 23]}]",[],False,1584,700,100,Wed Feb 04 00:26:28 +0000 2009,5646,,,True,False,7534,,False,False,False,C6E2EE,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/980064477193256960/6EMDVgSG_normal.jpg,https://pbs.twimg.com/profile_images/980064477193256960/6EMDVgSG_normal.jpg,https://pbs.twimg.com/profile_banners/20016648/1404916401,1F97C7,C6E2EE,DAECF4,663B12,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Tue Jan 21 20:53:47 +0000 2020,1219724797481037824,1219724797481037824,"Great discussion today in capstone history seminar @UNLincoln on @earlymodjustice AHR 2017 masterpiece ""Slavery, Sovereignty, . . .""--find one sentence that conveys full argument +",False,"[0, 180]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,2,6,False,False,en,[],[],"[{'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [51, 61]}, {'screen_name': 'earlymodjustice', 'name': 'Holly Brewer', 'id': 1095133133224267776, 'id_str': '1095133133224267776', 'indices': [65, 81]}]",[],en,recent,20016648,20016648,William G. Thomas,wgthomas3,"Lincoln, NE","U.S. historian, digital media producer. Alum @trinitycollege @UVA | Professor @UNLincoln | @GuggFellows | @yalepress Tweets own.",https://t.co/TOrXFx3leE,"[{'url': 'https://t.co/TOrXFx3leE', 'expanded_url': 'http://www.williamgthomas.com', 'display_url': 'williamgthomas.com', 'indices': [0, 23]}]",[],False,1584,700,100,Wed Feb 04 00:26:28 +0000 2009,5646,,,True,False,7534,,False,False,False,C6E2EE,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/980064477193256960/6EMDVgSG_normal.jpg,https://pbs.twimg.com/profile_images/980064477193256960/6EMDVgSG_normal.jpg,https://pbs.twimg.com/profile_banners/20016648/1404916401,1F97C7,C6E2EE,DAECF4,663B12,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Tue Jan 21 18:57:06 +0000 2020,1219695431195734016,1219695431195734016,@derylhatch @UNLincoln @NebraskaBiz That fancy pants building though.. 👀,False,"[36, 72]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2196904592301015e+18,1219690459230101504,53423982.0,53423982,derylhatch,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'derylhatch', 'name': 'Deryl Hatch-Tocaimaza, PhD', 'id': 53423982, 'id_str': '53423982', 'indices': [0, 11]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [12, 22]}, {'screen_name': 'NebraskaBiz', 'name': 'Nebraska Business', 'id': 1161217747, 'id_str': '1161217747', 'indices': [23, 35]}]",[],en,recent,18920718,18920718,Miles Young,MilesGY,"Longview, TX","Dad, Ph.D. candidate at @UNLincoln, Director of Distance Education & Dual Credit, musician, scholar/practitioner. Views are my own.",,,[],False,204,567,0,Mon Jan 12 23:44:58 +0000 2009,693,,,True,False,8422,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1192232042731315200/_3pB9rak_normal.jpg,https://pbs.twimg.com/profile_images/1192232042731315200/_3pB9rak_normal.jpg,https://pbs.twimg.com/profile_banners/18920718/1575046001,841617,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Tue Jan 21 04:34:35 +0000 2020,1219478371232555008,1219478371232555008,"RT @UNLFilm: Congratulations to our own film studies prof Gwendolyn Audrey Foster for having her hand-painted direct animation 35mm short,…",False,"[0, 139]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'UNLFilm', 'name': 'UNL Film Studies', 'id': 1149341858750967808, 'id_str': '1149341858750967808', 'indices': [3, 11]}]",[],en,recent,2834429343,2834429343,UNL Creative Writing,UNLwriters,"Lincoln, NE",University of Nebraska's PhD program for Creative Writing,https://t.co/PYi0DGOMp6,"[{'url': 'https://t.co/PYi0DGOMp6', 'expanded_url': 'http://www.unl.edu/english/creative-writing', 'display_url': 'unl.edu/english/creati…', 'indices': [0, 23]}]",[],False,471,496,17,Thu Oct 16 18:24:24 +0000 2014,1635,,,False,False,1568,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/953714648565538816/JNwMQR6A_normal.jpg,https://pbs.twimg.com/profile_images/953714648565538816/JNwMQR6A_normal.jpg,https://pbs.twimg.com/profile_banners/2834429343/1516218143,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Sun Jan 19 18:51:31 +0000 2020,1.218969249844269e+18,1218969249844269062,"Congratulations to our own film studies prof Gwendolyn Audrey Foster for having her hand-painted direct animation 35mm short, ""Kitchen Sink Film,"" selected for NewFilmmakers, playing in a program of animations on 1/29 at @AnthologyFilm!  
@unlcas 
@UNLincoln 
@unlenglish",False,"[0, 271]",[],[],"[{'screen_name': 'AnthologyFilm', 'name': 'Anthology Film Archives', 'id': 57755131, 'id_str': '57755131', 'indices': [221, 235]}, {'screen_name': 'unlcas', 'name': 'Nebraska CAS', 'id': 47721348, 'id_str': '47721348', 'indices': [239, 246]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [248, 258]}, {'screen_name': 'unlenglish', 'name': 'Nebraska Department of English', 'id': 3236544377, 'id_str': '3236544377', 'indices': [260, 271]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1.1493418587509678e+18,1149341858750967808,UNL Film Studies,UNLFilm,,The Film Studies program at the University of Nebraska–Lincoln offers an undergraduate major and minor as well as graduate work.,,[],False,47.0,77.0,1.0,Thu Jul 11 15:37:07 +0000 2019,139.0,,,False,False,160.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1149353919052767232/e92UTPLB_normal.jpg,https://pbs.twimg.com/profile_images/1149353919052767232/e92UTPLB_normal.jpg,https://pbs.twimg.com/profile_banners/1149341858750967808/1562948398,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,2.0,8.0,False,False,en,,,,,,,,,,,
112,Mon Jan 20 15:36:20 +0000 2020,1219282517959700481,1219282517959700481,"@JoshDavisUNL @UNLincoln @GlobalNebraska Thanks, @JoshDavisUNL, glad to be back to @UNLincoln, great institute, wonderful people and an excellent learning environment.",False,"[41, 167]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.176522258614907e+18,1176522258614906880,8.163767282012283e+17,816376728201228288,JoshDavisUNL,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JoshDavisUNL', 'name': 'Josh Davis', 'id': 816376728201228288, 'id_str': '816376728201228288', 'indices': [0, 13]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [14, 24]}, {'screen_name': 'GlobalNebraska', 'name': 'Global Nebraska', 'id': 2883679369, 'id_str': '2883679369', 'indices': [25, 40]}, {'screen_name': 'JoshDavisUNL', 'name': 'Josh Davis', 'id': 816376728201228288, 'id_str': '816376728201228288', 'indices': [49, 62]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [83, 93]}]",[],en,recent,188273689,188273689,Margaret N. Okojokwu,margie4jay,Nigeria,Wife. Mom. Editor @Majorwavesener1. Public Speaker. @washfellowsip alumni. Publicity Secretary- @mwfaan #LocalContent #SDG advocate. Lover of Jesus Christ,https://t.co/zBH9M22QtK,"[{'url': 'https://t.co/zBH9M22QtK', 'expanded_url': 'http://www.majorwavesenergyreport.com', 'display_url': 'majorwavesenergyreport.com', 'indices': [0, 23]}]",[],False,1336,3738,30,Wed Sep 08 10:13:02 +0000 2010,6755,,,False,False,8167,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/652164023182462976/bdKNYSpg_normal.jpg,https://pbs.twimg.com/profile_images/652164023182462976/bdKNYSpg_normal.jpg,https://pbs.twimg.com/profile_banners/188273689/1541973251,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Sun Jan 19 23:26:01 +0000 2020,1219038331310350336,1219038331310350336,@SciTalker @UNLincoln @NebraskaMRSEC @UNLPhysics Awww thank you!!!,False,"[49, 66]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2190382490306478e+18,1219038249030647813,9.282646004782899e+17,928264600478289920,SciTalker,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SciTalker', 'name': 'Jocelyn Bosley', 'id': 928264600478289920, 'id_str': '928264600478289920', 'indices': [0, 10]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [11, 21]}, {'screen_name': 'NebraskaMRSEC', 'name': 'Nebraska MRSEC', 'id': 940668165767487488, 'id_str': '940668165767487488', 'indices': [22, 36]}, {'screen_name': 'UNLPhysics', 'name': 'Nebraska Physics', 'id': 3249810404, 'id_str': '3249810404', 'indices': [37, 48]}]",[],en,recent,1007284936720740352,1007284936720740352,Dr Claudia Antolini 🌌🚀she/her 🐯,CA_AstroComm,"Cardiff, Wales",#Scicomm | space wizard | #STEMinist | #mentalhealth | immigrant | @tigerinstemm 🇮🇹🇪🇺🏴󠁧󠁢󠁷󠁬󠁳󠁿 #PublicEngagement @PhysicsNews (own views). Pass the 🍨!,,,[],False,12132,1920,125,Thu Jun 14 15:33:38 +0000 2018,85073,,,True,False,26141,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1153409564756336640/MTnKSacj_normal.jpg,https://pbs.twimg.com/profile_images/1153409564756336640/MTnKSacj_normal.jpg,https://pbs.twimg.com/profile_banners/1007284936720740352/1557611773,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Sun Jan 19 18:51:31 +0000 2020,1218969249844269062,1218969249844269062,"Congratulations to our own film studies prof Gwendolyn Audrey Foster for having her hand-painted direct animation 35mm short, ""Kitchen Sink Film,"" selected for NewFilmmakers, playing in a program of animations on 1/29 at @AnthologyFilm!  
@unlcas 
@UNLincoln 
@unlenglish",False,"[0, 271]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,2,8,False,False,en,[],[],"[{'screen_name': 'AnthologyFilm', 'name': 'Anthology Film Archives', 'id': 57755131, 'id_str': '57755131', 'indices': [221, 235]}, {'screen_name': 'unlcas', 'name': 'Nebraska CAS', 'id': 47721348, 'id_str': '47721348', 'indices': [239, 246]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [248, 258]}, {'screen_name': 'unlenglish', 'name': 'Nebraska Department of English', 'id': 3236544377, 'id_str': '3236544377', 'indices': [260, 271]}]",[],en,recent,1149341858750967808,1149341858750967808,UNL Film Studies,UNLFilm,,The Film Studies program at the University of Nebraska–Lincoln offers an undergraduate major and minor as well as graduate work.,,,[],False,47,77,1,Thu Jul 11 15:37:07 +0000 2019,139,,,False,False,160,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1149353919052767232/e92UTPLB_normal.jpg,https://pbs.twimg.com/profile_images/1149353919052767232/e92UTPLB_normal.jpg,https://pbs.twimg.com/profile_banners/1149341858750967808/1562948398,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Sat Jan 18 19:16:00 +0000 2020,1218613024556085248,1218613024556085248,@snyder_jennifer @UNL_OASIS @UNLincoln @unlstudentlife Thank you. ❤️,False,"[55, 68]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2185990504355308e+18,1218599050435530752,30029751.0,30029751,snyder_jennifer,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'snyder_jennifer', 'name': 'Jennifer Snyder', 'id': 30029751, 'id_str': '30029751', 'indices': [0, 16]}, {'screen_name': 'UNL_OASIS', 'name': 'UNL OASIS', 'id': 352501007, 'id_str': '352501007', 'indices': [17, 27]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [28, 38]}, {'screen_name': 'unlstudentlife', 'name': 'Student Life at Nebraska', 'id': 719636189448286208, 'id_str': '719636189448286208', 'indices': [39, 54]}]",[],en,recent,2211584174,2211584174,Charlesette Foster,sweet2charlie,,Assistant Vice Chancellor of Inclusive Student Excellence-University of Nebraska,,,[],False,225,114,1,Sun Nov 24 00:43:10 +0000 2013,4155,,,True,False,1030,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/378800000835021879/28eadd2206edf735592fbe8900953d1e_normal.jpeg,https://pbs.twimg.com/profile_images/378800000835021879/28eadd2206edf735592fbe8900953d1e_normal.jpeg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3af2a75dbeb10500,https://api.twitter.com/1.1/geo/id/3af2a75dbeb10500.json,city,Lincoln,"Lincoln, NE",US,United States,[],Polygon,"[[[-96.806031, 40.710053], [-96.5870939, 40.710053], [-96.5870939, 40.896417], [-96.806031, 40.896417]]]",
135,Sat Jan 18 18:20:28 +0000 2020,1218599050435530752,1218599050435530752,"@sweet2charlie @UNL_OASIS @UNLincoln @unlstudentlife Don't forget...your song leading was on point as well. Overall, a great day.",False,"[53, 129]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2182012559332844e+18,1218201255933284353,2211584174.0,2211584174,sweet2charlie,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'sweet2charlie', 'name': 'Charlesette Foster', 'id': 2211584174, 'id_str': '2211584174', 'indices': [0, 14]}, {'screen_name': 'UNL_OASIS', 'name': 'UNL OASIS', 'id': 352501007, 'id_str': '352501007', 'indices': [15, 25]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [26, 36]}, {'screen_name': 'unlstudentlife', 'name': 'Student Life at Nebraska', 'id': 719636189448286208, 'id_str': '719636189448286208', 'indices': [37, 52]}]",[],en,recent,30029751,30029751,Jennifer Snyder,snyder_jennifer,"Lincoln, Nebraska","I'll keep this short because I am. I'm a Grant native, a UNL alumna with a BJ degree and a pretty cool writing gig at #SCCNeb. Thoughts here = my own.",,,[],False,468,876,11,Thu Apr 09 17:50:42 +0000 2009,29326,,,True,False,25105,,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/993973944637009922/iysskS-P_normal.jpg,https://pbs.twimg.com/profile_images/993973944637009922/iysskS-P_normal.jpg,https://pbs.twimg.com/profile_banners/30029751/1501205847,990000,000000,000000,000000,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ac9b9070f6d17a9a,https://api.twitter.com/1.1/geo/id/ac9b9070f6d17a9a.json,admin,Nebraska,"Nebraska, USA",US,United States,[],Polygon,"[[[-104.053515, 39.9997506], [-95.30829, 39.9997506], [-95.30829, 43.001708], [-104.053515, 43.001708]]]",
