,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.user.entities.url.urls,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.possibly_sensitive
3,Sat Jan 25 23:51:47 +0000 2020,1221219141492846592,1221219141492846592,@ohiou afforded the young men of @BetaThetaPiOhio no due process of the law. Banning the fraternity from operation is both egregious and against due principles of the law.,False,"[0, 171]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,16712361.0,16712361,ohiou,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'ohiou', 'name': 'Ohio University', 'id': 16712361, 'id_str': '16712361', 'indices': [0, 6]}, {'screen_name': 'BetaThetaPiOhio', 'name': 'Beta Theta Pi at OU', 'id': 755243508, 'id_str': '755243508', 'indices': [33, 49]}]",[],en,recent,989909454,989909454,Tanner,dannytanner21,"Columbus, OH","Capital University Law School, Ohio University Alum, and avid supporter of the Oxford comma.",,[],False,1450,248,6,Wed Dec 05 01:10:22 +0000 2012,7149,,,True,False,226,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1189184738029785096/r7MS6Lpe_normal.jpg,https://pbs.twimg.com/profile_images/1189184738029785096/r7MS6Lpe_normal.jpg,https://pbs.twimg.com/profile_banners/989909454/1572349438,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sat Jan 25 06:53:29 +0000 2020,1220962878771093504,1220962878771093504,"@cldavis222 @OUHCOM @PinstripesBBB @EbonyBobcats @ohiou @OHIOAlumni We look forward to working with you, too! Always a pleasure being in your presence. 💚",False,"[68, 153]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2209618559230075e+18,1220961855923007489,133092790.0,133092790,cldavis222,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'cldavis222', 'name': 'Connie Lawson-Davis', 'id': 133092790, 'id_str': '133092790', 'indices': [0, 11]}, {'screen_name': 'OUHCOM', 'name': 'Heritage College', 'id': 1307886721, 'id_str': '1307886721', 'indices': [12, 19]}, {'screen_name': 'PinstripesBBB', 'name': 'Pinstripes', 'id': 44532326, 'id_str': '44532326', 'indices': [20, 34]}, {'screen_name': 'EbonyBobcats', 'name': 'Ebony Bobcat Network', 'id': 492754315, 'id_str': '492754315', 'indices': [35, 48]}, {'screen_name': 'ohiou', 'name': 'Ohio University', 'id': 16712361, 'id_str': '16712361', 'indices': [49, 55]}, {'screen_name': 'OHIOAlumni', 'name': 'OHIO Alumni', 'id': 56469188, 'id_str': '56469188', 'indices': [56, 67]}]",[],en,recent,3571393463,3571393463,Cleveland Bobcats,OUAlumniCLE,"Cleveland, OH","Ohio University alumni + friends in Cleveland, OH.📍Stay up-to-date on events and engage with other alumni in the best city outside of Athens!",https://t.co/Hi5qyys8Un,[],False,529,259,2,Mon Sep 07 00:17:51 +0000 2015,2369,,,True,False,1567,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1034117828801175554/PuZBHUDI_normal.jpg,https://pbs.twimg.com/profile_images/1034117828801175554/PuZBHUDI_normal.jpg,https://pbs.twimg.com/profile_banners/3571393463/1563297733,4A913C,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/Hi5qyys8Un', 'expanded_url': 'http://clevelandbobcats.com', 'display_url': 'clevelandbobcats.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,
10,Sat Jan 25 01:19:03 +0000 2020,1220878718236839938,1220878718236839938,@ThomasWoubTV @ohiou @woub Such an honor to have been able to participate!,False,"[27, 74]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208709618864538e+18,1220870961886453760,732080810.0,732080810,ThomasWoubTV,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'ThomasWoubTV', 'name': 'Thomas Garverick', 'id': 732080810, 'id_str': '732080810', 'indices': [0, 13]}, {'screen_name': 'ohiou', 'name': 'Ohio University', 'id': 16712361, 'id_str': '16712361', 'indices': [14, 20]}, {'screen_name': 'woub', 'name': 'WOUB Public Media', 'id': 21697645, 'id_str': '21697645', 'indices': [21, 26]}]",[],en,recent,62370159,62370159,Kris Adams,BobcatAdams44,On Your Timeline,Ohio Dominican University BS '12 Ohio University MSA '17 ᫬ My views are my own.,,[],False,828,763,10,Sun Aug 02 22:48:56 +0000 2009,4409,,,True,False,19020,,False,False,False,F7F2F7,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/768437313688965120/X_sTN3Hm_normal.jpg,https://pbs.twimg.com/profile_images/768437313688965120/X_sTN3Hm_normal.jpg,https://pbs.twimg.com/profile_banners/62370159/1435811731,0D0D0D,FA2C08,F5F0F0,100AAD,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3df0e3eb1e91170b,https://api.twitter.com/1.1/geo/id/3df0e3eb1e91170b.json,city,Columbus,"Columbus, OH",US,United States,[],Polygon,"[[[-83.200169, 39.832013], [-82.7713751, 39.832013], [-82.7713751, 40.157354], [-83.200169, 40.157354]]]",,,,,,,,,,,,,,
13,Sat Jan 25 01:10:06 +0000 2020,1220876463957839873,1220876463957839873,"@ThomasWoubTV @ohiou @woub Wow! Great job, Thomas!",False,"[27, 50]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208709618864538e+18,1220870961886453760,732080810.0,732080810,ThomasWoubTV,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'ThomasWoubTV', 'name': 'Thomas Garverick', 'id': 732080810, 'id_str': '732080810', 'indices': [0, 13]}, {'screen_name': 'ohiou', 'name': 'Ohio University', 'id': 16712361, 'id_str': '16712361', 'indices': [14, 20]}, {'screen_name': 'woub', 'name': 'WOUB Public Media', 'id': 21697645, 'id_str': '21697645', 'indices': [21, 26]}]",[],en,recent,855840193517154305,855840193517154305,"Brandon M. Wright, J.D.",wrightbefore,"Athens, OH",Asst Prof of Instruction @OhioUBusiness. I teach sports and business law. Former NCAA compliance officer. More tweets: @wrightbm,https://t.co/iup4D9YJAS,[],False,536,632,4,Sat Apr 22 17:46:17 +0000 2017,1901,,,True,False,1343,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1043124349006430208/nS_UodJP_normal.jpg,https://pbs.twimg.com/profile_images/1043124349006430208/nS_UodJP_normal.jpg,https://pbs.twimg.com/profile_banners/855840193517154305/1492968026,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/iup4D9YJAS', 'expanded_url': 'http://sportsad.ohio.edu', 'display_url': 'sportsad.ohio.edu', 'indices': [0, 23]}]",2cb954ccdc0dba5f,https://api.twitter.com/1.1/geo/id/2cb954ccdc0dba5f.json,city,Dublin,"Dublin, OH",US,United States,[],Polygon,"[[[-83.18921, 40.067746], [-83.089352, 40.067746], [-83.089352, 40.182801], [-83.18921, 40.182801]]]",,,,,,,,,,,,,,
17,Fri Jan 24 11:35:12 +0000 2020,1220671387976663040,1220671387976663040,"""Only thing I accomplished during my first five years at @ohiou is I met my wife""

#VenkiAtAIIMS #365DaysOfScience",False,"[0, 114]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2206702511860613e+18,1220670251186061312,95639975.0,95639975,imtryam,,,,,False,0,0,False,False,en,"[{'text': 'VenkiAtAIIMS', 'indices': [83, 96]}, {'text': '365DaysOfScience', 'indices': [97, 114]}]",[],"[{'screen_name': 'ohiou', 'name': 'Ohio University', 'id': 16712361, 'id_str': '16712361', 'indices': [57, 63]}]",[],en,recent,95639975,95639975,Tryambak Srivastava,imtryam,"New Delhi, Delhi","Learner. Dreamer. Procrastinator. Jack of none, Masters of Biotech. PhD scholar at AIIMS, New Delhi.",https://t.co/W0w1QZjQIy,[],False,5863,1047,10,Wed Dec 09 12:55:05 +0000 2009,3733,,,True,False,7524,,False,False,False,2D0F07,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,True,http://pbs.twimg.com/profile_images/973937079662075904/boIJgAFl_normal.jpg,https://pbs.twimg.com/profile_images/973937079662075904/boIJgAFl_normal.jpg,https://pbs.twimg.com/profile_banners/95639975/1530759414,45E8B2,FFFFFF,180703,AB5F24,True,True,False,False,False,False,False,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/W0w1QZjQIy', 'expanded_url': 'http://tryambak.net', 'display_url': 'tryambak.net', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,
19,Fri Jan 24 09:53:37 +0000 2020,1220645825094746112,1220645825094746112,@Ash_Allanson @UniOfHull @ohiou @OhioCoachingEd My nephew is in his 2nd year at Hull studying Sports Coaching and Performance Science . I’ll show him this! :),False,"[48, 158]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205456236000502e+18,1220545623600050178,362459810.0,362459810,Ash_Allanson,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Ash_Allanson', 'name': 'Ash Allanson', 'id': 362459810, 'id_str': '362459810', 'indices': [0, 13]}, {'screen_name': 'UniOfHull', 'name': 'University of Hull', 'id': 59761280, 'id_str': '59761280', 'indices': [14, 24]}, {'screen_name': 'ohiou', 'name': 'Ohio University', 'id': 16712361, 'id_str': '16712361', 'indices': [25, 31]}, {'screen_name': 'OhioCoachingEd', 'name': 'OHIO Online Masters in Coaching Education Programs', 'id': 884645492, 'id_str': '884645492', 'indices': [32, 47]}]",[],en,recent,853205707,853205707,Vinny Shepherd,CubaDrive_Vinny,Hull,"Northern humanoid, head boy of the band CubaDrive. Ink leaker of multiple thoughts available on Bandcamp. 2nd year University of Hull student. History/Politics.",https://t.co/Vhwy5TrvPG,[],False,1996,3015,31,Sat Sep 29 16:38:21 +0000 2012,16041,,,True,False,40766,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/790627849195626498/vaQUfo0N_normal.jpg,https://pbs.twimg.com/profile_images/790627849195626498/vaQUfo0N_normal.jpg,https://pbs.twimg.com/profile_banners/853205707/1483473430,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/Vhwy5TrvPG', 'expanded_url': 'http://cubadrive.bandcamp.com/album/10-messages-received', 'display_url': 'cubadrive.bandcamp.com/album/10-messa…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,
21,Fri Jan 24 05:50:28 +0000 2020,1220584632841691136,1220584632841691136,"RT @twistor: #MySTEMStory:

Grew up on a farm in southern Ohio, mostly homeschooled (K, and 6-11).

Because of that, I was able to get into…",False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,2,0,False,False,en,"[{'text': 'MySTEMStory', 'indices': [13, 25]}]",[],"[{'screen_name': 'twistor', 'name': '𝕋𝕎𝕀𝕊𝕋𝕆ℝ «重力の影» (Céleste ME Hogan)', 'id': 16044793, 'id_str': '16044793', 'indices': [3, 11]}]",[],en,recent,1155497149,1155497149,christine liu 🌿 two photon art,christineliuart,christineliuart.com,"neuroscience phd student
// self-taught artist and zine queen // let's make science accessible 👩🏻‍🔬✊🏽👩‍🏭💖👩🏿‍🚀 // she/her",https://t.co/UmGGZimBVN,[],False,17453,2573,277,Thu Feb 07 00:11:48 +0000 2013,46057,,,False,False,26151,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/934353411205500928/ROjZw_js_normal.jpg,https://pbs.twimg.com/profile_images/934353411205500928/ROjZw_js_normal.jpg,https://pbs.twimg.com/profile_banners/1155497149/1532319801,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,Tue Jan 21 16:05:46 +0000 2020,1.2196523158687375e+18,1219652315868737537,"#MySTEMStory:

Grew up on a farm in southern Ohio, mostly homeschooled (K, and 6-11).

Because of that, I was able to get into @HockingCollege at 13; was told that was too young; started (part-time) at 15.

Also started research @ElisarBarbarLab @ohiou at 17, studying dynein.",False,"[0, 276]","[{'text': 'MySTEMStory', 'indices': [0, 12]}]",[],"[{'screen_name': 'HockingCollege', 'name': 'Hocking College', 'id': 65388089, 'id_str': '65388089', 'indices': [127, 142]}, {'screen_name': 'ElisarBarbarLab', 'name': 'Barbar Lab', 'id': 991715174657675264, 'id_str': '991715174657675264', 'indices': [229, 245]}, {'screen_name': 'ohiou', 'name': 'Ohio University', 'id': 16712361, 'id_str': '16712361', 'indices': [246, 252]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,16044793.0,16044793,𝕋𝕎𝕀𝕊𝕋𝕆ℝ «重力の影» (Céleste ME Hogan),twistor,"unceded Cayuga territory, NY",Quantum cosmology/philosophy faculty @wellscollege + eco-LGBTQ-labor activist by day; hybrid electronic/hip-hop DJ/producer by night Ⓐ☭🌻🌹✴☸☯⚛️⚧🌈 #girlslikeus,https://t.co/qAby0wdqao,[],False,1997.0,5096.0,30.0,Fri Aug 29 17:31:41 +0000 2008,138996.0,,,True,False,18619.0,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1028440094238232576/wpGiboBD_normal.jpg,https://pbs.twimg.com/profile_images/1028440094238232576/wpGiboBD_normal.jpg,https://pbs.twimg.com/profile_banners/16044793/1496272580,E81C4F,181A1E,252429,666666,True,False,False,False,False,False,False,none,,,,,False,2.0,3.0,False,False,en,"[{'url': 'https://t.co/UmGGZimBVN', 'expanded_url': 'http://www.twophotonart.com', 'display_url': 'twophotonart.com', 'indices': [0, 23]}]",,,,,,,,,,,"[{'url': 'https://t.co/qAby0wdqao', 'expanded_url': 'https://www.linkedin.com/in/mehogan', 'display_url': 'linkedin.com/in/mehogan', 'indices': [0, 23]}]",94965b2c45386f87,https://api.twitter.com/1.1/geo/id/94965b2c45386f87.json,admin,New York,"New York, USA",US,United States,[],Polygon,"[[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]]",,,
25,Thu Jan 23 20:14:06 +0000 2020,1220439585785810946,1220439585785810946,"RT @ohiouCIS: PERKS: President Nellis will be joining for the first hour, grab this opportunity to meet the president of the university😉!!…",False,"[0, 139]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'ohiouCIS', 'name': 'Ohio University CIS', 'id': 485110920, 'id_str': '485110920', 'indices': [3, 12]}]",[],en,recent,872494537,872494537,OHIO Graduate Student Senate(GSS),OUGradSenate,"Athens, Ohio ",GSS represents all Ohio University grad-prof students & helps shape university policy to improve the OHIO student experience.,https://t.co/6pgHq84zuo,[],False,847,728,14,Wed Oct 10 20:56:50 +0000 2012,2461,,,True,False,2442,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1131295511980302337/DVmBntPy_normal.png,https://pbs.twimg.com/profile_images/1131295511980302337/DVmBntPy_normal.png,https://pbs.twimg.com/profile_banners/872494537/1567637514,0E774D,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,Thu Jan 23 15:51:27 +0000 2020,1.220373488613122e+18,1220373488613122054,"PERKS: President Nellis will be joining for the first hour, grab this opportunity to meet the president of the university😉!!

@OhioUASU @ohiou @OUGradSenate",False,"[0, 156]",[],[],"[{'screen_name': 'OhioUASU', 'name': ""Ohio University African Students' Union"", 'id': 3688539496, 'id_str': '3688539496', 'indices': [126, 135]}, {'screen_name': 'ohiou', 'name': 'Ohio University', 'id': 16712361, 'id_str': '16712361', 'indices': [136, 142]}, {'screen_name': 'OUGradSenate', 'name': 'OHIO Graduate Student Senate(GSS)', 'id': 872494537, 'id_str': '872494537', 'indices': [143, 156]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203734875939676e+18,1220373487593967617,485110920.0,485110920,ohiouCIS,485110920.0,485110920,Ohio University CIS,ohiouCIS,"Athens, OH",The Center for International Studies is the Global Education Gateway of Ohio University. We are committed to internationalizing the OHIO learning community.,http://t.co/VghnnCLg0c,[],False,921.0,612.0,13.0,Mon Feb 06 21:01:32 +0000 2012,471.0,,,True,False,1967.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/638722263798411264/i48t310K_normal.jpg,https://pbs.twimg.com/profile_images/638722263798411264/i48t310K_normal.jpg,https://pbs.twimg.com/profile_banners/485110920/1534347414,0084B4,000000,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,False,1.0,2.0,False,False,en,"[{'url': 'https://t.co/6pgHq84zuo', 'expanded_url': 'http://www.ohio.edu/gss/', 'display_url': 'ohio.edu/gss/', 'indices': [0, 23]}]",,,,,,,,,,,"[{'url': 'http://t.co/VghnnCLg0c', 'expanded_url': 'http://www.internationalstudies.ohio.edu', 'display_url': 'internationalstudies.ohio.edu', 'indices': [0, 22]}]",77aa8a0640caa98c,https://api.twitter.com/1.1/geo/id/77aa8a0640caa98c.json,city,Athens,"Athens, OH",US,United States,[],Polygon,"[[[-82.173479, 39.27973], [-82.01933, 39.27973], [-82.01933, 39.361038], [-82.173479, 39.361038]]]",,,
30,Thu Jan 23 18:07:19 +0000 2020,1220407680289906688,1220407680289906688,@GrandpaSedin @ohiou he went to literally every class with me... i hope his diploma comes in the mail with mine,False,"[21, 111]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204070448319242e+18,1220407044831924225,8.004201608509686e+17,800420160850968576,GrandpaSedin,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'GrandpaSedin', 'name': 'Nick', 'id': 800420160850968576, 'id_str': '800420160850968576', 'indices': [0, 13]}, {'screen_name': 'ohiou', 'name': 'Ohio University', 'id': 16712361, 'id_str': '16712361', 'indices': [14, 20]}]",[],en,recent,21593550,21593550,Stephanie Morrison,danglebus,312 // 614 #midwestexpress,Sorority girl w/ a Jason Garrison slapshot. Inland Canucks fan. Ohio University x2. Chicago-bred Graphic Designer for Pedialyte. Pavel Bure is my spirit animal.,https://t.co/f2W3pqsuQQ,[],False,483,480,26,Sun Feb 22 20:10:33 +0000 2009,6057,,,True,False,20741,,False,False,False,DEDEDE,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1184263473427034112/4-fbTA2p_normal.jpg,https://pbs.twimg.com/profile_images/1184263473427034112/4-fbTA2p_normal.jpg,https://pbs.twimg.com/profile_banners/21593550/1476321838,E81C4F,FFFFFF,EFEFEF,333333,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/f2W3pqsuQQ', 'expanded_url': 'http://www.morrisonproduction.com', 'display_url': 'morrisonproduction.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,
32,Thu Jan 23 15:57:33 +0000 2020,1220375022197452800,1220375022197452800,@ohiou @OhioU_Housing Wonderful to see!  I lived in the quad room on the top floor with 3 roommates in 1971-1972!  Great times!,False,"[22, 127]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2201483377997824e+18,1220148337799782400,16712361.0,16712361,ohiou,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'ohiou', 'name': 'Ohio University', 'id': 16712361, 'id_str': '16712361', 'indices': [0, 6]}, {'screen_name': 'OhioU_Housing', 'name': 'Housing & Res Life', 'id': 370711197, 'id_str': '370711197', 'indices': [7, 21]}]",[],en,recent,1250115422,1250115422,Carol Hoefler,CarolHoefler,"Zanesville, OH","Coordinator, Bachelor of Specialized Studies, Ohio University Zanesville, retired",http://t.co/6RnOkfqhWA,[],False,45,124,0,Thu Mar 07 21:45:34 +0000 2013,1334,,,True,False,1344,,False,False,False,FCEBB6,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,3B94D9,F0A830,78C0A8,5E412F,True,False,False,True,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'http://t.co/6RnOkfqhWA', 'expanded_url': 'http://zanesville.ohiou.edu', 'display_url': 'zanesville.ohiou.edu', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,
