,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
6,Sun Jan 19 13:00:34 +0000 2020,1218880931634798593,1218880931634798593,@_KSU @azizalrabiah @caahep @PSCEMS_KSU Great*,False,"[40, 46]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1218880795512918024,1218880795512918024,809102090,809102090,turky_bo,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': '_KSU', 'name': 'جامعة الملك سعود', 'id': 18916965, 'id_str': '18916965', 'indices': [0, 5]}, {'screen_name': 'azizalrabiah', 'name': 'Dr. Abdulaziz Alrabiah د.عبدالعزيز الربيعة', 'id': 305553531, 'id_str': '305553531', 'indices': [6, 19]}, {'screen_name': 'caahep', 'name': 'CAAHEP', 'id': 465203112, 'id_str': '465203112', 'indices': [20, 27]}, {'screen_name': 'PSCEMS_KSU', 'name': 'P.S.C.E.M.S. - K.S.U', 'id': 2172678654, 'id_str': '2172678654', 'indices': [28, 39]}]",[],en,recent,809102090,809102090,"Saad Almuraisel, NREMT-P",turky_bo,Kingdom of Saudi Arabia,"Bachelor of Emergency Medical Care, Western Carolina University Alumni. personal account.

القائم بأعمال قائد فريق المسعفين 🚑🏋️‍♂️📣",,[],False,12,49,0,Fri Sep 07 15:40:25 +0000 2012,1486,,,False,False,147,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1182311766870708227/MsJ7Ctub_normal.jpg,https://pbs.twimg.com/profile_images/1182311766870708227/MsJ7Ctub_normal.jpg,https://pbs.twimg.com/profile_banners/809102090/1578330671,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,
7,Sun Jan 19 13:00:02 +0000 2020,1218880795512918024,1218880795512918024,"@_KSU @azizalrabiah @caahep @PSCEMS_KSU Congratulations,grear achievement 🎉. I believe all the KSU graduate right now could apply for NRP.",False,"[40, 138]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1218841861990887424,1218841861990887424,18916965,18916965,_KSU,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': '_KSU', 'name': 'جامعة الملك سعود', 'id': 18916965, 'id_str': '18916965', 'indices': [0, 5]}, {'screen_name': 'azizalrabiah', 'name': 'Dr. Abdulaziz Alrabiah د.عبدالعزيز الربيعة', 'id': 305553531, 'id_str': '305553531', 'indices': [6, 19]}, {'screen_name': 'caahep', 'name': 'CAAHEP', 'id': 465203112, 'id_str': '465203112', 'indices': [20, 27]}, {'screen_name': 'PSCEMS_KSU', 'name': 'P.S.C.E.M.S. - K.S.U', 'id': 2172678654, 'id_str': '2172678654', 'indices': [28, 39]}]",[],en,recent,809102090,809102090,"Saad Almuraisel, NREMT-P",turky_bo,Kingdom of Saudi Arabia,"Bachelor of Emergency Medical Care, Western Carolina University Alumni. personal account.

القائم بأعمال قائد فريق المسعفين 🚑🏋️‍♂️📣",,[],False,12,49,0,Fri Sep 07 15:40:25 +0000 2012,1486,,,False,False,147,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1182311766870708227/MsJ7Ctub_normal.jpg,https://pbs.twimg.com/profile_images/1182311766870708227/MsJ7Ctub_normal.jpg,https://pbs.twimg.com/profile_banners/809102090/1578330671,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,
9,Sat Jan 18 13:45:55 +0000 2020,1218529957070151682,1218529957070151682,"@CathGuy1 @_KSU @ksumedicalcity @ksu_medicine Well done Waleed, talented as usual",False,"[46, 81]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1218489525405700101,1218489525405700101,25813693,25813693,CathGuy1,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'CathGuy1', 'name': 'ولـيــد الحـربـي', 'id': 25813693, 'id_str': '25813693', 'indices': [0, 9]}, {'screen_name': '_KSU', 'name': 'جامعة الملك سعود', 'id': 18916965, 'id_str': '18916965', 'indices': [10, 15]}, {'screen_name': 'ksumedicalcity', 'name': 'المدينة الطبية', 'id': 2375444228, 'id_str': '2375444228', 'indices': [16, 31]}, {'screen_name': 'ksu_medicine', 'name': 'كلية الطب', 'id': 874945531054784514, 'id_str': '874945531054784514', 'indices': [32, 45]}]",[],en,recent,509907730,509907730,Dr.Tarek ELhussein,tarekdeema,,"Consultant Cardiology & Echocardiography MD, FACC, FRCP, FASE at King Saud University",,[],False,147,195,0,Thu Mar 01 08:20:09 +0000 2012,89,,,True,False,106,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1864263933/Tarek_Personal_Photo_normal.jpg,https://pbs.twimg.com/profile_images/1864263933/Tarek_Personal_Photo_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,
11,Sat Jan 18 12:04:27 +0000 2020,1218504421044297728,1218504421044297728,"@CathGuy1 @_KSU @ksumedicalcity @ksu_medicine Congrats doctor, good on you 👏🏼💪🏼",False,"[46, 79]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1218489525405700101,1218489525405700101,25813693,25813693,CathGuy1,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'CathGuy1', 'name': 'ولـيــد الحـربـي', 'id': 25813693, 'id_str': '25813693', 'indices': [0, 9]}, {'screen_name': '_KSU', 'name': 'جامعة الملك سعود', 'id': 18916965, 'id_str': '18916965', 'indices': [10, 15]}, {'screen_name': 'ksumedicalcity', 'name': 'المدينة الطبية', 'id': 2375444228, 'id_str': '2375444228', 'indices': [16, 31]}, {'screen_name': 'ksu_medicine', 'name': 'كلية الطب', 'id': 874945531054784514, 'id_str': '874945531054784514', 'indices': [32, 45]}]",[],en,recent,1002372968692011014,1002372968692011014,Mohammed Bahatheg | محمد باحاذق,M_Bahatheg,Riyadh,3rd year medical student at King Saud University • #Med437 • Future Cardiologist • Ex Chemical Engineering student from KFUPM,https://t.co/8mqjZmHZrP,[],False,1030,178,3,Fri Jun 01 02:15:13 +0000 2018,1683,,,True,False,7670,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1213459250518863873/4CRCV2Mp_normal.jpg,https://pbs.twimg.com/profile_images/1213459250518863873/4CRCV2Mp_normal.jpg,https://pbs.twimg.com/profile_banners/1002372968692011014/1573819556,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none,"[{'url': 'https://t.co/8mqjZmHZrP', 'expanded_url': 'https://curiouscat.me/M_Bahatheg', 'display_url': 'curiouscat.me/M_Bahatheg', 'indices': [0, 23]}]",01bf5c1e56ac186d,https://api.twitter.com/1.1/geo/id/01bf5c1e56ac186d.json,city,Riyadh,"Riyadh, Kingdom of Saudi Arabia",SA,Kingdom of Saudi Arabia,[],Polygon,"[[[46.3043976, 24.3320675], [47.0657557, 24.3320675], [47.0657557, 25.1118193], [46.3043976, 25.1118193]]]"
