,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.profile_banner_url,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
10,Thu Jan 23 12:46:46 +0000 2020,1220327008980414464,1220327008980414464,"@IUPedu Congrats, @MariaNewton21",False,"[8, 32]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220079805988774e+18,1220079805988773888,16422886.0,16422886,IUPedu,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'IUPedu', 'name': 'Indiana University of Pennsylvania', 'id': 16422886, 'id_str': '16422886', 'indices': [0, 7]}, {'screen_name': 'MariaNewton21', 'name': 'Maria Newton', 'id': 332904984, 'id_str': '332904984', 'indices': [18, 32]}]",[],en,recent,166050015,166050015,Alexandria Mansfield,alexandriammans,"Ocala, FL",Political reporter for @vdailysun and proud @IUPJournalism alumna. Formerly: @cranberryeagle/@butlereagle and @thepenniup.,https://t.co/8kHiZino8f,"[{'url': 'https://t.co/8kHiZino8f', 'expanded_url': 'http://alexandriamansfield.com', 'display_url': 'alexandriamansfield.com', 'indices': [0, 23]}]",[],False,469,542,10,Tue Jul 13 05:39:51 +0000 2010,17771,,,True,False,11188,,False,False,False,000000,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/1181205247039070209/ol2KtVhW_normal.jpg,https://pbs.twimg.com/profile_images/1181205247039070209/ol2KtVhW_normal.jpg,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/166050015/1572542644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Wed Jan 22 20:26:37 +0000 2020,1220080348983328778,1220080348983328778,@IUPedu Welcome to New York City!,False,"[8, 33]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220079805988774e+18,1220079805988773888,16422886.0,16422886,IUPedu,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'IUPedu', 'name': 'Indiana University of Pennsylvania', 'id': 16422886, 'id_str': '16422886', 'indices': [0, 7]}]",[],en,recent,2691019747,2691019747,Courtney DeNicola Nowak,DeNicolaNowak,New York City,"Wife, mommy, storyteller @sloan_kettering, & @IUPedu alum. Jersey girl forever. Let's go to the beach! (All my own views!)",,,[],False,459,2759,9,Tue Jul 29 20:31:27 +0000 2014,6698,,,True,False,2652,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910172273486819328/OrSiPclg_normal.jpg,https://pbs.twimg.com/profile_images/910172273486819328/OrSiPclg_normal.jpg,FFCC4D,000000,000000,000000,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/2691019747/1544150988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Wed Jan 22 19:47:46 +0000 2020,1220070570114547712,1220070570114547712,@IUPedu Hellll yeah Maria!!!!,False,"[8, 29]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200625172061143e+18,1220062517206114304,16422886.0,16422886,IUPedu,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'IUPedu', 'name': 'Indiana University of Pennsylvania', 'id': 16422886, 'id_str': '16422886', 'indices': [0, 7]}]",[],en,recent,491721090,491721090,eplan,emmaplan,AUS - Pgh ,Harvard - IUP alum,https://t.co/ItIqikUzn9,"[{'url': 'https://t.co/ItIqikUzn9', 'expanded_url': 'https://youtu.be/BF89NVeT34M', 'display_url': 'youtu.be/BF89NVeT34M', 'indices': [0, 23]}]",[],False,950,623,8,Mon Feb 13 23:17:22 +0000 2012,33404,,,True,False,19310,,False,False,False,E3702D,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1163862692165312513/aJCPU49I_normal.jpg,https://pbs.twimg.com/profile_images/1163862692165312513/aJCPU49I_normal.jpg,B209E6,000000,C0DFEC,333333,True,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/491721090/1566526085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Tue Jan 21 16:45:47 +0000 2020,1219662385281228800,1219662385281228800,"Welcome back, @IUPedu - have a great first day of classes! Keep your eyes peeled for the release of the Spring 2020 event calendar 👀👀👀",False,"[0, 134]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,4,23,False,False,en,[],[],"[{'screen_name': 'IUPedu', 'name': 'Indiana University of Pennsylvania', 'id': 16422886, 'id_str': '16422886', 'indices': [14, 21]}]",[],en,recent,205518242,205518242,STATIC,STATICatIUP,Indiana University of PA,"The Student Activity Committee of #IUP provides programs of a cultural, recreational, social, and educational nature to students of the university.",https://t.co/jEsT6bH1c0,"[{'url': 'https://t.co/jEsT6bH1c0', 'expanded_url': 'http://www.staticatiup.com', 'display_url': 'staticatiup.com', 'indices': [0, 23]}]",[],False,5393,325,14,Thu Oct 21 01:49:32 +0000 2010,2810,,,True,False,5952,,False,False,False,088AA1,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/914883312769957889/qQr0YOa-_normal.jpg,https://pbs.twimg.com/profile_images/914883312769957889/qQr0YOa-_normal.jpg,484FB5,000000,01080A,11DAF5,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/205518242/1506960132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
