,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
64,Wed Jan 22 19:33:13 +0000 2020,1220066908315107328,1220066908315107328,@nicgaston @AucklandUni Oh I would be very interested how casualisation factors into this too. Patching together RA/Teaching Fellow contracts for years and just scraping the bottom of the Lecturer payscale (if lucky!) despite an academic CV seems like it might exacerbate this even further?,False,"[24, 290]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2200598150677586e+18,1220059815067758595,263048486.0,263048486,nicgaston,,,,,False,0,7,False,False,en,[],[],"[{'screen_name': 'nicgaston', 'name': '(Ni)(Co)(La) (Ga)ston', 'id': 263048486, 'id_str': '263048486', 'indices': [0, 10]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [11, 23]}]",[],en,recent,2813630976,2813630976,Raven Cretney,RavenCretneyNZ,"Kirikiriroa-Hamilton, Aotearoa New Zealand","Researcher in geography & political science - environmental politics & participation, conservation, disaster politics. Bit of photography on the side.",http://t.co/B1D6QrwHZz,"[{'url': 'http://t.co/B1D6QrwHZz', 'expanded_url': 'http://www.ravencretney.wordpress.com', 'display_url': 'ravencretney.wordpress.com', 'indices': [0, 22]}]",[],False,1128,2205,14,Tue Sep 16 20:34:55 +0000 2014,7375,,,False,False,2704,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220553636888997888/ZdMs7Y-0_normal.jpg,https://pbs.twimg.com/profile_images/1220553636888997888/ZdMs7Y-0_normal.jpg,https://pbs.twimg.com/profile_banners/2813630976/1569045735,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Wed Jan 22 17:55:29 +0000 2020,1220042312006262784,1220042312006262784,RT @ssarahthomsonn: The @AucklandUni construction team saw a @95bFM DJ climb the back stairs (the only current entry/exit to the station) a…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,8,0,False,False,en,[],[],"[{'screen_name': 'ssarahthomsonn', 'name': 'Sarah', 'id': 23846541, 'id_str': '23846541', 'indices': [3, 18]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [24, 36]}, {'screen_name': '95bFM', 'name': '95bFM', 'id': 31113778, 'id_str': '31113778', 'indices': [61, 67]}]",[],en,recent,60474876,60474876,Jo Bond Loves RNZ ❤️,Jo_Bond,New Zealand,Master of Communication student. Organiser #FundRNZ. Did Save Campbell Live rallies around NZ & mod of Campbell Live fans.Views my own.,https://t.co/3PHuuU0f7O,"[{'url': 'https://t.co/3PHuuU0f7O', 'expanded_url': 'https://fundrnz.com/', 'display_url': 'fundrnz.com', 'indices': [0, 23]}]",[],False,3932,4851,75,Mon Jul 27 03:22:02 +0000 2009,76038,,,True,False,82190,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1057694667486052352/RitSn09y_normal.jpg,https://pbs.twimg.com/profile_images/1057694667486052352/RitSn09y_normal.jpg,https://pbs.twimg.com/profile_banners/60474876/1506210515,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Sat Jan 11 01:13:46 +0000 2020,1.2158039559781663e+18,1215803955978166273,"The @AucklandUni construction team saw a @95bFM DJ climb the back stairs (the only current entry/exit to the station) and still drilled a board over the stairs, effectively trapping them inside. 

I know we all hang out there too much, but... c’mon. Bit far. Bit shitty.",False,"[0, 270]",[],[],"[{'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [4, 16]}, {'screen_name': '95bFM', 'name': '95bFM', 'id': 31113778, 'id_str': '31113778', 'indices': [41, 47]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,23846541.0,23846541,Sarah,ssarahthomsonn,,Someone's boring joke + Programme Director @95bFM.,,,[],False,1077.0,1621.0,18.0,Wed Mar 11 22:47:55 +0000 2009,4964.0,,,True,False,3064.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/486109409089564672/fPh2HZf9_normal.jpeg,https://pbs.twimg.com/profile_images/486109409089564672/fPh2HZf9_normal.jpeg,,242424,7D251C,DF8A72,333333,True,False,False,False,False,False,False,none,,,,,False,8.0,73.0,False,False,en
74,Wed Jan 22 17:55:17 +0000 2020,1220042262916161536,1220042262916161536,RT @ssarahthomsonn: No hazard notices; no site manager contact details; workers yelling at @95bFM DJs; workers watching DJs enter + boardin…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,4,0,False,False,en,[],[],"[{'screen_name': 'ssarahthomsonn', 'name': 'Sarah', 'id': 23846541, 'id_str': '23846541', 'indices': [3, 18]}, {'screen_name': '95bFM', 'name': '95bFM', 'id': 31113778, 'id_str': '31113778', 'indices': [91, 97]}]",[],en,recent,60474876,60474876,Jo Bond Loves RNZ ❤️,Jo_Bond,New Zealand,Master of Communication student. Organiser #FundRNZ. Did Save Campbell Live rallies around NZ & mod of Campbell Live fans.Views my own.,https://t.co/3PHuuU0f7O,"[{'url': 'https://t.co/3PHuuU0f7O', 'expanded_url': 'https://fundrnz.com/', 'display_url': 'fundrnz.com', 'indices': [0, 23]}]",[],False,3932,4851,75,Mon Jul 27 03:22:02 +0000 2009,76038,,,True,False,82190,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1057694667486052352/RitSn09y_normal.jpg,https://pbs.twimg.com/profile_images/1057694667486052352/RitSn09y_normal.jpg,https://pbs.twimg.com/profile_banners/60474876/1506210515,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Wed Jan 22 06:38:55 +0000 2020,1.2198720481990042e+18,1219872048199004160,"No hazard notices; no site manager contact details; workers yelling at @95bFM DJs; workers watching DJs enter + boarding their only exit. The latter, as of tonight, four times in 2wks.

Appreciate construction/demolition is nuanced + difficult, @AucklandUni. But this feels silly.",False,"[0, 280]",[],[],"[{'screen_name': '95bFM', 'name': '95bFM', 'id': 31113778, 'id_str': '31113778', 'indices': [71, 77]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [245, 257]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2158039559781663e+18,1215803955978166273,23846541.0,23846541,ssarahthomsonn,23846541.0,23846541,Sarah,ssarahthomsonn,,Someone's boring joke + Programme Director @95bFM.,,,[],False,1077.0,1621.0,18.0,Wed Mar 11 22:47:55 +0000 2009,4964.0,,,True,False,3064.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/486109409089564672/fPh2HZf9_normal.jpeg,https://pbs.twimg.com/profile_images/486109409089564672/fPh2HZf9_normal.jpeg,,242424,7D251C,DF8A72,333333,True,False,False,False,False,False,False,none,,,,,False,4.0,25.0,False,False,en
91,Wed Jan 22 07:37:54 +0000 2020,1219886894177087490,1219886894177087490,"@ssarahthomsonn @95bFM @AucklandUni The general updates to where &amp; how we can navigate our campus workplace have moved from emails to finding out yourself via the intranet, which made me late for 2 meetings this week - nothing like being locked in, but indicative of the level of attention...",False,"[36, 296]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2198720481990042e+18,1219872048199004160,23846541.0,23846541,ssarahthomsonn,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'ssarahthomsonn', 'name': 'Sarah', 'id': 23846541, 'id_str': '23846541', 'indices': [0, 15]}, {'screen_name': '95bFM', 'name': '95bFM', 'id': 31113778, 'id_str': '31113778', 'indices': [16, 22]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [23, 35]}]",[],en,recent,23149365,23149365,Kate,Knhannah,Tāmaki Makaurau,"Feminist, co-captain of #TeamHannah, historian of science. PhD student & AI @PunahaMatatini. Everyone here is smart, so distinguish yourself by being kind.",https://t.co/8jRI4S1qEF,"[{'url': 'https://t.co/8jRI4S1qEF', 'expanded_url': 'http://thingsweholddear.blogspot.co.nz/', 'display_url': 'thingsweholddear.blogspot.co.nz', 'indices': [0, 23]}]",[],False,4343,2042,105,Sat Mar 07 01:39:59 +0000 2009,119067,,,True,False,70862,,False,False,False,C6E2EE,http://abs.twimg.com/images/themes/theme12/bg.gif,https://abs.twimg.com/images/themes/theme12/bg.gif,True,http://pbs.twimg.com/profile_images/782144110991769600/GUSmRWNN_normal.jpg,https://pbs.twimg.com/profile_images/782144110991769600/GUSmRWNN_normal.jpg,https://pbs.twimg.com/profile_banners/23149365/1564702552,F58EA8,F2E195,FFF7CC,0C3E53,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Wed Jan 22 07:36:20 +0000 2020,1219886500415967232,1219886500415967232,RT @ssarahthomsonn: No hazard notices; no site manager contact details; workers yelling at @95bFM DJs; workers watching DJs enter + boardin…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,4,0,False,False,en,[],[],"[{'screen_name': 'ssarahthomsonn', 'name': 'Sarah', 'id': 23846541, 'id_str': '23846541', 'indices': [3, 18]}, {'screen_name': '95bFM', 'name': '95bFM', 'id': 31113778, 'id_str': '31113778', 'indices': [91, 97]}]",[],en,recent,23149365,23149365,Kate,Knhannah,Tāmaki Makaurau,"Feminist, co-captain of #TeamHannah, historian of science. PhD student & AI @PunahaMatatini. Everyone here is smart, so distinguish yourself by being kind.",https://t.co/8jRI4S1qEF,"[{'url': 'https://t.co/8jRI4S1qEF', 'expanded_url': 'http://thingsweholddear.blogspot.co.nz/', 'display_url': 'thingsweholddear.blogspot.co.nz', 'indices': [0, 23]}]",[],False,4343,2042,105,Sat Mar 07 01:39:59 +0000 2009,119067,,,True,False,70862,,False,False,False,C6E2EE,http://abs.twimg.com/images/themes/theme12/bg.gif,https://abs.twimg.com/images/themes/theme12/bg.gif,True,http://pbs.twimg.com/profile_images/782144110991769600/GUSmRWNN_normal.jpg,https://pbs.twimg.com/profile_images/782144110991769600/GUSmRWNN_normal.jpg,https://pbs.twimg.com/profile_banners/23149365/1564702552,F58EA8,F2E195,FFF7CC,0C3E53,True,False,False,False,False,False,False,none,Wed Jan 22 06:38:55 +0000 2020,1.2198720481990042e+18,1219872048199004160,"No hazard notices; no site manager contact details; workers yelling at @95bFM DJs; workers watching DJs enter + boarding their only exit. The latter, as of tonight, four times in 2wks.

Appreciate construction/demolition is nuanced + difficult, @AucklandUni. But this feels silly.",False,"[0, 280]",[],[],"[{'screen_name': '95bFM', 'name': '95bFM', 'id': 31113778, 'id_str': '31113778', 'indices': [71, 77]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [245, 257]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2158039559781663e+18,1215803955978166273,23846541.0,23846541,ssarahthomsonn,23846541.0,23846541,Sarah,ssarahthomsonn,,Someone's boring joke + Programme Director @95bFM.,,,[],False,1077.0,1621.0,18.0,Wed Mar 11 22:47:55 +0000 2009,4964.0,,,True,False,3064.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/486109409089564672/fPh2HZf9_normal.jpeg,https://pbs.twimg.com/profile_images/486109409089564672/fPh2HZf9_normal.jpeg,,242424,7D251C,DF8A72,333333,True,False,False,False,False,False,False,none,,,,,False,4.0,25.0,False,False,en
104,Wed Jan 22 03:57:18 +0000 2020,1219831376632934400,1219831376632934400,@LincolnUniNZ @UCNZ @MBIEsci @AucklandUni @UCNZ students Josh McCulloch and Oliver Batchelor are pictured.,False,"[42, 106]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2198308710976594e+18,1219830871097659394,996591997.0,996591997,LincolnAgritech,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'LincolnUniNZ', 'name': 'Lincoln University', 'id': 19622734, 'id_str': '19622734', 'indices': [0, 13]}, {'screen_name': 'UCNZ', 'name': 'University of Canterbury', 'id': 55130863, 'id_str': '55130863', 'indices': [14, 19]}, {'screen_name': 'MBIEsci', 'name': 'MBIE Science', 'id': 194354685, 'id_str': '194354685', 'indices': [20, 28]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [29, 41]}, {'screen_name': 'UCNZ', 'name': 'University of Canterbury', 'id': 55130863, 'id_str': '55130863', 'indices': [42, 47]}]",[],en,recent,996591997,996591997,Lincoln Agritech,LincolnAgritech,New Zealand,"Leading edge R&D company with a track record in applying innovative engineering and science technologies in the primary, industrial & environmental sectors",http://t.co/pMfh1tYH,"[{'url': 'http://t.co/pMfh1tYH', 'expanded_url': 'http://www.lincolnagritech.co.nz', 'display_url': 'lincolnagritech.co.nz', 'indices': [0, 20]}]",[],False,918,568,22,Sat Dec 08 06:52:58 +0000 2012,1167,,,False,False,403,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/2946701809/6d60a0f3637f88103f88948e3535d54e_normal.jpeg,https://pbs.twimg.com/profile_images/2946701809/6d60a0f3637f88103f88948e3535d54e_normal.jpeg,https://pbs.twimg.com/profile_banners/996591997/1531458093,2FC2EF,181A1E,252429,666666,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Wed Jan 22 01:48:19 +0000 2020,1219798917971243009,1219798917971243009,"Finished Anna Sfard's 'Thinking as Communicating' as part of a postgraduate #mathematics course at @AucklandUni. Overall, I appreciate the opportunity this framework presents for addressing new kinds of research questions. #education",False,"[0, 233]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,2,False,False,en,"[{'text': 'mathematics', 'indices': [76, 88]}, {'text': 'education', 'indices': [223, 233]}]",[],"[{'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [99, 111]}]",[],en,recent,1198753096857346048,1198753096857346048,Kaitlin Riegel,KaitlinRiegel,,"PhD student Mathematics Education
University of Auckland
Instagram: kaitlin_riegel",,,[],False,16,18,0,Mon Nov 25 00:00:04 +0000 2019,22,,,False,False,15,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1198753919268032513/c4j5cPrz_normal.jpg,https://pbs.twimg.com/profile_images/1198753919268032513/c4j5cPrz_normal.jpg,https://pbs.twimg.com/profile_banners/1198753096857346048/1574758024,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Tue Jan 21 18:55:11 +0000 2020,1219694948980797453,1219694948980797453,"@Enrico_Evac @NIST @lunduniversity @umons @imperialcollege @AucklandUni She is part of VR history now!
I'll give credit to her too during the presentation 😁",False,"[72, 156]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.219694204831654e+18,1219694204831653888,7.616336817778524e+17,761633681777852416,Enrico_Evac,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'Enrico_Evac', 'name': 'Enrico Ronchi', 'id': 761633681777852416, 'id_str': '761633681777852416', 'indices': [0, 12]}, {'screen_name': 'NIST', 'name': 'NIST', 'id': 46648807, 'id_str': '46648807', 'indices': [13, 18]}, {'screen_name': 'lunduniversity', 'name': 'Lund University', 'id': 26267038, 'id_str': '26267038', 'indices': [19, 34]}, {'screen_name': 'umons', 'name': 'Université de Mons', 'id': 40239472, 'id_str': '40239472', 'indices': [35, 41]}, {'screen_name': 'imperialcollege', 'name': 'Imperial College', 'id': 15353955, 'id_str': '15353955', 'indices': [42, 58]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [59, 71]}]",[],en,recent,2523353150,2523353150,Ruggiero Lovreglio,r_lovreglio,"Auckland, New Zealand","Senior Lecturer at @masseyuni
|| Associate Editor for Safety Science ||
Editorial Member of Fire Technology",https://t.co/vLAUPIir0v,"[{'url': 'https://t.co/vLAUPIir0v', 'expanded_url': 'http://lovreglio.info', 'display_url': 'lovreglio.info', 'indices': [0, 23]}]",[],False,1292,1173,54,Sun May 25 19:50:29 +0000 2014,1631,,,False,False,4291,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1215826213920559110/fYmx-12a_normal.jpg,https://pbs.twimg.com/profile_images/1215826213920559110/fYmx-12a_normal.jpg,https://pbs.twimg.com/profile_banners/2523353150/1510104196,000066,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Tue Jan 21 05:22:30 +0000 2020,1219490432909840384,1219490432909840384,@JPBalfour @AucklandUni @AuckLawSchool @FMHS_UoA @UoACreatives @ScienceUoA @leedsteaching @LeedsMedHealth @nurseDrTC @NikiHarre Look forward to catching up with you all. You best put the heating on 😂 ❄️☔,False,"[128, 203]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2194861330773975e+18,1219486133077397504,1.1932808044970435e+18,1193280804497043457,JPBalfour,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JPBalfour', 'name': 'JPBalfour', 'id': 1193280804497043457, 'id_str': '1193280804497043457', 'indices': [0, 10]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [11, 23]}, {'screen_name': 'AuckLawSchool', 'name': 'Auckland Law School', 'id': 46282428, 'id_str': '46282428', 'indices': [24, 38]}, {'screen_name': 'FMHS_UoA', 'name': 'Faculty of Medical and Health Sciences', 'id': 966427046581739520, 'id_str': '966427046581739520', 'indices': [39, 48]}, {'screen_name': 'UoACreatives', 'name': 'UoACreatives', 'id': 109399253, 'id_str': '109399253', 'indices': [49, 62]}, {'screen_name': 'ScienceUoA', 'name': 'Faculty of Science', 'id': 253754648, 'id_str': '253754648', 'indices': [63, 74]}, {'screen_name': 'leedsteaching', 'name': 'LITE', 'id': 776727724098523138, 'id_str': '776727724098523138', 'indices': [75, 89]}, {'screen_name': 'LeedsMedHealth', 'name': 'UniLeedsMed&Health', 'id': 3419795698, 'id_str': '3419795698', 'indices': [90, 105]}, {'screen_name': 'nurseDrTC', 'name': 'Terryann Clark (TC)', 'id': 315443760, 'id_str': '315443760', 'indices': [106, 116]}, {'screen_name': 'NikiHarre', 'name': 'Niki Harre', 'id': 772487222, 'id_str': '772487222', 'indices': [117, 127]}]",[],en,recent,748967137,748967137,Bridgette Bewick 🤓 🏳️‍🌈 🥝🙏,BewickBM,"Leeds, England",Assoc Prof & Psychologist @universityleeds #studentwellbeing #studentmentalhealth #thrivingatuni #pedagogicalwellbeing #inclusivity #kiwigal #bivisibility,https://t.co/j10KTSyfd5,"[{'url': 'https://t.co/j10KTSyfd5', 'expanded_url': 'https://medicinehealth.leeds.ac.uk/medicine/staff/129/dr-bridgette-m-bewick-phd-cpsychol-', 'display_url': 'medicinehealth.leeds.ac.uk/medicine/staff…', 'indices': [0, 23]}]",[],False,91,105,0,Fri Aug 10 08:51:41 +0000 2012,284,,,False,False,257,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1059723442705063938/EjeEr-Ln_normal.jpg,https://pbs.twimg.com/profile_images/1059723442705063938/EjeEr-Ln_normal.jpg,https://pbs.twimg.com/profile_banners/748967137/1541492800,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Mon Jan 20 22:03:18 +0000 2020,1219379904803794945,1219379904803794945,@SupDoc12 @RichardToye Given that in many cases the National Library holds the only copy of a publication in the country this is appalling but not unprecedented here (see @AucklandUni passim).,False,"[23, 192]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2193582427251712e+18,1219358242725171200,624442842.0,624442842,SupDoc12,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'SupDoc12', 'name': 'Sup Doc?', 'id': 624442842, 'id_str': '624442842', 'indices': [0, 9]}, {'screen_name': 'RichardToye', 'name': 'Richard Toye', 'id': 1004425164, 'id_str': '1004425164', 'indices': [10, 22]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [171, 183]}]",[],en,recent,135696315,135696315,Christopher Thompson,dewithiel,,Design historian | PhD from @uniofbrighton | PT worrier | grump,http://t.co/e8Pk2HsY6W,"[{'url': 'http://t.co/e8Pk2HsY6W', 'expanded_url': 'http://nzdesignhistory.blogspot.co.nz', 'display_url': 'nzdesignhistory.blogspot.co.nz', 'indices': [0, 22]}]",[],False,508,353,16,Thu Apr 22 01:27:54 +0000 2010,13313,,,True,False,11550,,False,False,False,D91A1A,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1107164242245906432/fQIESOwM_normal.png,https://pbs.twimg.com/profile_images/1107164242245906432/fQIESOwM_normal.png,https://pbs.twimg.com/profile_banners/135696315/1526196175,D91A1A,000000,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
